Centaur Zendo round 1 (training)
round_id : e4bad606a4b54fa28a4907281f0680a3
written  : 2026-09-02 07:59:51Z
presented=830  answered=830  correct=0  skipped=0
client answer latency: mean 0.121 ms  median 0.116 ms  max 1.191 ms  (n=830)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  skerry        ##........###\n#.#.#.......#\n#.#...##.…  stx                                       0
   1  ikos          9 3-8 0-1 1-4 3-5 1-5 0-8 4-7 3-6 0-3 7…  bbcx                                      0
   2  ALLWIN        ab 5                                      35                                        0
   3  DUOMASK       b.ab.a*b b+bab[ab]b                       b]ba[bab+b b*a.ba.b                       0
   4  volute        vpk\ndqf\nhkt\nyeh                        vpk\ndqf\nhkt\nyeh                        0
   5  HANSOM        4,9 2,6 2,4 6,1 1,2|26                    0                                         0
   6  IDX           539817 681360 708473                      cat                                       0
   7  TWINE         eaceebeeaed|ccabebbbbeecdac|6             eaceebeeaed|ccabebbbbeecdac|6             0
   8  GRAYLING      00001 00010 6                             00001 00010 6                             0
   9  krom          -4,2,-10 -2,1,10 -7,3,10 5,-6,-1 5,3,-8…  -4,2,-10 -2,1,10 -7,3,10 5,-6,-1 5,3,-8…  0
  10  HAIL          78                                        72                                        0
  11  RUNIC         ccaaaaaaaaacccbbbaaaaaaaaaa               0                                         0
  12  carre         231./...2/...1/.4..                       hb                                        0
  13  regina        X......\n......X\nXX..X..\nX.....X\n..X…  no                                        0
  14  volute        owdrm\nsitgg\nmbbjn\ncgpna\nqexiz\nrituo  yes                                       0
  15  TARE          23 7 56 58 33 57 45 9 28|125              one                                       0
  16  zebu          B#3 A<B D<A B|E                           B#3 A<B D<A B|E                           0
  17  AHMES         7/32                                      0                                         0
  18  HAIL          167                                       1                                         0
  19  warren        ###################\n#S....#...........…  67                                        0
  20  regina        .X..XX\nX.X...\n...X..\n.X.X.X\n.XX.X.\…  .X..XX\nX.X...\n...X..\n.X.X.X\n.XX.X.\…  0
  21  PP            582                                       285                                       0
  22  wolf          0011110111>1110011101 0001010001000>111…  16                                        0
  23  CRIBROT       vwudsvkhhseodph|strap                     vwudsvkhhseodph|strap                     0
  24  erewhon       ..#.#.\n#..#..\n.##..#\n##.#.#\n#..#.#\…  71                                        0
  25  RUNIC         ggggggggggggggccccccccccccccdcceebbbbbb…  no                                        0
  26  zebu          C<E B<C C#4 A|C A|D D<C B|D               C<E B<C C#4 A|C A|D D<C B|D               0
  27  warren        ###################\n#S......#.......#.…  ###################\n#E#.....#.......#.…  0
  28  AHMES         8/9                                       no                                        0
  29  TOPPLE        6652=58                                   0                                         0
  30  skerry        .#......#.##\n##.#.####...\n......#...#…  0                                         0
  31  erewhon       ...##.\n..##.#\n..#..#\n..#...\n#....#\…  97                                        0
  32  trico         10 2-4 1-4 0-4 0-6 3-4 7-9 3-9 4-8 5-7 …  5-4 8-6 8-7 5-3 8-3 6-1 7-6 3-1 7-1 2-1…  0
  33  HANSOM        0,6 7,1 1,4 8,4 9,3 4,2 2,3|28            1                                         0
  34  PP            203                                       0                                         0
  35  trico         9 3-5 0-4 2-4 1-3 4-6 5-8 3-4 3-7 0-8 3…  one                                       0
  36  ikos          11 3-6 4-6 6-9 0-7 0-10 2-5 3-8 7-8 3-1…  11 3-6 4-6 6-9 0-7 0-10 2-5 3-8 7-8 3-1…  0
  37  warren        #######################\n#S#.........#.…  rt                                        0
  38  IDX           654129 634130 767423                      65                                        0
  39  volute        xtvhd\nzmuyd\nuaskw\nsiicu\ngnpaw\nmnsvz  zvsnm\nwapng\nuciis\nwksau\ndyumz\ndhvtx  0
  40  ALLWIN        ab 3                                      3 ba                                      0
  41  TOPPLE        7284=84                                   48=4827                                   0
  42  ALLWIN        abcd 2                                    1                                         0
  43  hanjie        2/4,2/4,2/1,1/2,3/1,3,1/1,1,1,1/6\n1,3/…  0                                         0
  44  warren        ###################\n#S..#...........#.…  the                                       0
  45  MARIENBAD     15 13 1 13                                1                                         0
  46  warren        ###################\n#S#...#.....#.....…  the                                       0
  47  SPQ           40079396887                               40079396887                               0
  48  CRIBROT       otqmbituxqrxgfq|cheap                     otqmbituxqrxgfq|cheap                     0
  49  volute        dvmu\nathg\nqvwq\ndmau\nybtv\nldmo        0                                         0
  50  SUNZI         38%79 27%43 30%83                         yes                                       0
  51  HAIL          62                                        y                                         0
  52  GRAYLING      1010 1101 5                               1010 1101 5                               0
  53  wolf          01101001010>01100000000 00011100111001>…  000001000100>100101111100 0100010001100…  0
  54  ANAPAL        cadcdcadcd|dc                             cadcdcadcd|dc                             0
  55  BASILISK      100011010011:2>8                          0                                         0
  56  wolf          01001000000110>11111100001111 111001111…  0                                         0
  57  TARE          25 37 37 37 21 6|99                       1                                         0
  58  TOPPLE        7137=69                                   1                                         0
  59  krom          7,10,6 4,7,-6 -3,6,10 -10,-7,-6 6,7,-8 …  5,01,4- 3-,8-,7 8-,6,1 3,1-,5- 2-,9-,1 …  0
  60  BASILISK      100340:5>7                                1                                         0
  61  hanjie        2,1,1/3,2/1,3,1/1,1,2/2,1,1/2\n5/2,2/3/…  19                                        0
  62  volute        ofm\nnar\nrun\nsfe                        28                                        0
  63  krom          10,6,-9 2,-5,-7 -7,9,-4 -4,-8,5 5,-10,2…  otuc                                      0
  64  wolf          00101010110>00000000101 01110001110>010…  00101010110>00000000101 01110001110>010…  0
  65  ikos          12 0-8 8-9 4-11 0-7 2-11 3-8 1-10 2-5 0…  f                                         0
  66  HANSOM        7,9 4,5 9,0 1,6 9,4|35                    7,9 4,5 9,0 1,6 9,4|35                    0
  67  hanjie        1,1,2/1,1,2/2,1,1/2,1,1/2,1,1/3,1\n1,3/…  76                                        0
  68  TWINE         aaccbaabdac|aabcabcbadacb|9               no                                        0
  69  DUOMASK       b?a?(a|b)(a|b)a*b?bb*(a|b)b? ba?b*b?bb?…  18                                        0
  70  HANSOM        3,2 3,7 2,6 8,6 5,8 8,5 4,0|29            97                                        0
  71  carre         12../43.2/2..3/..2.                       0                                         0
  72  CHAKRA        91                                        6                                         0
  73  PP            0115                                      1                                         0
  74  krom          2,-1,-10 -2,1,5 -1,10,-6 4,6,2 10,-7,5 …  6,9-,5- 01,7,4- 01,3-,9- 1,6,2- 9-,3,6-…  0
  75  IDX           135773 335945 367573                      zendo                                     0
  76  TWINE         ddbbdabbadcdbda|cacbccbdbbbb|6            66                                        0
  77  carre         14../3..1/..23/2...                       khfls                                     0
  78  TARE          9 55 41 43 9 7 28 28|78                   87|82 82 7 9 34 14 55 9                   0
  79  trico         13 9-11 1-10 8-9 0-11 0-10 2-8 1-3 3-7 …  82                                        0
  80  SPQ           152787407293                              44                                        0
  81  skerry        #...##.#...#.\n#........#.#.\n....#..#.…  cdvhv                                     0
  82  SPQ           2022043613                                0                                         0
  83  TWINE         aabddccddbdacad|bbcaabdbabdcdd|8          0                                         0
  84  zebu          D|E C<E A<B D<E A#2 E<B                   B<E 2#A E<D B<A E<C E|D                   0
  85  erewhon       ....#.\n...#.#\n..#...\n.##...\n#.#.#.\…  ..##..\n.#.#.#\n...##.\n...#..\n#.#...\…  0
  86  BASILISK      1000011011111:2>9                         9>2:1111101100001                         0
  87  BASILISK      20021202:3>5                              5>3:20212002                              0
  88  RUNIC         ddaaaaddddgcccddddddddddddddccdddbbbbbb   two                                       0
  89  zebu          C#5 A|E A#1 B|D C|D B<C                   no                                        0
  90  CRIBROT       bmjwjxmtwjxtqajktwjxy|forest              tserof|yxjwtkjaqtxjwtmxjwjmb              0
  91  SPQ           2459600917                                0                                         0
  92  IDX           104230 419632 791897                      0                                         0
  93  HAIL          49                                        49                                        0
  94  PP            158                                       851                                       0
  95  volute        wspjkzd\nmodwbjd\npsejyxq\neptuawf\ntlw…  0                                         0
  96  IDX           260401 89492 297403                       1                                         0
  97  PP            2402                                      uh                                        0
  98  hanjie        1,2,1/2,1,1/2,1/4/1,1,1/1,1,1/5/2,1\n3,…  0                                         0
  99  CRIBROT       kzmmsmvbzgucaqkkzqax|creek                0                                         0
 100  TOPPLE        3146=10                                   11                                        0
 101  ikos          9 3-8 2-7 6-8 5-7 1-2 4-6 2-4 1-3 2-5 0…  1-0 5-4 7-3 6-0 4-0 8-5 7-6 5-0 5-2 3-1…  0
 102  BASILISK      a7c:16>9                                  9>61:c7a                                  0
 103  TWINE         accddbddaddd|bdcacacdbadacbdc|8           cat                                       0
 104  ALLWIN        abc 5                                     bkp                                       0
 105  BASILISK      1110100000:2>5                            0                                         0
 106  volute        kzcwdrj\nzaknsqf\ngznfcku\novpkgqt\nlry…  g                                         0
 107  HAIL          146                                       1                                         0
 108  CHAKRA        157                                       751                                       0
 109  TOPPLE        8546=51                                   ptbfc                                     0
 110  AHMES         12/29                                     1                                         0
 111  RUNIC         aaaaaaaaaaaabbffffffffffbbbbddddddddddd…  eeeeeeeeeeeeddddddddddddbbbbffffffffffb…  0
 112  TWINE         caadcdcaaabdabda|bbbcddbcdbdcab|8         1                                         0
 113  krom          2,8,-9 -5,1,-7 -3,-9,-2 -6,-2,8 8,-1,6 …  2,8,-9 -5,1,-7 -3,-9,-2 -6,-2,8 8,-1,6 …  0
 114  AHMES         8/15                                      0                                         0
 115  ikos          11 4-6 3-4 1-7 0-8 0-10 0-9 5-8 7-8 3-6…  26                                        0
 116  zebu          A<D B|C C<D B#3 B|D                       A<D B|C C<D B#3 B|D                       0
 117  GRAYLING      0000 0011 10                              1                                         0
 118  zebu          B<D D<C C#3 C|E                           zhug                                      0
 119  CRIBROT       opkkhsezajydwejbwepd|stool                0                                         0
 120  MARIENBAD     3 15 7 2                                  two                                       0
 121  IDX           51986 309212 451771                       51986 309212 451771                       0
 122  skerry        ................\n.#...#.##.###...\n.#.…  red                                       0
 123  HAIL          102                                       red                                       0
 124  BASILISK      111110001:2>8                             8>2:100011111                             0
 125  CRIBROT       yvzvgoyraquncclnyybj|limit                0                                         0
 126  ANAPAL        acccebdadbebc|eca                         red                                       0
 127  RUNIC         bbaaaaaaaaaabbbbbbbbbbbbeebbbbbbbbbdddf…  one                                       0
 128  skerry        .##....#....##\n.......##....#\n..#.#..…  ..........####\n.##..........#\n...#...…  0
 129  ikos          12 0-6 9-10 5-8 1-8 2-8 6-8 8-10 8-9 0-…  1                                         0
