Centaur Zendo round 8 (training)
round_id : c12a115771f640b696972dfa8f381b0a
written  : 2026-09-02 08:29:56Z
presented=832  answered=832  correct=810  skipped=0
client answer latency: mean 0.187 ms  median 0.120 ms  max 15.997 ms  (n=833)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  MARIENBAD     3 13 9 3 13                               3 4 9 3 13                                1
   1  warren        #######################\n#S....#.#.....…  RRRRDDDDLLUULLDDDDRRRRDDDDRRDDRRDDLLLLD…  1
   2  ikos          10 5-7 3-4 8-9 1-2 4-6 0-9 4-5 3-7 3-5 …  6 4 2 8 9 0 7 5 3 1                       1
   3  krom          6,-9,-7 -3,1,-2 -3,-8,-9 4,-1,-8 2,4,7 …  010000000                                 1
   4  GRAYLING      1111 0111 7                               1111 1110 1100 1101 1001 1011 0011 0111   1
   5  CRIBROT       khrqdijoburuqhtmxeiu|urban                urbanstylebeardwhose                      1
   6  zebu          B|D D<C A#4 D<A B<E B<D D<E A<C           BDEAC                                     1
   7  SPQ           167613517                                 409                                       1
   8  BASILISK      5744:8>5                                  44134                                     1
   9  TWINE         bacddddadba|daddddabcdc|7                 addddab                                   1
  10  volute        ygsiqn\naptofa\nbbiwkx                    ygsiqnaxkwibbaptof                        1
  11  carre         13../.4../4.13/...2                       1324/2431/4213/3142                       1
  12  CRIBROT       sizvwdfircjtrcv|brief                     briefmoralscale                           1
  13  volute        askuz\nlucet\nzdrju\nodjft                askuztutfjdozlucejrd                      1
  14  ANAPAL        babbccbcca|babc                           babccccbab                                1
  15  warren        #######################\n#S............…  RRRRRRRRRRRRDDRRUURRRRRRDDLLLLDDLLDDDDD…  1
  16  PP            2711                                      117262711                                 1
  17  GRAYLING      1110 1011 6                               1110 1111 1101 1100 1000 1001 1011        1
  18  IDX           360021 373238 655489                      161249                                    1
  19  PP            9848                                      1984891                                   1
  20  TOPPLE        4465=88                                   56+44+*                                   1
  21  CRIBROT       lgowjtwsuzdsjyw|tower                     towerbeachlarge                           1
  22  DUOMASK       .a+b?aa b+[ab]a*b[ab][ab]                 babaa                                     1
  23  trico         13 7-12 6-7 5-10 0-12 1-10 3-7 6-10 0-8…  1022102021112                             1
  24  volute        yfjf\nyows\ntjuc\nylsr\nmnpk              yfjfscrkpnmytyowuslj                      1
  25  zebu          D<B C#2 B#3 E<A                           DCBEA                                     1
  26  carre         2431/.2../..12/3...                       2431/1243/4312/3124                       1
  27  BASILISK      126a:16>3                                 20110121                                  1
  28  volute        qxlwkc\nytqxnc\nsktquh\ntrkjsn\nklfjrn\…  qxlwkcchnnslsfcbktsytqxnusrjflrktqjk      1
  29  skerry        .#.........\n#.#....#...\n#.#........\n…  12                                        1
  30  carre         14../4.../..../2314                       1423/4132/3241/2314                       1
  31  ANAPAL        aaccaaabcbac|abb                          aaccabbaccaa                              1
  32  ikos          10 4-9 0-8 1-4 0-5 6-8 4-7 5-7 0-2 5-6 …  1 4 7 2 0 8 6 3 9 5                       1
  33  wolf          00010001011>00010001100 001110011100>00…  10100100                                  1
  34  hanjie        3,4/4,1/1,1,1/2,3/1,1/4,1,1/3,1,1\n2,1,…  ###.####\n####.#..\n..#.#..#\n##...###\…  1
  35  hanjie        1,1,1,1/1,1,2/2/1,2/2/2/2,3/7\n1,2/1,4/…  #..#.#.#\n.#.#.##.\n....##..\n..#.##..\…  1
  36  krom          5,-7,-8 -6,4,-1 -4,-8,-3 5,2,-4 -8,4,-2…  11100010                                  1
  37  PP            5532                                      923555329                                 1
  38  GRAYLING      0110 0101 4                               0110 0111 0011 0001 0101                  1
  39  TWINE         cdbccdbbddc|bccdcbbcbacd|7                bccdbbc                                   1
  40  erewhon       .##...\n....#.\n###..#\n##..#.\n....##\…  .##...\n.#...#\n##.#.#\n.....#\n#.....\…  1
  41  ALLWIN        ab 8                                      aaaaaaaabaaaaaabbaaaaababaaaaabbbaaaaba…  1
  42  AHMES         29/38                                     2 4 76                                    1
  43  hanjie        3,1/2,2/1,2/1,2/1,1/1/2/2,1,1\n2,1,1/3,…  ###.#.\n##.##.\n.#.##.\n#...##\n.#.#..\…  1
  44  CHAKRA        73                                        2281249 267000                            1
  45  warren        #####################\n#S......#.......…  RRRRRRDDRRRRDDDDDDRRRRDDRRUUUUUURRDDDDD…  1
  46  GRAYLING      00011 11001 9                             00011 00010 00000 00001 00101 00100 011…  1
  47  regina        X.....\n..X...\n..XXX.\n.XX...\n.X..XX\…  251403                                    0
  48  ALLWIN        ab 7                                      aaaaaaabaaaaabbaaaababaaaabbbaaabaabaaa…  1
  49  erewhon       ##....\n#.....\n.##...\n##.###\n#....#\…  ##....\n#.#.##\n......\n.#.###\n###..#\…  1
  50  volute        bai\npen\nrwl\ntmo\nhkw\nodj              bainlowjdohtrpewmk                        1
  51  MARIENBAD     6 8 7                                     6 1 7                                     1
  52  CHAKRA        157                                       46698728731849 3726964292220              1
  53  SUNZI         67%71 7%97 10%73 15%23                    11003008                                  1
  54  hanjie        1/2/1/1,2/2,1/1,1,1/1,1,1\n1,1/1,2/1,1/…  ...#..\n.##...\n...#..\n#..##.\n.##.#.\…  1
  55  PP            9652                                      965262569                                 1
  56  IDX           7440 8963 20731                           6847                                      1
  57  HAIL          199                                       6319                                      1
  58  HAIL          20                                        18                                        1
  59  SPQ           35293269653                               58411                                     1
  60  RUNIC         ccfeeeeeeeeeddaaaaaadddddddddffffffaa     2c1f9e2d6a9d6f2a                          1
  61  HAIL          83                                        233                                       1
  62  CHAKRA        149                                       25801741449 2113761020                    1
  63  TWINE         adbdddbdeacbcadb|caaabaacbcddbc|8         abacbcdb                                  1
  64  trico         12 1-3 6-9 2-11 1-4 2-6 4-7 3-5 1-6 0-6…  122001011211                              1
  65  BASILISK      111011111010:2>5                          110314                                    1
  66  TOPPLE        6756=23                                   57*6-6-                                   1
  67  IDX           19735 53928 74203                         5464                                      1
  68  ikos          12 8-9 3-8 0-6 5-11 2-6 8-11 2-11 7-9 9…  4 7 9 8 11 5 10 0 6 2 3 1                 1
  69  ALLWIN        ab 6                                      aaaaaabaaaabbaaababaaabbbaabaababbaabba…  1
  70  SPQ           3875724539                                1319                                      1
  71  SUNZI         1%2 6%23 67%97                            2007                                      1
  72  hanjie        3,1/2,2/2,1,2/1,3/3,1/2,1\n1,1,1/6/2,2/…  ###..#.\n.##.##.\n##.#.##\n.#..###\n###…  1
  73  AHMES         11/16                                     2 6 48                                    1
  74  volute        tinvhv\nlkdpvp\niudygl                    tinvhvplgyduilkdpv                        1
  75  krom          -8,-10,-4 -5,-3,2 5,1,-3 10,6,-4 6,-8,2…  0111110000                                1
  76  AHMES         10/29                                     3 87                                      1
  77  regina        ...XX.\n......\n..X...\n.....X\n......\…  135024                                    0
  78  MARIENBAD     2 15 12                                   2 14 12                                   1
  79  TWINE         dccabcbbaabdcaab|cbdababdabcbcbd|8        cbaabdab                                  1
  80  ALLWIN        ab 8                                      aaaaaaaabaaaaaabbaaaaababaaaaabbbaaaaba…  1
  81  TOPPLE        4118=39                                   814+*1-                                   1
  82  SUNZI         6%23 25%31 24%29                          13944                                     1
  83  wolf          0000010111>1111010011 1000101101111>111…  11010101                                  1
  84  RUNIC         gbbaaaaaaaaaagggffffbbbfffggggg           1g2b10a3g4f3b3f5g                         1
  85  HAIL          58                                        379                                       1
  86  SPQ           3267279893                                2087                                      1
  87  skerry        .#.#...#...\n....#...#.#\n##...#...#.\n…  21                                        1
  88  volute        femhq\nwxcmn\nztoup                       femhqnpuotzwxcm                           1
  89  erewhon       #..##.\n....#.\n..#...\n......\n....##\…  ##.##.\n###.#.\n.#....\n#.....\n.....#\…  1
  90  ikos          9 2-3 4-8 4-7 1-8 1-6 5-6 2-6 3-7 2-5 2…  0 5 2 3 7 4 8 1 6                         1
  91  SUNZI         11%23 4%7 23%43 0%2                       13052                                     1
  92  ikos          11 4-5 3-6 2-8 3-5 4-6 2-3 1-10 5-7 1-9…  9 1 10 4 5 7 2 8 6 3 0                    1
  93  trico         9 4-6 2-4 1-8 0-3 3-6 0-2 0-5 3-4 0-6 2…  112012202                                 1
  94  TARE          18 36 55 46 28 22 26 14 5|77              001001000                                 1
  95  TOPPLE        4774=37                                   47+4*7-                                   1
  96  TARE          19 9 46 10 50 11 31|21                    0001010                                   1
  97  MARIENBAD     7 8 4                                     7 3 4                                     1
  98  TARE          10 35 46 35 49 9|105                      101010                                    1
  99  skerry        ............\n.##.........\n#.........#…  7                                         1
 100  skerry        ....#.......#..\n...##...##..#..\n#....…  21                                        1
 101  TWINE         acdbdacdeebbeea|caaabddeaadbeddb|7        cbddebe                                   1
 102  BASILISK      11d1:16>3                                 20020221                                  1
 103  krom          9,-10,-4 -10,-7,2 8,-1,3 -9,10,-8 10,5,…  0001101010                                1
 104  ALLWIN        ab 7                                      aaaaaaabaaaaabbaaaababaaaabbbaaabaabaaa…  1
 105  CRIBROT       vuckxlgotzxkvre|power                     powerfaintreply                           1
 106  CHAKRA        115                                       1126 105                                  1
 107  CRIBROT       khacwtscwjxdgslkhjsq|spike                spikebakerfloatspray                      1
 108  DUOMASK       a+[ab]a+(a|b)[ab]bb. ab+(a|b)a*.ab*.(a|…  abaaabba                                  1
 109  ikos          9 3-5 1-5 4-6 7-8 2-4 6-8 1-4 3-7 0-8 0…  5 3 7 8 6 2 0 4 1                         1
 110  TWINE         cdccddbecaadac|abaedbdbeeadbdeb|6         ddbead                                    1
 111  ANAPAL        bbccbbbb|cb                               cbbbbbbc                                  1
 112  AHMES         3/40                                      14 280                                    1
 113  krom          -4,-6,-9 -2,-7,9 -2,-8,-6 -1,-8,9 6,1,-…  100001001                                 1
 114  IDX           433920 444177 955379                      394150                                    1
 115  warren        ###################\n#S......#.#.......…  RRRRRRDDLLLLDDLLDDDDDDRRDDDDRRUURRUURRU…  1
 116  CRIBROT       hsdirvmwirfvywleaeoi|dozen                dozenrisenbrushawake                      1
 117  MARIENBAD     7 13 12                                   1 13 12                                   1
 118  TARE          30 34 55 50 44 59|179                     101110                                    1
 119  TWINE         aedbabcbbdacead|aaaceadddabbcbb|8         aedabcbb                                  1
 120  trico         13 0-9 0-2 2-10 1-9 1-5 8-11 5-7 6-12 3…  2201002101110                             1
 121  CRIBROT       fsppwzmmqrkglmppcnjw|hurry                hurryboostminorreply                      1
 122  AHMES         6/13                                      3 8 312                                   1
 123  wolf          100101001011>101010010111 0111101100>11…  11101010                                  1
 124  hanjie        1/1,1,1/3,1,1/2,1/1,2,1/3,2,1/1,1,3/2,1…  ....#...\n#....#.#\n###..#.#\n...##.#.\…  1
 125  krom          5,-2,-8 3,6,2 -2,4,-3 -2,-5,8 -1,4,-6 1…  11110000                                  1
 126  HANSOM        7,9 6,7 1,2 2,3 6,8|27                    0 1 2 3 4                                 1
 127  krom          -6,-2,-9 -1,-6,-3 5,3,-8 7,-2,1 -3,2,-9…  111010000                                 1
 128  krom          9,2,-7 -4,7,5 6,-7,5 6,-5,-2 1,-5,-8 -3…  111101100                                 1
 129  GRAYLING      0010 0100 10                              0010 0011 0001 0000 1000 1001 1011 1010…  1
 130  ANAPAL        bbdccecedc|ebcc                           ebccddccbe                                1
 131  ALLWIN        ab 4                                      aaaabaabbababbbb                          1
 132  TOPPLE        6384=12                                   48-36-*                                   1
 133  MARIENBAD     10 15 3 9 8                               10 8 3 9 8                                1
 134  DUOMASK       .[ab]ab+a*(a|b)b?. b[ab][ab]b?a[ab]a+     baabaaa                                   1
 135  SPQ           95814042283                               34031                                     1
 136  CHAKRA        109                                       158070671986249 15140424455100            1
 137  carre         321./.14./..../..2.                       3214/2143/1432/4321                       1
 138  ikos          9 1-3 6-8 2-6 1-4 0-5 0-7 3-8 0-2 5-8 3…  1 4 2 0 7 6 8 3 5                         1
 139  trico         11 1-4 6-7 1-3 5-7 7-10 0-10 0-6 3-8 7-…  11100021212                               1
 140  trico         11 3-6 0-7 3-10 1-7 5-8 0-9 2-5 0-1 0-8…  10210002222                               1
 141  CHAKRA        70                                        251 30                                    1
 142  PP            8781                                      1878781                                   1
 143  CRIBROT       sxirbjbilkyobxhpelob|value                valuemelonbreakshore                      1
 144  zebu          D<E D<C E#3 D<B A<B A#4 C<B               DCEAB                                     1
 145  krom          -9,5,-2 5,9,-6 7,6,-1 3,-6,-9 -4,-6,-5 …  111110100                                 1
 146  krom          -2,10,9 -8,6,4 7,-10,-4 -1,4,6 -7,1,-3 …  1011000100                                1
 147  krom          4,6,8 -6,-4,5 -2,5,-7 -3,-7,-2 1,5,-3 6…  10011000                                  1
 148  skerry        .....#..#..\n#....#..###\n..#.#......\n…  14                                        1
 149  CRIBROT       zwsnqzgmkwuzskw|heavy                     heavyhousechase                           1
 150  TARE          46 6 16 40 58 3|107                       100011                                    1
 151  ANAPAL        ccdcacdcac|dcc                            dccaccaccd                                1
 152  HAIL          46                                        123                                       1
