Centaur Zendo round 9 (training)
round_id : 27ea9c550ab442019189d57591724355
written  : 2026-09-02 08:31:49Z
presented=690  answered=690  correct=690  skipped=0
client answer latency: mean 0.167 ms  median 0.116 ms  max 2.266 ms  (n=691)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  AHMES         18/25                                     2 5 50                                    1
   1  carre         ..42/2..4/.423/..3.                       3142/2314/1423/4231                       1
   2  volute        ewty\nzyeg\ngpzv\nbmcr                    ewtygvrcmbgzyezp                          1
   3  warren        #######################\n#S..#...#.....…  RRDDLLDDRRDDLLDDRRDDRRUUUUUURRRRRRUURRD…  1
   4  skerry        .#...##.##......\n......#.#....#..\n.#.…  19                                        1
   5  regina        ...XX.\n.....X\n...X..\n.X.X..\n.X..X.\…  304152                                    1
   6  regina        ..X.X.\n.X...X\n...X..\n..X.XX\n..X.X.\…  135024                                    1
   7  ANAPAL        aadaaaaabab|ab                            abaaadaaaba                               1
   8  skerry        #............\n##...........\n....##..#…  14                                        1
   9  zebu          D<B C<D A|D D#2 E<B                       CDAEB                                     1
  10  SPQ           20055865931                               10937                                     1
  11  TWINE         bcddbdbacdddecab|decdacedcda|7            ddaceca                                   1
  12  TARE          18 32 4 15 41 36 34 48|77                 00001100                                  1
  13  ikos          9 0-3 5-6 0-4 2-6 6-8 0-1 5-7 0-7 2-3 3…  1 0 4 8 6 5 7 2 3                         1
  14  krom          4,9,-5 4,-7,-9 7,6,-4 5,-6,-7 -2,3,6 5,…  001000000                                 1
  15  ikos          10 2-6 2-5 0-7 1-7 4-6 2-8 3-8 3-4 3-5 …  0 7 1 9 4 3 8 2 6 5                       1
  16  erewhon       ......\n......\n##....\n###...\n..#...\…  ......\n......\n.#....\n##....\n...#..\…  1
  17  volute        vvsxyhp\nugkwdzz\nxxchpcx\nggkpkpp        vvsxyhpzxppkpkggxugkwdzcphcx              1
  18  zebu          A#3 C<D B|C A|C A|D                       BCADE                                     1
  19  PP            418                                       3814183                                   1
  20  zebu          D<C C|D C#2 B<A C|E                       DCEBA                                     1
  21  TOPPLE        8128=10                                   81+2*8-                                   1
  22  TARE          23 57 31 18 45 23 13 54 16|165            111000010                                 1
  23  volute        nfkxkgq\nndkqsqu\nsrqwgbu                 nfkxkgquubgwqrsndkqsq                     1
  24  volute        pszeiki\ndynisqv\nbhyyqrf\nljiksye\npgs…  pszeikivfeudgwthkeplbdynisqryqvtsgjhyyq…  1
  25  TOPPLE        4191=18                                   411+-9*                                   1
  26  ALLWIN        ab 5                                      aaaaabaaabbaababaabbbababbabbbbb          1
  27  erewhon       ......\n.##.##\n....##\n..####\n...#.#\…  ......\n.##.#.\n.##.##\n..#..#\n#.....\…  1
  28  TARE          39 38 13 51 10 55 16 7 39|148             110001100                                 1
  29  wolf          10110101100101>00100001011001 100110000…  00011011                                  1
  30  IDX           193986 380343 414737                      53544                                     1
