Centaur Zendo round final (final)
round_id : 87a8cb5e487849549ba63bec090948cb
written  : 2026-09-02 08:38:35Z
presented=2342  answered=2342  correct=2342  skipped=0
client answer latency: mean 0.194 ms  median 0.132 ms  max 6.011 ms  (n=2342)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  regina        .X......\nXX..X...\n.X.XXX..\n...X.X.X\…  06357142                                  1
   1  warren        #######################\n#S#...#.....#.…  DDRRDDLLDDRRDDDDDDDDLLDDRRRRRRRRRRRRUUL…  1
   2  SPQ           108730121                                 61                                        1
   3  HAIL          97                                        447                                       1
   4  CHAKRA        66                                        65 8                                      1
   5  HANSOM        3,7 1,4 2,5 7,6 2,4|18                    0 1 4 2 3                                 1
   6  CHAKRA        122                                       243 22                                    1
   7  erewhon       .#.#..\n#.#..#\n#....#\n.#....\n.#...#\…  ..#.#.\n#.#...\n##.###\n..##.#\n...###\…  1
   8  krom          -8,-4,1 -3,8,-7 8,4,-6 -7,8,-5 -3,-4,8 …  00000000                                  1
   9  skerry        .....#.....\n#....##....\n.......##..\n…  12                                        1
  10  SPQ           139856597921                              65419                                     1
  11  regina        X..X..\n.X..XX\n......\n.XXX..\n..X.X.\…  251403                                    1
  12  regina        ..XX...\n..X....\n.X..X..\n.......\n...…  0531642                                   1
  13  AHMES         17/24                                     2 5 120                                   1
  14  TOPPLE        9192=98                                   29+9*1-                                   1
  15  IDX           419320 87308 472817                       182683                                    1
  16  zebu          C<E A#1 B|E B<D C|E                       ACEBD                                     1
  17  IDX           434261 88978 915763                       96125                                     1
  18  erewhon       ..#...\n###...\n#.#...\n###...\n#..#..\…  .#.#..\n.#....\n#.....\n.##...\n#..#..\…  1
  19  DUOMASK       abaaab? .a*[ab].ab*aba*                   abaaab                                    1
  20  CRIBROT       ifqsuheoqbfxqiu|space                     spaceroyalphase                           1
  21  carre         43../2.13/..3./3...                       4321/2413/1234/3142                       1
  22  ikos          12 1-8 9-11 5-8 0-4 2-7 3-5 5-9 4-8 1-2…  6 10 11 9 7 2 1 4 0 8 3 5                 1
  23  trico         13 0-5 9-11 4-9 1-9 2-11 1-3 7-10 6-7 0…  2022110102002                             1
  24  ANAPAL        acacbbcaac|ab                             abaccccaba                                1
  25  skerry        .........#...\n.##..........\n..#....#.…  13                                        1
  26  hanjie        1/5,1/2,1,2/1,4/2,2/4\n3/3,2/1,3/3,1/1,…  .#.....\n#####.#\n##.#.##\n#.####.\n.##…  1
  27  volute        neofr\nwzbco\nsfkee\nmxzyi\ngjzmu         neofroeiumzjgmswzbceyzxfk                 1
  28  AHMES         5/27                                      6 54                                      1
  29  RUNIC         aaaaaadeeeeeeeeeeeeeeffffffggggg          6a1d14e6f5g                               1
  30  TWINE         addeadaecbcbbaa|eaeeabbdaaddde|7          eaebbaa                                   1
  31  HAIL          120                                       386                                       1
  32  CRIBROT       mahkgvatedehvtewbkmr|thorn                thornchalklocaldirty                      1
  33  HANSOM        6,7 6,2 2,6 3,2 4,3 9,7 2,3|26            0 1 3 4 6 2 5                             1
  34  regina        X...XXX.\nX......X\n..X.XX.X\nXX....X.\…  61307425                                  1
  35  SPQ           12063361441                               45329                                     1
  36  MARIENBAD     5 7 6 9                                   5 7 6 4                                   1
  37  warren        ###################\n#S#...............…  DDRRDDRRUURRDDRRUURRDDRRDDLLDDLLUULLDDL…  1
  38  zebu          B|D C#1 A<E A|E D#5 B<D C<D               CAEBD                                     1
  39  warren        #######################\n#S#.....#.....…  DDDDRRDDDDLLDDRRRRUURRUUUURRRRRRUULLUUR…  1
  40  PP            9651                                      156949651                                 1
  41  GRAYLING      0111 0010 8                               0111 0110 0100 0101 0001 0000 1000 1010…  1
  42  DUOMASK       [ab]ab?.b?b+ aa*ab+bb*b(a|b)              aabbbb                                    1
  43  carre         4..1/14../31.2/..1.                       4231/1423/3142/2314                       1
  44  HANSOM        5,4 8,2 3,7 8,0 5,3 1,9|34                0 1 3 4 2 5                               1
  45  MARIENBAD     4 9 4 7 13                                4 9 4 4 13                                1
  46  hanjie        1,1,2/1,1/1,1,1/4,1/1,1/1,1/2,2\n1,2/1/…  #.#...##\n..#.#...\n#..#..#.\n####...#\…  1
  47  AHMES         16/17                                     2 3 10 128 32640                          1
  48  carre         .134/1.2./.3../..41                       2134/1423/4312/3241                       1
  49  CRIBROT       hqwubodvhuurelq|entry                     entrylaserrobin                           1
  50  zebu          C<B E<A B|E B<A D<B B|C                   DCBEA                                     1
  51  TWINE         eacbccbbaddabce|cbabeadbceda|8            cbbadbce                                  1
  52  TWINE         ccbbbcabaccb|addacdccabccbda|8            cccabccb                                  1
  53  carre         4.13/.3../2..1/3...                       4213/1324/2431/3142                       1
  54  AHMES         7/12                                      2 12                                      1
