Centaur Zendo — team ada — updated 2026-09-02 08:38:35Z

 round kind      presented answered correct  hit-rate skipped  mean_ms
----------------------------------------------------------------------------
     1 training        830      830       0      0.0%       0    0.121
     2 training        765      765     270     35.3%       0    0.211
     3 training        789      789     625     79.2%       0    0.215
     4 training        798      798     686     86.0%       0    0.179
     5 training        852      852     776     91.1%       0    0.166
     6 training        860      860     809     94.1%       0    0.189
     7 training        844      844     822     97.4%       0    0.182
     8 training        832      832     810     97.4%       0    0.187
     9 training        690      690     690    100.0%       0    0.167
    10 training        824      824     823     99.9%       0    0.221
    11 training        771      771     771    100.0%       0    0.202
    12 training        797      797     797    100.0%       0    0.187
 final final          2342     2342    2342    100.0%       0    0.194

running per-name hit-rate (all rounds)
name             presented correct  hit-rate
---------------------------------------------
TARE                   438     357     81.5%
ALLWIN                 430     381     88.6%
HAIL                   416     301     72.4%
ikos                   415     365     88.0%
SPQ                    412     367     89.1%
DUOMASK                403     366     90.8%
carre                  403     363     90.1%
MARIENBAD              400     361     90.2%
wolf                   398     313     78.6%
BASILISK               396     369     93.2%
ANAPAL                 395     272     68.9%
volute                 394     355     90.1%
zebu                   393     344     87.5%
PP                     387     365     94.3%
krom                   386     342     88.6%
CHAKRA                 384     349     90.9%
AHMES                  383     337     88.0%
CRIBROT                383     343     89.6%
RUNIC                  379     337     88.9%
TWINE                  379     344     90.8%
erewhon                379     223     58.8%
hanjie                 378     320     84.7%
skerry                 376     328     87.2%
TOPPLE                 375     302     80.5%
SUNZI                  370     345     93.2%
IDX                    366     335     91.5%
warren                 364     333     91.5%
HANSOM                 362     318     87.8%
GRAYLING               358     320     89.4%
trico                  355     320     90.1%
regina                 337     146     43.3%
