Centaur Zendo round 11 (training)
round_id : c8ecbf65a015459e8c6c6d8676af52ad
written  : 2026-09-02 08:22:59Z
presented=822  answered=822  correct=821  skipped=0
client answer latency: mean 0.249 ms  median 0.127 ms  max 7.027 ms  (n=822)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  PP            242                                       12421                                     1
   1  ANAPAL        ebbabebbba|aee                            bbbaeeabbb                                1
   2  PP            473                                       1374731                                   1
   3  ALLWIN        ab 4                                      aaaabaabbababbbb                          1
   4  carre         ...2/.3.1/.4../321.                       4132/2341/1423/3214                       1
   5  SPQ           2525348053                                20143                                     1
   6  BASILISK      2346:7>16                                 363                                       1
   7  hanjie        1,2/3,1/2,1/3/2,1,1/2,1/1,5\n2,1,1/5/2,…  ..#.##.\n###.#..\n##...#.\n.###...\n##.…  1
   8  TOPPLE        3162=33                                   362*1-*                                   1
   9  PP            151                                       151                                       1
  10  RUNIC         eeeebbbdddggaaaaaaaaaaddddddbbbbbbddddd…  4e3b3d2g10a6d6b12d6f                      1
  11  RUNIC         eedgggggcccccfaaaaaaaaaaggggggaaaaa       2e1d5g5c1f10a6g5a                         1
  12  krom          -8,-9,5 6,-4,-8 4,-1,9 8,3,4 -2,8,-7 -4…  001000000                                 1
  13  GRAYLING      0010 0000 9                               0010 1010 1110 0110 0100 1100 1000 1001…  1
  14  CHAKRA        151                                       1728148040 140634693                      1
  15  SPQ           64563893983                               46093                                     1
  16  hanjie        3,1/3,1/4/1,1/2/2,3/1,2/2,1\n2,1,3/3,2,…  ###.#.\n###..#\n.####.\n#...#.\n.##...\…  1
  17  MARIENBAD     12 4 11                                   12 4 8                                    1
  18  ANAPAL        aadbabdbba|dab                            dababbabad                                1
  19  ANAPAL        badabdabaaab|aba                          abaabddbaaba                              1
  20  DUOMASK       aba[ab]a[ab]a+a*b a+b+(a|b)[ab]a+b(a|b)…  abaaabab                                  1
  21  trico         12 8-10 7-8 1-11 2-7 1-9 0-5 3-9 5-9 5-…  010221121020                              1
  22  regina        ...X....\n..X.X.XX\n.X......\n...X....\…  06357142                                  1
  23  GRAYLING      1111 0101 6                               1111 0111 0011 1011 1001 0001 0101        1
  24  zebu          B<E B#4 A|C D<A A<C                       DACBE                                     1
  25  skerry        ......##.##.\n....#....#..\n...#.#.....…  20                                        1
  26  IDX           43191 43200 52237                         4076                                      1
  27  BASILISK      cdd:16>3                                  11111222                                  1
  28  trico         13 1-10 0-4 2-6 0-12 9-11 4-12 5-10 0-5…  0221121100022                             1
  29  carre         ..23/..../2.4./..12                       4123/1234/2341/3412                       1
  30  volute        vuh\nfrj\nkmt                             vuhjtmkfr                                 1
  31  TWINE         bbbbccccccbbaada|cdbcaadadbbcdac|6        cbaada                                    1
  32  zebu          C<D C|D A#2 A<C C|E                       BAECD                                     1
  33  regina        ...XX..\nX...X..\nXXXX...\nX.X..X.\n.X.…  4615203                                   1
  34  DUOMASK       (a|b)a+aa.a+a*[ab]b [ab]a*a?[ab]a+.a+ab…  aaaaaaab                                  1
  35  erewhon       ...###\n..#...\n.##..#\n..##..\n.#..##\…  ....##\n..##.#\n###.##\n.....#\n##..##\…  1
  36  hanjie        1/1/1/1,1/1/1,2/1,1\n1,1/1/1,1/2,1/2/1    #.....\n.#....\n...#..\n...#.#\n..#...\…  1
  37  AHMES         11/19                                     2 13 494                                  1
  38  RUNIC         cbdeeaaaaccceeeegggggg                    1c1b1d2e4a3c4e6g                          1
  39  AHMES         4/19                                      5 95                                      1
  40  SUNZI         7%13 1%19 30%43                           761                                       1
  41  skerry        .....#...#...\n#...#...##..#\n.#..#....…  19                                        1
