Centaur Zendo round 2 (training)
round_id : 8e448190e6a447b2bfbc2d117abfb0d0
written  : 2026-09-02 08:09:03Z
presented=771  answered=771  correct=293  skipped=0
client answer latency: mean 0.292 ms  median 0.127 ms  max 7.109 ms  (n=771)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  TWINE         ccceabcdeabcdccc|baaadcbceeedabbb|6       abceab                                    1
   1  warren        #######################\n#S..#.....#...…  RRDDDDRRUUUURRRRDDDDDDDDDDDDRRUURRUUUUU…  1
   2  HAIL          86                                        30                                        0
   3  BASILISK      111013:5>8                                7453                                      1
   4  SUNZI         9%11 4%7 55%59 0%13 38%47                 1720849                                   1
   5  HAIL          29                                        88                                        0
   6  AHMES         23/24                                     1/2+1/3+1/8                               0
   7  RUNIC         fddddddddddffffeeeeeeeeeedddddddddddddd…  1f10d4f10e14d3f                           1
   8  ikos          12 1-11 7-9 0-1 2-9 0-3 1-2 3-9 4-6 1-9…  0 3 5 10 7 11 1 2 8 6 9 4                 1
   9  hanjie        5/1,4/2,1/1,2,2/2,1/6,1/1,1,1,1\n1,1,2/…  .#####../#.####../.##.#.../#.##.##./...…  0
  10  TARE          50 47 14 38 4 13 36 29 23|76              47 29                                     0
  11  IDX           144 364635 493193                         39262                                     1
  12  ikos          11 2-10 1-3 4-5 0-5 2-9 4-7 3-8 0-6 0-2…  0 5 10 2 8 7 4 3 1 9 6 0                  0
  13  CHAKRA        97                                        96                                        0
  14  CRIBROT       yolxamlixojbqxixjybo|broad                broadpolarmetalamber                      1
  15  erewhon       ....#.\n..##.#\n...#.#\n..##.#\n.##.#.\…  .##...\n.#.##.\n#.##..\n#.#...\n#.##..\…  0
  16  CHAKRA        157                                       2                                         0
  17  hanjie        1,1/1/2/2,1/1,1,1/1\n2/1/1/1,1,1/1/1,1/…  ..#..#.\n...#...\n.....##\n##.#...\n#..…  1
  18  zebu          B<D A|D A|E C#5 E<C B|E E#2               BEADC                                     1
  19  zebu          D<A C<A A|C B<E D<E A<B E#5 D<B           A=3 B=4 C=2 D=1 E=5                       0
  20  volute        qfopz\ndruvv\npwxay\nlghnd\nvmpji\nnvjly  qfopzvydiyljvnvlpdruvanjpmgwxh            1
  21  HANSOM        7,1 1,8 0,9 9,7 4,4 5,1|36                0 3 1 2 4 5                               1
  22  DUOMASK       bb(a|b)b*.b+bba ba*[ab]b*b+b*bb(a|b)b+.   bbbbbbba                                  1
  23  hanjie        1/3,1/1,1,1/1,1,1,1/1,1,1/3/2,2/2,2\n1,…  #....../.###.#./.#..#.#/#.#.#.#/#..#..#…  0
  24  GRAYLING      11101 11100 7                             11101 01101 00101 10101 10001 11001 110…  1
  25  SPQ           85441480051                               80627                                     1
  26  IDX           92304 226778 789611                       452699                                    1
  27  PP            553                                       355                                       0
  28  GRAYLING      0101 1010 10                              0 1 0 2 0 1 0 3 0 1                       0
  29  CHAKRA        113                                       114                                       0
  30  SPQ           329154667                                 241                                       1
  31  wolf          11001000110101>00110101001010 001100010…  50                                        0
  32  hanjie        2,3/1,1,1/1,2/4/3/5/1,1/2,3\n3,1/1,1,1,…  ##.###\n#.#.#.\n#.##..\n.####.\n...###\…  1
  33  TWINE         ceeccccabbeac|abddbcbebbddecaa|6          cebbec                                    1
  34  krom          -10,3,-9 -2,-7,8 3,9,-10 9,6,-8 6,-8,5 …  -1 -2 3 4 5 6 -7 -8 -9 -10                0
  35  PP            4032                                      4320                                      0
  36  trico         11 2-4 6-9 0-6 8-10 8-9 0-10 2-8 2-10 6…  0 2 0 2 2 0 1 1 2 0 1                     0
  37  DUOMASK       b+[ab]a*[ab]a(a|b).b? .aba.b.             babaabb                                   1
  38  warren        #####################\n#S#...........#.…  118                                       0
  39  PP            9407                                      1                                         0
  40  ANAPAL        abccbacc|baa                              0                                         0
  41  TARE          20 27 7 55 36 5|95                        0 1 2 4 5                                 0
  42  ALLWIN        ab 7                                      aaaaaaabaaaaabbaaaababaaaabbbaaabaabaaa…  1
  43  ALLWIN        ab 6                                      aaaaaabaaaabbaaababaaabbbaabaababbaabba…  0
  44  HANSOM        1,5 4,8 3,3 1,9 8,4|28                    1,5 3,3 8,4 4,8 1,9                       0
  45  GRAYLING      0010 1111 9                               0010,1010,1110,0110,0100,1100,1000,1001…  0
  46  krom          3,-10,4 -5,-4,-3 -5,-3,-10 7,3,-6 -6,-9…  FFFTFFFFFF                                0
  47  AHMES         7/31                                      5 39 6045                                 1
  48  warren        #######################\n#S..#.....#...…  rrddrruurrrrddllddddddllllddrrddllllddd…  0
  49  zebu          D|E B<C A|D A#5                           51243                                     0
  50  wolf          11011000101>11001110100 00101111101>101…  213                                       0
  51  IDX           294770 338476 418009                      160682                                    1
  52  ALLWIN        ab 8                                      aaaaaaaabaaaaaabbaaaaababaaaaabbbaaaaba…  1
  53  volute        jlrgts\npaqwrk\njpmxuo                    jpjpmxuokstgrlaqwr                        0
  54  volute        xutbpe\nvrsewr\nzbyaxt\ngasuyc\nipzexq    xutbpertcqxezpigzvrsewxyusabya            1
  55  ikos          12 3-11 4-7 0-1 0-11 2-11 7-10 3-6 4-6 …  0-3-10-5-7-8-1-9-6-4-2-11                 0
  56  SPQ           183039536677                              75571                                     1
  57  carre         341./...3/4.../.1.4                       3412/1243/4321/2134                       1
  58  CRIBROT       iahmhptmxkunklmvexkd|photo                19                                        0
  59  GRAYLING      1011 0111 4                               10110011000101010111                      0
  60  HANSOM        0,4 9,0 1,5 2,4 9,5 4,1 3,7|33            0 2 6 4 1 5 3 0                           0
  61  zebu          D#2 A|C A<E B|D D<A A#3                   B D A C E                                 0
  62  zebu          B<E C<B B|C A|B B<A D#5                   CBAED                                     1
  63  TWINE         aeebaabeddbd|cbbddbbeccdaad|6             bbddbd                                    1
  64  RUNIC         edaaaeeeeeccfaaagggeeeee                  e1d1a3e5c2f1a3g3e5                        0
  65  warren        ###################\n#S#.....#.....#...…  1,2 1,3 2,3 3,3 4,3 5,3 5,2 5,1 6,1 7,1…  0
  66  HANSOM        0,1 1,4 7,0 1,3 3,2 3,8 9,9|38            0,1 1,3 1,4 3,8 9,9 7,0 3,2 0,1           0
  67  IDX           122078 643292 754991                      24130                                     1
  68  CHAKRA        124                                       127                                       0
  69  krom          -5,4,9 -4,7,2 4,-5,-8 9,-8,5 -7,3,-2 -8…  000110100                                 1
  70  RUNIC         eeeffffffffffffffeeffffffffffffcccccccc…  3e 14f 2e 12f 14c 12e 1g 2b 3e            0
  71  SPQ           85217413751                               93463                                     1
  72  HAIL          46                                        46 23 70 35 106 53 160 80 40 20 10 5 16…  0
  73  HANSOM        0,4 5,4 4,4 3,1 7,8 4,7|28                0 1 4 5 2 3                               1
  74  erewhon       #..#..\n#..#.#\n#....#\n.##..#\n#.....\…  ###.#.\n...#..\n...#..\n##....\n.....#\…  0
