Centaur Zendo round 3 (training)
round_id : 670418f1a5ee41a1a8d2525941050ff8
written  : 2026-09-02 08:13:20Z
presented=694  answered=694  correct=495  skipped=0
client answer latency: mean 0.410 ms  median 0.137 ms  max 25.204 ms  (n=694)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  CRIBROT       nomvrxmjnncjizt|straw                     strawcrosshoney                           1
   1  IDX           131424 52022 947711                       62324                                     1
   2  HAIL          80                                        10                                        0
   3  trico         11 8-10 1-10 0-8 1-6 4-6 7-8 1-2 0-3 2-…  6                                         0
   4  MARIENBAD     1 2 1 8                                   1 2 1 2                                   1
   5  SUNZI         56%89 73%83 1%7                           50786                                     1
   6  regina        ........\n...X...X\n........\n........\…  4                                         0
   7  warren        ###################\n#S#.............#.…  DDRRDDDDRRDDDDDDLLDDLLDDRRRRRRUUUURRDDR…  1
   8  HANSOM        7,1 6,4 5,7 8,1 4,7 6,7 6,6|21            0 1 2 4 5 6 3                             1
   9  trico         10 1-7 7-9 0-7 5-6 1-8 3-6 3-9 1-6 2-8 …  1 3 9                                     0
  10  SPQ           195889847759                              71647                                     1
  11  GRAYLING      10000 01000 4                             10000 00000 00100 01100 01000             1
  12  CRIBROT       pfsoygdoqspfsordzobh|break                breakspacebreadplant                      1
  13  erewhon       .##...\n#..#.#\n.....#\n#.##.#\n..#.#.\…  ......\n####.#\n.##.##\n#.##..\n#....#\…  1
  14  SUNZI         4%17 21%83 29%41                          38118                                     1
  15  erewhon       #...##\n##.#..\n.#.###\n......\n#.#...\…  #.#..#\n##..##\n....##\n..#...\n#.....\…  1
  16  HANSOM        8,0 5,7 1,0 4,3 4,7 5,9|32                0 1 5 4 3 2                               1
  17  GRAYLING      1100 0010 7                               1100 0100 0000 1000 1010 1110 0110 0010   1
  18  trico         10 3-8 4-9 0-4 5-6 3-5 2-8 1-8 3-4 4-5 …  2 1 1 2 1 3 2 2 3 3                       0
  19  TARE          39 24 58 8 54 6|60                        39 24 58 8                                0
  20  trico         9 5-7 0-5 1-5 0-8 0-2 6-8 4-5 3-8 7-8 3…  bbccbabca                                 0
  21  ALLWIN        ab 4                                      aaaabaabbababbbb                          1
  22  IDX           476108 250677 573967                      35812                                     1
  23  PP            1178                                      1187                                      0
  24  zebu          D<E C|D B<E D#2 B|E D<B A<B A<C           ADCBE                                     1
  25  RUNIC         bbbbbbbbbgggggggggeeeeeeeeeeeeeeffddddd…  9b9g14e2f10d1g6b                          1
  26  DUOMASK       (a|b)b(a|b)a[ab].b[ab] .b.a*a?b*aa?(a|b…  abaaaaba                                  1
  27  HANSOM        3,5 5,3 6,2 6,1 6,8|20                    0 1 2 3 4                                 1
  28  CHAKRA        130                                       48                                        0
  29  CHAKRA        151                                       2                                         0
  30  carre         ..2./4.3./.2.1/..1.                       1324/4132/3241/2413                       1
  31  BASILISK      668:9>16                                  224                                       1
  32  SPQ           30278665057                               16903                                     1
  33  BASILISK      437:8>5                                   2122                                      1
  34  skerry        ..##.....##....\n.....#####.....\n.#...…  11                                        1
  35  SUNZI         18%29 45%67 28%47 3%11                    889738                                    1
  36  DUOMASK       b?(a|b)a+.(a|b)b?ab b+b*(a|b)b*ab*bb(a|…  baabbbab                                  1
  37  BASILISK      12121202:3>9                              5552                                      1
  38  PP            8717                                      8771                                      0
  39  HANSOM        9,7 7,0 3,7 5,1 4,2 4,0 0,7|34            0 1 3 5 4 2 6                             1
  40  hanjie        2,1/1,2/1,5/3,1,2/2,1,1/1,1,1,1\n4/2/1,…  ...##..#\n..#..##.\n#..#####\n###.#.##\…  1
  41  TARE          36 8 25 54 57 42|54                       54                                        0
  42  BASILISK      6d3:16>9                                  2351                                      1
  43  BASILISK      14622:7>9                                 5536                                      1
  44  carre         ...2/..14/..../41.3                       1342/3214/2431/4123                       1
  45  IDX           240166 327017 446389                      9672                                      1
  46  zebu          D<A B|E C#5 E#4                           DABEC                                     1
  47  ALLWIN        abcd 3                                    aaabaacaadabbabcabdacbaccacdadbadcaddbb…  1
  48  GRAYLING      0010 1011 4                               0010 1010 1110 1111 1011                  1
  49  wolf          10011000011011>10101011101000 010001010…  01000111                                  1
  50  trico         13 3-4 2-8 3-7 10-11 2-6 1-11 6-8 0-7 0…  10                                        0
  51  CHAKRA        123                                       168                                       0
  52  SPQ           39133805047                               93637                                     1
  53  TWINE         acbbacdbccab|cdadcbabadd|6                cadcab                                    1
  54  DUOMASK       a[ab]b*b(a|b). a+.ba+b*(a|b)              aabaa                                     1
  55  CRIBROT       tvulfyhpzlayluk|money                     moneyraisetrend                           1
  56  MARIENBAD     2 3 15 1                                  2 3 0 1                                   1
  57  IDX           680339 113293 698393                      230034                                    1
  58  warren        #####################\n#S......#.......…  RRRRRRDDRRRRDDLLDDRRRRRRUULLUURRUURRRRD…  1
  59  IDX           398529 515124 931363                      504467                                    1
  60  DUOMASK       (a|b)aa*(a|b)ba[ab]b*ab* a..b+a(a|b)a+    aaabaaa                                   1
  61  SPQ           850135567                                 491                                       1
  62  CHAKRA        94                                        97                                        0
  63  PP            5471                                      2                                         0
  64  BASILISK      314:5>2                                   1010100                                   1
  65  skerry        ...###.#..#..#..\n.......#.......#\n.##…  21                                        1
  66  TARE          59 43 59 39 48 43 5|189                   59+43+39+48                               0
  67  GRAYLING      0101 1100 8                               0101 1101 1001 0001 0011 1011 1111 1110…  1
  68  ikos          9 1-3 1-6 4-6 5-7 1-7 1-2 0-1 2-6 3-7 4…                                            0
  69  SUNZI         64%71 22%29 40%43 10%13                   494153                                    1
  70  krom          6,-3,10 -2,-6,-3 4,-9,-10 1,-2,-8 10,-2…  1010110100                                1
  71  zebu          E<B D|E B|C A<D E#3 A<E A<B C<B           ADECB                                     1
  72  GRAYLING      1010 1111 6                               1010 0010 0110 1110 1100 1101 1111        1
  73  SPQ           649851619                                 449                                       1
  74  IDX           107839 52608 141773                       108248                                    1
  75  volute        yzjl\njoda\nkxno\nusqx\nhdjq\nowhi        yzjlaoxqihwohukjodnqjdsx                  1
  76  erewhon       ......\n..##..\n.#....\n#..#..\n...##.\…                                            0
  77  CHAKRA        139                                       46                                        0
  78  HAIL          57                                        57,172,86,43,130,65,196,98,49,148,74,37…  0
  79  erewhon       ......\n..#.#.\n##..##\n#.#.##\n####.#\…  ...#..\n.#...#\n.#...#\n#....#\n.##..#\…  1
  80  CHAKRA        2                                         1                                         0
  81  trico         9 1-8 4-7 5-6 0-7 1-5 7-8 3-6 3-4 0-1 2…  0 2 3                                     0
  82  CRIBROT       esbgutusbqbcpwfdsfbn|draft                draftstrapabovecream                      1
  83  BASILISK      11110100001:2>3                           2200100                                   1
  84  SUNZI         1%3 5%7 5%47                              334                                       1
  85  skerry        .....#......#...\n....##......#.##\n...…  10                                        1
  86  volute        ymmxws\naqrqnw\nfwghzi\nsdirkn\nygjlpw    ymmxwswinwpljgysfaqrqnzkridwgh            1
  87  hanjie        5/3/1,1/1,2/4/2,1\n1,1/1,1/2,2/2,2/3,2/…  #####..\n..###..\n#...#..\n..#..##\n.##…  1
  88  CRIBROT       hkgnftkhngvcdngctgpc|field                fieldrifletablearena                      1
  89  skerry        ...##.......\n.###........\n#.......#..…  13                                        1
  90  PP            108                                       9                                         0
