Centaur Zendo round 4 (training)
round_id : 842bc976c4a249838101ca03b53b1d2a
written  : 2026-09-02 08:15:58Z
presented=690  answered=690  correct=521  skipped=0
client answer latency: mean 0.377 ms  median 0.132 ms  max 25.220 ms  (n=691)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  krom          7,3,-9 -8,-4,-2 5,6,9 8,7,9 2,-8,-4 -7,…  000001010                                 1
   1  RUNIC         affffffffffeeggggggffffeeeffffffffffffg…  1a10f2e6g4f3e12f2g5a                      1
   2  trico         9 0-1 2-3 1-8 3-5 2-8 4-6 6-7 1-5 4-8 2…  9                                         0
   3  CHAKRA        151                                       150                                       0
   4  volute        ddjnjcj\nxfpcgfy\nacinlun\nwxcvkha\njji…  ddjnjcjynatudzijjwaxfpcgfuhkvcxcinl       1
   5  regina        X....XXX\nX.X.....\n....XXXX\n........\…  74                                        0
   6  HAIL          50                                        329                                       1
   7  HANSOM        3,2 1,8 0,7 5,5 6,9 5,7 4,7|30            0 1 2 6 4 5 3                             1
   8  PP            7277                                      7772777                                   1
   9  TWINE         abbcbcdaacd|cdccaccccccbcbb|4             cdac                                      1
  10  BASILISK      56:16>7                                   152                                       1
  11  TARE          3 13 13 33 45 53 5 20 48|195              13 5 20                                   0
  12  TARE          34 15 36 48 48 12 43 57|100               43 57                                     0
  13  SUNZI         1%17 8%29 0%43                            11782                                     1
  14  hanjie        1,1,1/2/1,1,1/1,1/3/1,2,1/1,3/1,1\n1,1,…                                            0
  15  IDX           429688 593633 728731                      30932                                     1
  16  PP            973                                       97379                                     1
  17  hanjie        1,1/1/1,1/1,2/2,1/1,2\n2/1/1,2/1,2/1,2,…  ..#.#.\n...#..\n..#.#.\n..#.##\n##.#..\…  1
  18  AHMES         5/27                                      6 54                                      1
  19  AHMES         14/25                                     2 17 850                                  1
  20  RUNIC         ggggcccgffffffffffffffeeeeebbbbbbbbbbbb…  4g3c1g14f5e12b14a                         1
  21  TWINE         cdbcaeacaacdea|becddaeaababadd|8          bcaeaaaa                                  1
  22  BASILISK      110000101000:2>8                          6050                                      1
  23  HAIL          68                                        14                                        0
  24  RUNIC         ddddddddddddffccccccccccccccbbbbbbcggga…  12d2f14c6b1c3g9a6c9f                      1
  25  regina        ......\n.X....\n..X...\n.X....\n......\…  29                                        0
  26  HAIL          34                                        39                                        1
  27  carre         1.3./..21/3.1./2..3                       1234/4321/3412/2143                       1
  28  RUNIC         ccccccccccdaaddddddddddddeee              10c1d2a12d3e                              1
  29  HAIL          49                                        24                                        0
  30  RUNIC         aaaaaaaaaddeeeeeeeeeecccccceeeeaaaaaaaa…  9a2d10e6c4e12a9g3f14c                     1
  31  zebu          E<D D<A C#2 B<C B<E                       BCEDA                                     1
  32  skerry        ..#.#...###\n......##...\n#........#.\n…  15                                        1
  33  trico         9 0-1 0-5 1-4 1-6 0-3 0-7 2-5 0-2 1-3 5…  0 1 3                                     0
  34  HAIL          48                                        481                                       1
  35  krom          -4,5,-8 7,-8,-6 3,-7,1 7,8,5 7,-1,-3 4,…  01001000                                  1
  36  warren        #####################\n#S..#.#...#.....…  RRDDLLDDRRRRRRDDRRDDLLDDRRRRRRRRUURRDDD…  1
  37  ikos          9 4-6 2-8 4-8 1-7 5-7 2-6 2-3 7-8 1-2 1…  0 6 4 8 7 5 3 2 1                         1
  38  volute        wirehs\noungoc\nmexvvj                    wirehscjvvxemoungo                        1
  39  erewhon       .#.###\n#.....\n##...#\n#..#.#\n##....\…  ..#.#.\n##..##\n.#####\n...#..\n##...#\…  1
  40  ANAPAL        dcbbddddedeac|dadd                        0                                         0
  41  HAIL          94                                        105                                       0
  42  DUOMASK       aa.a+bbbb+ [ab]a.ab?bb+b                  aaaabbbb                                  1
  43  trico         9 5-6 0-6 3-4 0-4 1-4 1-6 0-3 2-7 1-8 2…  1 2 1 2 3 2 3 3 3                         0
  44  MARIENBAD     8 9 2                                     8 9 1                                     1
  45  wolf          00111100100>10000100001 00010001001011>…  01000001                                  1
  46  SUNZI         62%79 50%73 1%29 1%5                      236351                                    1
  47  RUNIC         agggccccccccccccccddddddddddaaddddddbbb…  1a3g14c10d2a6d3b10a2b                     1
  48  MARIENBAD     5 13 4 2                                  5 3 4 2                                   1
  49  AHMES         12/19                                     2 8 152                                   1
  50  RUNIC         aaaaaabbcccccddddeeeeeeeeeeeeeebbbbbbbb…  6a2b5c4d14e14b14g                         1
  51  SPQ           178471136143                              86843                                     1
  52  SPQ           107150591987                              50329                                     1
  53  HANSOM        7,6 1,4 5,2 6,8 5,6|24                    0 1 2 4 3                                 1
  54  CRIBROT       dwzbskzrdqktmbgunbzk|exact                exactlaserlunchvocal                      1
  55  RUNIC         ccccccdfffeeeeeebbbbbbggggfffgggggggggg…  6c1d3f6e6b4g3f12g3d                       1
  56  ANAPAL        abbabbbccccb|bcb                          5                                         0
  57  TOPPLE        8459=43                                   5*9-8/4                                   0
  58  SPQ           35643481739                               65033                                     1
  59  skerry        .##.....##..\n.........##.\n##....##.#.…  23                                        1
  60  skerry        #....#.#.#.#.#.#\n.........#.#...#\n..#…  20                                        1
  61  TARE          18 58 18 60 35 3 10 30|45                 35+10                                     0
  62  CRIBROT       dgctfitggvdncpmurctm|beard                beardgreetblankspark                      1
  63  TARE          51 4 24 23 49 57|100                      2                                         0
  64  AHMES         9/37                                      5 24 635 563880                           1
  65  volute        yafov\nnlhym\nlupds\nbqdeu\npfobc\numcfr  yafovmsucrfcmupblnlhydebofqupd            1
  66  CHAKRA        118                                       4                                         0
  67  SPQ           1104190391                                683                                       1
  68  TWINE         aceccbdedcabe|cedabdbadcdbdb|7            cebddcb                                   1
  69  SUNZI         38%47 0%2 28%59                           2388                                      1
  70  CHAKRA        58                                        90                                        0
  71  SUNZI         42%43 63%97 46%71 45%61                   559171                                    1
  72  skerry        ..#.#.....#..##.\n##..##.........#\n...…  21                                        1
  73  zebu          A<C B<C C<E C|E C|D B<A                   BADCE                                     1
  74  CHAKRA        40                                        41                                        0
  75  CHAKRA        40                                        0                                         0
  76  skerry        ....##.#.##..\n.#...#.......\n.........…  16                                        1
  77  warren        ###################\n#S#...........#...…  DDRRUURRRRRRRRRRDDDDLLDDRRDDDDLLLLDDRRR…  1
  78  TWINE         dcbbccbdacad|cbaddbbbccbcbd|8             cbbccbcd                                  1
  79  AHMES         3/22                                      8 88                                      1
  80  GRAYLING      1101 0111 10                              1101 0101 0001 1001 1011 0011 0010 1010…  1
  81  HANSOM        0,1 2,5 7,9 2,0 4,3 9,6|38                0 1 2 5 4 3                               1
  82  HANSOM        9,9 2,9 2,5 9,7 7,1|31                    0 1 2 4 3                                 1
  83  regina        .....X.\n..X....\n.....X.\n.......\nX.X…  0                                         0
  84  erewhon       .#....\n.#....\n......\n......\n.#.##.\…  ......\n###...\n......\n##.#..\n......\…  1
  85  DUOMASK       (a|b)aab?b*baaa (a|b).b*a(a|b)(a|b)a[ab…  aaabbaaa                                  1
  86  warren        ###################\n#S#...........#...…  DDRRDDLLDDRRRRDDLLDDDDRRRRRRRRUURRDDDDL…  1
  87  PP            647                                       3746473                                   1
  88  RUNIC         ffeeeeeeeeedddddddddbbbbbbbbbbbbbbddddd…  2f9e9d14b9d2c1f                           1
  89  PP            756                                       1657561                                   1
  90  carre         .2../2.../.421/134.                       4213/2134/3421/1342                       1
  91  warren        #######################\n#S#.......#...…  DDDDRRUURRRRUURRDDRRUURRRRDDDDLLDDDDDDD…  1
  92  krom          6,8,2 -1,8,-5 -7,-1,-5 -1,-7,-8 8,4,5 -…  01111000                                  1
  93  skerry        ....#...##.\n#...#......\n......#..#.\n…  13                                        1
  94  TOPPLE        5387=11                                   7 + (8 / (5 - 3))                         0
  95  RUNIC         eeeeebfffffaaaaeeecccaaaaaaaaaaaaaaffdd…  5e1b5f4a3e3c14a2f5d                       1
  96  zebu          A#1 B|C C<D A<D E<C B|D                   AECBD                                     1
  97  GRAYLING      1110 1010 7                               1110 0110 0010 0000 1000 1001 1011 1010   1
  98  regina        .X...X.X\n.XX....X\nXX...X..\n........\…  0                                         0
  99  DUOMASK       a.ab+a+[ab]a+(a|b) a+aa+.a(a|b)aa?        aaabaaaa                                  1
 100  TWINE         aaacdcdcbbcadda|dcbcdbabccbaddb|9         dccbbcadd                                 1
 101  IDX           274961 103016 830173                      256984                                    1
 102  AHMES         2/27                                      14 378                                    1
 103  TARE          51 16 29 44 59 46|155                     1 2 3 5                                   0
 104  carre         41../.34./..2./321.                       4132/2341/1423/3214                       1
 105  trico         9 0-2 2-7 2-4 1-2 0-3 6-8 5-8 0-6 0-8 1…  aabcccccb                                 0
 106  DUOMASK       .b(a|b)b*bab+a*(a|b) bbbb+.b?.            bbbbaba                                   1
 107  TOPPLE        8295=91                                   91=((8+5)*(9-2))                          0
 108  hanjie        2,3/1,1,1,1/1,1/2,3/2,3/1,1,2\n5/1,3//2…                                            0
 109  volute        iqxhvb\noburrk\nwelttn\nonmmrk            iqxhvbknkrmmnowoburrttle                  1
 110  BASILISK      12001001:3>16                             e59                                       1
 111  RUNIC         aaaaaaaaaaaaaaggdddddddddbbbbbbaaaabbbbb  14a2g9d6b4a5b                             1
 112  SPQ           35930119807                               72727                                     1
 113  warren        ###################\n#S#.........#.....…  DDDDDDRRRRDDDDDDRRUURRRRUULLLLUUUULLLLU…  1
 114  RUNIC         bbccccccccccccccddcccccccccdddffffffccc…  2b14c2d9c3d6f6c1f                         1
 115  DUOMASK       ba(a|b)b*.b[ab]b?[ab] ba+(a|b)a+b(a|b)[…  baaababb                                  1
 116  HAIL          120                                       386                                       1
 117  SPQ           5886580771                                3593                                      1
 118  erewhon       ##....\n#.#...\n#.....\n.#..#.\n......\…  .#....\n##....\n#.#...\n.####.\n...##.\…  1
 119  krom          9,2,8 -4,-2,1 -3,9,4 -6,4,2 -2,1,-9 -2,…  111100100                                 1
 120  AHMES         5/11                                      3 9 99                                    1
 121  SUNZI         2%11 5%23 23%89                           12839                                     1
 122  MARIENBAD     3 12 3 13 9                               3 4 3 13 9                                1
 123  regina        X.XXXXX\n..X..XX\n.XX.X..\nXX.....\n...…  71                                        0
 124  skerry        ....##.....#\n.....#......\n.....#.#...…  10                                        1
 125  DUOMASK       [ab]b(a|b)ba+(a|b)(a|b) ab*b+a*bb[ab]a+.  abbbaaa                                   1
 126  krom          8,6,-1 6,-5,1 -4,7,-8 -8,3,-6 5,-4,7 1,…  00000000                                  1
 127  warren        ###################\n#S..#.............…  RRDDRRRRRRDDLLDDDDLLUULLUULLDDDDDDRRRRD…  1
 128  HAIL          64                                        6                                         0
 129  ALLWIN        ab 3                                      aaababbb                                  1
 130  warren        #####################\n#S#.....#.......…  DDDDRRRRUUUURRDDRRDDRRDDDDRRRRDDDDRRRRD…  1
 131  BASILISK      120223:5>8                                10526                                     1
 132  warren        ###################\n#S#.......#.....#.…  DDDDDDRRUURRDDDDRRDDDDDDRRUUUURRDDDDRRR…  1
 133  carre         13../34.2/.2../.1..                       1324/3412/4231/2143                       1
 134  SUNZI         34%53 56%97 58%73 2%13                    2562796                                   1
 135  CHAKRA        6                                         8                                         0
 136  TARE          33 3 14 57 5 48 17 58|80                  33 57 48 17                               0
 137  SPQ           142812587                                 257                                       1
 138  volute        jcvx\nerrs\nmvod\nuors\npclb\npbmg        jcvxsdsbgmbppumerrorlcov                  1
 139  skerry        .#....#....##.\n.#...#......##\n....##.…  14                                        1
 140  hanjie        2/3,2/1,2/5/1,1/1,2/3\n2,1/2,3/3/1,1/6/…  ##....\n###.##\n..#.##\n#####.\n.#..#.\…  1
 141  wolf          00000110010>11111001101 01111011011011>…  200                                       0
 142  trico         12 4-6 5-9 6-10 6-9 0-2 2-5 4-9 0-11 2-…  10                                        0
 143  RUNIC         cccbbbbbbddddddddddcccbbbccccccccccccbb…  3c6b10d3c3b12c2b3c                        1
 144  AHMES         5/11                                      3 9 99                                    1
 145  DUOMASK       (a|b)a(a|b)bb*a[ab] b+a+b*b?.a*a+a*[ab]   baabaa                                    1
 146  BASILISK      12035:7>8                                 6051                                      1
 147  zebu          D<E C<E A|B A<C B#3 A<B                   DABCE                                     1
 148  GRAYLING      11111 10101 4                             11111 01111 00111 10111 10101             1
 149  BASILISK      5444:8>2                                  101100100100                              1
 150  krom          3,-10,5 -6,10,7 -3,2,-1 4,-1,-10 -2,3,-…  1000011000                                1
 151  CRIBROT       gqfijhtwfqhtfhmufwyd|blade                bladecoralcoachparty                      1
 152  SPQ           61048081373                               23609                                     1
 153  ALLWIN        ab 8                                      aaaaaaaabaaaaaabbaaaaababaaaaabbbaaaaba…  1
 154  DUOMASK       b+b*b+a*b?(a|b)a[ab]b* .b*b?[ab]b+(a|b)a  bbbaa                                     1
 155  carre         ...2/..../2.43/43..                       1432/3214/2143/4321                       1
 156  trico         10 4-5 3-7 7-8 0-2 1-4 2-8 2-5 1-8 2-4 …  0 2 5                                     0
 157  trico         13 8-12 4-10 5-8 7-12 4-11 0-2 6-10 2-1…  3 1 1 2 3 1 1 3 2 3 2 2 1                 0
 158  TARE          21 10 49 30 45 14 4 13|93                 14 30 49                                  0
 159  MARIENBAD     4 10 5 4                                  4 5 5 4                                   1
