Centaur Zendo round 8 (training)
round_id : 9dea73b93ec84dd783c60b52f7054300
written  : 2026-09-02 08:18:58Z
presented=755  answered=753  correct=701  skipped=2
client answer latency: mean 0.342 ms  median 0.123 ms  max 14.328 ms  (n=756)
warn: solve('ANAPAL') raised: ValueError('skip') -> skip
warn: solve('ANAPAL') raised: ValueError('skip') -> skip

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  zebu          B|D B<A A|D D<E E#4 D<C                   BDAEC                                     1
   1  SPQ           105470189353                              52489                                     1
   2  CHAKRA        18                                        6                                         0
   3  krom          7,-9,3 5,-6,2 2,5,3 2,5,-1 -6,9,-1 2,3,…  010100100                                 1
   4  HAIL          50                                        329                                       1
   5  TARE          24 27 24 15 29 58 9 48|168                10001111                                  1
   6  carre         43../.2.4/.14./3..1                       4312/1234/2143/3421                       1
   7  RUNIC         bbbggggggggggggggeeeeeeeeeefffffffffggg…  3b14g10e9f3g6c2e1d                        1
   8  AHMES         13/28                                     3 8 168                                   1
   9  TOPPLE        9749=90                                   974+*9-                                   1
  10  GRAYLING      10000 11010 8                             10000 00000 01000 11000 11100 01100 011…  1
  11  TARE          55 48 9 36 16 60|140                      101011                                    1
  12  ALLWIN        abcd 4                                    aaaabaaacaaadaabbaabcaabdaacbaaccaacdaa…  1
  13  HAIL          129                                       913                                       1
  14  MARIENBAD     7 7 4                                     3 7 4                                     1
  15  zebu          D<C A|B E#1 B|E E<A                       EBADC                                     1
  16  trico         11 1-2 1-5 2-3 5-9 4-5 3-5 5-7 1-8 4-9 …  01211021222                               1
  17  volute        kfo\nbmx\nazl\nodm                        kfoxlmdoabmz                              1
  18  regina        X...X..\n.......\n...X...\n.....X.\n..X…  1350246                                   1
  19  DUOMASK       bb(a|b)a[ab].. (a|b)b*.b(a|b)a?b[ab]      bbbaaba                                   1
  20  BASILISK      11010200:3>7                              11535                                     1
  21  HAIL          34                                        39                                        1
  22  carre         ...2/.24./.1.4/1..3                       4312/3241/2134/1423                       1
  23  TARE          29 17 41 11 32 9 36 47|129                00111110                                  1
  24  TWINE         ddacadcabadcccb|ddccbcbadbdc|8            ddccbadb                                  1
  25  CRIBROT       ybnhjyfgqjhmfnw|twice                     twicetablechair                           1
  26  ALLWIN        ab 7                                      aaaaaaabaaaaabbaaaababaaaabbbaaabaabaaa…  1
