Centaur Zendo — team grace — updated 2026-09-02 08:37:33Z

 round kind      presented answered correct  hit-rate skipped  mean_ms
----------------------------------------------------------------------------
     1 training        883      883       1      0.1%       0    0.122
     2 training        771      771     293     38.0%       0    0.292
     3 training        694      694     495     71.3%       0    0.410
     4 training        690      690     521     75.5%       0    0.377
     5 training        663      660     552     83.3%       3    0.448
     6 training        682      679     580     85.0%       3    0.432
     7 training        694      694     618     89.0%       0    0.365
     8 training        755      753     701     92.8%       2    0.342
     9 training        658      658     627     95.3%       0    0.433
    10 training        668      666     666     99.7%       2    0.460
    11 training        822      822     821     99.9%       0    0.249
    12 training        772      772     772    100.0%       0    0.234
 final final          2283     2283    2283    100.0%       0    0.243

running per-name hit-rate (all rounds)
name             presented correct  hit-rate
---------------------------------------------
HAIL                   401     303     75.6%
CRIBROT                384     339     88.3%
carre                  378     348     92.1%
IDX                    377     341     90.5%
SUNZI                  377     344     91.2%
zebu                   377     326     86.5%
HANSOM                 376     320     85.1%
CHAKRA                 374     150     40.1%
ikos                   373     321     86.1%
SPQ                    372     344     92.5%
volute                 371     335     90.3%
DUOMASK                369     338     91.6%
hanjie                 368     320     87.0%
ANAPAL                 357     187     52.4%
krom                   354     315     89.0%
trico                  352     238     67.6%
TARE                   351     234     66.7%
GRAYLING               350     295     84.3%
skerry                 350     308     88.0%
BASILISK               347     318     91.6%
PP                     345     262     75.9%
TWINE                  345     323     93.6%
ALLWIN                 344     306     89.0%
warren                 343     294     85.7%
AHMES                  341     286     83.9%
RUNIC                  341     296     86.8%
TOPPLE                 330     194     58.8%
MARIENBAD              328     277     84.5%
wolf                   327     256     78.3%
regina                 318     159     50.0%
erewhon                315     253     80.3%
