Centaur Zendo round 6 (training)
round_id : 92e130762d7642c5836b947ed09f52d1
written  : 2026-09-02 08:31:49Z
presented=731  answered=731  correct=731  skipped=0
client answer latency: mean 0.160 ms  median 0.113 ms  max 2.038 ms  (n=732)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  TOPPLE        3925=42                                   93-25+*                                   1
   1  BASILISK      10242:5>7                                 2014                                      1
   2  ALLWIN        abc 5                                     aaaaabaaaacaaabbaaabcaaacbaaaccaababaab…  1
   3  warren        ###################\n#S#.......#...#...…  DDRRDDDDRRUUUUUURRRRDDDDLLDDRRDDRRRRUUR…  1
   4  SUNZI         25%41 3%47 54%79                          51562                                     1
   5  warren        ###################\n#S#...............…  DDDDDDRRDDDDRRUUUURRRRDDRRUUUUUURRDDRRD…  1
   6  IDX           22232 18988 28429                         11138                                     1
   7  ALLWIN        abc 4                                     aaaabaaacaabbaabcaacbaaccababacabbbabbc…  1
   8  carre         ..4./...4/413./..1.                       3241/1324/4132/2413                       1
   9  SPQ           31753263881                               11519                                     1
  10  CHAKRA        67                                        48842 5967                                1
  11  zebu          A|E C|D B<A A#3 A<C A|D                   BEADC                                     1
  12  HAIL          148                                       1707                                      1
  13  HAIL          135                                       1622                                      1
  14  volute        lxiexq\nrstdwq\njskfdm\nlilbvv\npnpwje\…  lxiexqqmveyedcnepljrstdwdvjwpniskfbl      1
  15  erewhon       ....##\n....##\n.###.#\n..###.\n.#.#..\…  ....#.\n#...##\n......\n.###.#\n...#..\…  1
  16  CHAKRA        142                                       143 12                                    1
  17  IDX           98523 111594 165941                       14682                                     1
  18  zebu          B|E A#1 B|D D#2                           ADBEC                                     1
  19  PP            2442                                      924424429                                 1
  20  IDX           55070 248341 556741                       25624                                     1
  21  trico         13 5-6 4-12 1-12 3-7 4-9 3-9 0-2 10-11 …  1202220021101                             1
  22  hanjie        1,2/1,1,1/1/1,3/1,2,2/1/1,3/1,1,1\n2,2,…  #....##.\n#....#.#\n......#.\n#....###\…  1
  23  RUNIC         bbbbbbeeeeeeeeeeeeeeaaacccaaaaaaffddddd…  6b14e3a3c6a2f9d3b                         1
  24  zebu          C#2 A<B E#3 D<E                           DCEAB                                     1
  25  HAIL          70                                        222                                       1
  26  erewhon       .#....\n#.#...\n##....\n....##\n.###.#\…  .##...\n#.....\n.#....\n.#..##\n.....#\…  1
  27  SPQ           492609487                                 653                                       1
  28  MARIENBAD     3 12 9 3 15                               3 6 9 3 15                                1
  29  trico         13 1-4 2-12 7-8 5-11 9-11 2-4 1-7 1-6 1…  0122022012101                             1
  30  ALLWIN        abcd 3                                    aaabaacaadabbabcabdacbaccacdadbadcaddbb…  1
  31  PP            174                                       17471                                     1
  32  BASILISK      20330:7>2                                 1001101101010                             1
  33  IDX           93454 34336 132511                        12523                                     1
  34  BASILISK      1110111111:2>5                            12314                                     1
  35  wolf          1010101010>0101010101 1101111011001>111…  11100000                                  1
  36  trico         9 0-7 5-8 1-6 2-5 1-8 4-8 0-2 1-2 1-7 2…  201220211                                 1
  37  SUNZI         0%2 51%71 14%17                           2394                                      1
  38  IDX           68341 393488 989251                       164201                                    1
  39  MARIENBAD     2 7 4                                     2 6 4                                     1
  40  SUNZI         36%61 17%23 28%67 4%11                    497369                                    1
  41  ANAPAL        cececccbc|ecbc                            ccecbcecc                                 1
  42  hanjie        2,2/1,1,2/1,1,1/2,2,1/1,1,1/2,2\n1,2/1,…  .##...##\n#.#.##..\n..#..#.#\n##..##.#\…  1
  43  trico         9 6-8 0-1 4-6 0-2 0-3 2-6 0-5 2-8 3-6 0…  011222022                                 1
  44  ikos          11 2-3 4-8 7-9 3-6 3-8 0-3 0-7 1-5 0-2 …  0 8 4 10 5 1 7 9 6 3 2                    1
  45  SUNZI         11%43 0%5 10%79                           10675                                     1
  46  TOPPLE        9174=48                                   97+41-*                                   1
  47  IDX           472080 789611 949607                      720501                                    1
  48  PP            1427                                      142707241                                 1
  49  SPQ           1607189593                                1471                                      1
  50  CHAKRA        51                                        50 7                                      1
  51  TOPPLE        6528=59                                   862+*5-                                   1
  52  erewhon       ...###\n...###\n....##\n##....\n...#.#\…  ....#.\n..#.##\n......\n#....#\n##...#\…  1
  53  erewhon       .###.#\n#....#\n#....#\n......\n..#.#.\…  .....#\n######\n.##.#.\n...#..\n...##.\…  1
  54  CHAKRA        6                                         5 2                                       1
  55  GRAYLING      1001 1111 6                               1001 1000 1010 1011 0011 0111 1111        1
  56  regina        X..X.X\n.....X\n...X..\n....X.\nXX.X..\…  304152                                    1
  57  krom          8,-9,1 5,-2,-9 5,2,8 9,4,5 -7,8,-5 -1,3…  101111111                                 1
  58  TWINE         dcaabcaedaeeece|dbcdeccecbdbcbbc|7        dbcdece                                   1
  59  trico         9 1-4 6-7 1-7 4-7 6-8 4-6 2-7 5-8 3-4 2…  120102211                                 1
  60  regina        ......\n.X...X\n.XXXX.\nX...X.\n.X..XX\…  251403                                    1
  61  regina        ...X.X..\n........\n....X...\nX......X\…  06357142                                  1
  62  hanjie        2,1/1/2,1/3/1,1,1/6/3,1\n1,3/1,2/1,1,3/…  .##..#\n#.....\n..##.#\n...###\n#.#.#.\…  1
  63  krom          3,-10,-7 -2,-4,7 -4,8,3 4,1,-2 -8,-10,9…  1010111110                                1
  64  RUNIC         dddccccccddddddddddddddfffffffffdddbb     3d6c14d9f3d2b                             1
  65  BASILISK      ca6:16>8                                  6246                                      1
  66  CRIBROT       htqpvnkxgtrwrkntgcej|front                frontliverpupilreach                      1
  67  regina        .X..XX.\n.......\n..X....\n....X..\n...…  0246135                                   1
  68  ALLWIN        abc 4                                     aaaabaaacaabbaabcaacbaaccababacabbbabbc…  1
  69  GRAYLING      10110 11010 8                             10110 10111 10101 10100 10000 10001 100…  1
  70  PP            3586                                      3586853                                   1
  71  TWINE         adaeddecbbec|daecbdebabcec|9              daedebbec                                 1
  72  ALLWIN        abc 4                                     aaaabaaacaabbaabcaacbaaccababacabbbabbc…  1
  73  ANAPAL        eaedaddd|edad                             edaddade                                  1
  74  HANSOM        4,9 7,8 9,2 6,7 8,2|24                    0 1 2 4 3                                 1
  75  ikos          11 6-9 1-5 7-9 6-10 4-10 1-4 7-8 2-7 8-…  0 4 10 6 9 7 8 1 5 3 2                    1
  76  ikos          9 2-6 7-8 6-8 4-8 6-7 0-3 1-4 5-7 2-3 0…  0 3 1 4 7 5 8 6 2                         1
  77  IDX           353092 866641 970777                      239967                                    1
  78  MARIENBAD     3 13 6 4 5                                3 4 6 4 5                                 1
  79  hanjie        1,1/3/3,1/1,2/2,1,1/1,2/1/2\n2,1/2,4/4/…  ..#..#\n.###..\n.###.#\n#.##..\n##.#.#\…  1
  80  trico         9 4-6 0-1 3-6 2-5 7-8 3-4 4-5 6-8 2-8 0…  212120021                                 1
  81  ANAPAL        acaebeaacba|ea                            eaabcacbaae                               1
  82  CHAKRA        106                                       32080051 3115890                          1
  83  trico         10 6-8 5-8 1-5 5-9 5-7 1-4 3-6 0-9 4-9 …  1202001122                                1
  84  trico         11 5-8 1-6 1-7 0-9 5-10 2-9 0-5 5-7 3-4…  20012012211                               1
  85  BASILISK      221112:3>2                                1010110001                                1
  86  ikos          12 0-2 2-3 0-5 4-7 1-4 3-4 4-11 2-6 1-5…  0 10 2 3 1 4 7 9 11 6 5 8                 1
  87  warren        ###################\n#S#...#.....#.....…  DDDDRRDDLLDDRRDDLLDDRRRRUUUURRDDDDRRUUR…  1
  88  BASILISK      6715:9>2                                  1001101011011                             1
  89  CHAKRA        157                                       46698728731849 3726964292220              1
  90  ANAPAL        cdaabbbcbad|dca                           dcabbabbacd                               1
  91  skerry        ...##.......##\n.....##.##...#\n.#....#…  13                                        1
  92  CRIBROT       zwjyabexanpkgaj|dance                     dancefibertoken                           1
  93  krom          -3,8,7 2,-7,5 -4,-7,3 -1,3,-2 7,-1,8 2,…  01111111                                  1
  94  erewhon       ..#.##\n..##.#\n.#...#\n.####.\n.##..#\…  ....#.\n.#####\n.....#\n#..##.\n.##...\…  1
  95  ALLWIN        abc 4                                     aaaabaaacaabbaabcaacbaaccababacabbbabbc…  1
  96  ALLWIN        ab 3                                      aaababbb                                  1
  97  SUNZI         41%59 1%3 13%47 9%29                      229138                                    1
  98  ikos          9 0-4 3-6 3-4 2-8 1-8 5-7 6-7 2-7 5-8 2…  0 4 8 1 7 5 3 6 2                         1
