Centaur Zendo round 7 (training)
round_id : 60dba258280c48fdbfd23b80b61c110e
written  : 2026-09-02 08:32:19Z
presented=871  answered=871  correct=871  skipped=0
client answer latency: mean 0.172 ms  median 0.123 ms  max 1.717 ms  (n=872)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  CRIBROT       yixpqmixkqqofxi|blast                     blastplanttrial                           1
   1  PP            8289                                      1982891                                   1
   2  skerry        ..........##.#..\n....#...........\n...…  19                                        1
   3  MARIENBAD     8 5 7                                     2 5 7                                     1
   4  ALLWIN        ab 8                                      aaaaaaaabaaaaaabbaaaaababaaaaabbbaaaaba…  1
   5  warren        #####################\n#S#.....#.....#.…  DDRRRRDDLLDDDDDDLLDDDDRRUURRUUUURRRRUUR…  1
   6  MARIENBAD     15 4 10 14 7                              7 4 10 14 7                               1
   7  CRIBROT       slclychbsazallyjyhzo|lever                levervaultsteercrash                      1
   8  zebu          B<C B|C E<A B|D B<E                       DBCEA                                     1
   9  TWINE         badeeeccadc|addaddbdbdbedcac|6            adecac                                    1
  10  SUNZI         8%97 4%5 0%71 7%11                        216124                                    1
  11  TARE          29 49 51 58 15 59|183                     001111                                    1
  12  carre         .42./21.4/..43/..1.                       3421/2134/1243/4312                       1
  13  CRIBROT       udlthcqjwtjuuxfyaxxo|lucky                luckythankallowproof                      1
  14  IDX           232382 768592 809891                      270258                                    1
  15  PP            808                                       38083                                     1
  16  zebu          C<E A#3 C#4 A|B D<E A<E                   DBACE                                     1
  17  hanjie        4/1,1,1,1/3,1/4,1/4/1,4/7/1,1\n1,2/1,2,…  .####..\n#.#.#.#\n.###..#\n.####.#\n...…  1
  18  zebu          A#2 A|B A<E B|C                           DABCE                                     1
  19  HANSOM        3,1 6,9 2,3 1,5 9,3|33                    0 2 3 1 4                                 1
  20  TARE          32 10 16 48 20 28|138                     110111                                    1
  21  ikos          10 0-8 4-5 6-9 3-8 4-7 3-9 0-1 8-9 3-5 …  0 1 7 4 5 3 9 6 2 8                       1
  22  IDX           151661 125815 208907                      26650                                     1
  23  wolf          00010100000>00111110000 0011000010>0101…  11110110                                  1
  24  TWINE         bdbcdaaabdd|aabbdcddbacbcc|6              bbcdab                                    1
  25  SPQ           71786574677                               29411                                     1
  26  BASILISK      120102:5>8                                10462                                     1
  27  wolf          00011110110111>10011100100110 001100100…  10011100                                  1
  28  TARE          12 47 40 60 36 7 54 32 59|107             010100000                                 1
  29  krom          -5,3,8 3,-1,2 -3,-8,-6 -4,8,5 3,-1,5 6,…  11100110                                  1
  30  CHAKRA        147                                       97 8                                      1
  31  PP            591                                       1951591                                   1
  32  HANSOM        8,6 5,1 8,1 1,1 6,0|27                    0 1 3 4 2                                 1
  33  ikos          10 1-2 5-6 0-6 3-4 1-8 7-8 3-9 1-3 1-7 …  0 4 5 2 8 7 6 9 3 1                       1
  34  HANSOM        8,7 5,2 1,9 2,6 1,2|30                    0 1 4 2 3                                 1
  35  CRIBROT       chccldhvygohvyqpybpx|puppy                puppyquiltbuildclock                      1
  36  ANAPAL        abacccbbccc|ccb                           ccbacbcabcc                               1
  37  SPQ           172514401                                 193                                       1
  38  volute        auqpp\nglmww\nphbft\nrmbrv                auqppwtvrbmrpglmwfbh                      1
  39  GRAYLING      1011 0101 9                               1011 1010 1000 1001 1101 1100 1110 1111…  1
  40  ALLWIN        ab 6                                      aaaaaabaaaabbaaababaaabbbaabaababbaabba…  1
  41  TARE          17 7 26 56 12 47|36                       110010                                    1
  42  regina        X.....X.\n...XX...\n.......X\n...X..X.\…  17502463                                  1
  43  SUNZI         1%3 6%73 3%7                              955                                       1
  44  PP            5473                                      15473037451                               1
  45  skerry        ......#.......##\n###.#.#.#.#.##.#\n...…  25                                        1
  46  hanjie        1,4/2/1,3/4,2/2/1,1,1\n1,1,1/1/3/2,2/3,…  #..####\n...##..\n..#.###\n####.##\n..#…  1
