Centaur Zendo — team linus — updated 2026-09-02 08:38:23Z

 round kind      presented answered correct  hit-rate skipped  mean_ms
----------------------------------------------------------------------------
     1 training        917      917       0      0.0%       0    0.119
     2 training        825      825     238     28.8%       0    0.194
     3 training        812      812     679     83.6%       0    0.215
     4 training        745      745     745    100.0%       0    0.220
     5 training        879      879     879    100.0%       0    0.171
     6 training        731      731     731    100.0%       0    0.160
     7 training        871      871     871    100.0%       0    0.172
     8 training        850      850     850    100.0%       0    0.167
     9 training          0        0       0      0.0%       0    0.254
    10 training          0        0       0      0.0%       0    0.114
    11 training          0        0       0      0.0%       0    0.127
    12 training          0        0       0      0.0%       0    0.126
 final final          2279     2279    2279    100.0%       0    0.192

running per-name hit-rate (all rounds)
name             presented correct  hit-rate
---------------------------------------------
SPQ                    312     226     72.4%
MARIENBAD              311     247     79.4%
CHAKRA                 310     253     81.6%
CRIBROT                306     248     81.0%
DUOMASK                304     274     90.1%
TARE                   303     209     69.0%
PP                     301     273     90.7%
ALLWIN                 300     257     85.7%
GRAYLING               295     239     81.0%
hanjie                 295     251     85.1%
ANAPAL                 294     259     88.1%
SUNZI                  294     251     85.4%
volute                 294     245     83.3%
warren                 293     253     86.3%
BASILISK               292     260     89.0%
ikos                   290     247     85.2%
zebu                   290     218     75.2%
carre                  287     247     86.1%
AHMES                  286     234     81.8%
HAIL                   286     219     76.6%
TWINE                  286     235     82.2%
skerry                 285     238     83.5%
krom                   283     228     80.6%
erewhon                282     197     69.9%
trico                  281     226     80.4%
HANSOM                 280     231     82.5%
wolf                   263     187     71.1%
IDX                    257     227     88.3%
regina                 255     200     78.4%
RUNIC                  254     204     80.3%
TOPPLE                 240     189     78.8%
