Centaur Zendo round 1 (training)
round_id : 4534bce2e19e4b49aa40aebe0d7a94a7
written  : 2026-09-02 09:37:35Z
presented=937  answered=0  correct=0  skipped=938
client answer latency: mean 0.083 ms  median 0.075 ms  max 1.267 ms  (n=938)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     P5                                        None                                      0
   1  LegoZendo     N11                                       None                                      0
   2  LegoZendo     J12                                       None                                      0
   3  LegoZendo     S12                                       None                                      0
   4  LegoZendo     O2                                        None                                      0
   5  LegoZendo     T8                                        None                                      0
   6  LegoZendo     C6                                        None                                      0
   7  LegoZendo     F7                                        None                                      0
   8  LegoZendo     Y9                                        None                                      0
   9  LegoZendo     K3                                        None                                      0
  10  LegoZendo     Q9                                        None                                      0
  11  LegoZendo     N10                                       None                                      0
  12  LegoZendo     N12                                       None                                      0
  13  LegoZendo     C10                                       None                                      0
  14  LegoZendo     H10                                       None                                      0
  15  LegoZendo     H9                                        None                                      0
  16  LegoZendo     G12                                       None                                      0
  17  LegoZendo     B6                                        None                                      0
  18  LegoZendo     R9                                        None                                      0
  19  LegoZendo     W4                                        None                                      0
  20  LegoZendo     Q9                                        None                                      0
  21  LegoZendo     I3                                        None                                      0
  22  LegoZendo     U6                                        None                                      0
  23  LegoZendo     V0                                        None                                      0
  24  LegoZendo     B12                                       None                                      0
  25  LegoZendo     R7                                        None                                      0
  26  LegoZendo     G2                                        None                                      0
  27  LegoZendo     M0                                        None                                      0
  28  LegoZendo     C3                                        None                                      0
  29  LegoZendo     G0                                        None                                      0
  30  LegoZendo     P8                                        None                                      0
  31  LegoZendo     O0                                        None                                      0
  32  LegoZendo     A11                                       None                                      0
  33  LegoZendo     K4                                        None                                      0
  34  LegoZendo     P12                                       None                                      0
  35  LegoZendo     H5                                        None                                      0
  36  LegoZendo     P10                                       None                                      0
  37  LegoZendo     K4                                        None                                      0
  38  LegoZendo     U4                                        None                                      0
  39  LegoZendo     Y0                                        None                                      0
  40  LegoZendo     T12                                       None                                      0
  41  LegoZendo     W9                                        None                                      0
  42  LegoZendo     J12                                       None                                      0
  43  LegoZendo     K8                                        None                                      0
  44  LegoZendo     E4                                        None                                      0
  45  LegoZendo     O12                                       None                                      0
  46  LegoZendo     Z2                                        None                                      0
  47  LegoZendo     W9                                        None                                      0
  48  LegoZendo     W2                                        None                                      0
  49  LegoZendo     Y7                                        None                                      0
  50  LegoZendo     V7                                        None                                      0
  51  LegoZendo     T9                                        None                                      0
  52  LegoZendo     U11                                       None                                      0
  53  LegoZendo     R8                                        None                                      0
  54  LegoZendo     Q12                                       None                                      0
  55  LegoZendo     R5                                        None                                      0
  56  LegoZendo     F5                                        None                                      0
  57  LegoZendo     W2                                        None                                      0
  58  LegoZendo     A5                                        None                                      0
  59  LegoZendo     P8                                        None                                      0
  60  LegoZendo     U6                                        None                                      0
  61  LegoZendo     P2                                        None                                      0
  62  LegoZendo     C7                                        None                                      0
  63  LegoZendo     Q2                                        None                                      0
  64  LegoZendo     X10                                       None                                      0
  65  LegoZendo     C3                                        None                                      0
  66  LegoZendo     O5                                        None                                      0
  67  LegoZendo     S9                                        None                                      0
  68  LegoZendo     V7                                        None                                      0
  69  LegoZendo     B11                                       None                                      0
  70  LegoZendo     J0                                        None                                      0
  71  LegoZendo     N9                                        None                                      0
  72  LegoZendo     G0                                        None                                      0
  73  LegoZendo     S4                                        None                                      0
  74  LegoZendo     V10                                       None                                      0
  75  LegoZendo     W10                                       None                                      0
  76  LegoZendo     Y4                                        None                                      0
  77  LegoZendo     Q8                                        None                                      0
  78  LegoZendo     H5                                        None                                      0
  79  LegoZendo     R4                                        None                                      0
  80  LegoZendo     B8                                        None                                      0
  81  LegoZendo     C8                                        None                                      0
  82  LegoZendo     D6                                        None                                      0
  83  LegoZendo     E6                                        None                                      0
  84  LegoZendo     B2                                        None                                      0
  85  LegoZendo     L8                                        None                                      0
  86  LegoZendo     D12                                       None                                      0
  87  LegoZendo     Q10                                       None                                      0
  88  LegoZendo     X9                                        None                                      0
  89  LegoZendo     B2                                        None                                      0
  90  LegoZendo     Q5                                        None                                      0
  91  LegoZendo     F9                                        None                                      0
  92  LegoZendo     Z4                                        None                                      0
  93  LegoZendo     F4                                        None                                      0
  94  LegoZendo     G2                                        None                                      0
  95  LegoZendo     L5                                        None                                      0
  96  LegoZendo     Y7                                        None                                      0
  97  LegoZendo     D10                                       None                                      0
  98  LegoZendo     P10                                       None                                      0
  99  LegoZendo     T5                                        None                                      0
 100  LegoZendo     U11                                       None                                      0
 101  LegoZendo     T9                                        None                                      0
 102  LegoZendo     F6                                        None                                      0
