Centaur Zendo round 2 (training)
round_id : 42af5dffddd840c685b2ca5c65ee2843
written  : 2026-09-02 09:40:31Z
presented=935  answered=935  correct=71  skipped=0
client answer latency: mean 0.103 ms  median 0.097 ms  max 1.285 ms  (n=935)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     O9                                        .PPP.............\n.PPP.............\n.…  0
   1  LegoZendo     D11                                       ~QQQ~~\n~QQQ~~\n~YYY~~\n~YYY~~\nYYYYYY\…  0
   2  LegoZendo     H10                                       .AAA.............\n.AAA.............\n.…  0
   3  LegoZendo     L8                                        ~PPP~~~~~~~~~~~~~\n~PPP~~~~~~~~~~~~~\n~…  0
   4  LegoZendo     O8                                        .QQQ..\n.QQQ..\n.YYY..\n.YYY..\nYYYYYY\…  0
   5  LegoZendo     P5                                        ~AAA~~\n~AAA~~\n~AAA~~\n~AAA~~\nAAAAAA\…  0
   6  LegoZendo     J2                                        .PPP.............\n.PPP.............\n.…  0
   7  LegoZendo     N10                                       .NNN.............\n.NNN.............\n.…  0
   8  LegoZendo     I8                                        ~III~~\n~III~~\n~III~~\n~III~~\nIIIIII\…  0
   9  LegoZendo     V10                                       AAA\nAAA                                  0
  10  LegoZendo     C9                                        ...\n...                                  0
  11  LegoZendo     Z6                                        #QQQ##\n#QQQ##\n#YYY##\n#YYY##\nYYYYYY\…  0
  12  LegoZendo     T12                                       .PPP.............\n.PPP.............\n.…  0
  13  LegoZendo     B6                                        ~QQQ~~\n~QQQ~~\n~YYY~~\n~YYY~~\nYYYYYY\…  0
  14  LegoZendo     Q6                                        .AAA.............\n.AAA.............\n.…  0
  15  LegoZendo     N5                                        ~PPP~~~~~~~~~~~~~\n~PPP~~~~~~~~~~~~~\n~…  0
  16  LegoZendo     D9                                        .QQQ..\n.QQQ..\n.YYY..\n.YYY..\nYYYYYY\…  0
  17  LegoZendo     U11                                       ~AAA~~\n~AAA~~\n~AAA~~\n~AAA~~\nAAAAAA\…  0
  18  LegoZendo     K5                                        .PPP.............\n.PPP.............\n.…  0
  19  LegoZendo     C7                                        .CCC.............\n.CCC.............\n.…  0
  20  LegoZendo     S2                                        ~SSS~~\n~SSS~~\n~SSS~~\n~SSS~~\nSSSSSS\…  0
  21  LegoZendo     N7                                        AAA\nAAA                                  0
