Centaur Zendo round 1 (training)
round_id : ad2ec64022d3476cbfabe10e984289e0
written  : 2026-09-02 09:37:35Z
presented=1296  answered=0  correct=0  skipped=1297
client answer latency: mean 0.075 ms  median 0.069 ms  max 1.098 ms  (n=1297)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     Y4                                        None                                      0
   1  LegoZendo     X4                                        None                                      0
   2  LegoZendo     Y2                                        None                                      0
   3  LegoZendo     T8                                        None                                      0
   4  LegoZendo     L11                                       None                                      0
   5  LegoZendo     T4                                        None                                      0
   6  LegoZendo     V9                                        None                                      0
   7  LegoZendo     D4                                        None                                      0
   8  LegoZendo     M11                                       None                                      0
   9  LegoZendo     U5                                        None                                      0
  10  LegoZendo     W10                                       None                                      0
  11  LegoZendo     M8                                        None                                      0
  12  LegoZendo     N12                                       None                                      0
  13  LegoZendo     S10                                       None                                      0
  14  LegoZendo     Y8                                        None                                      0
  15  LegoZendo     B2                                        None                                      0
  16  LegoZendo     U9                                        None                                      0
  17  LegoZendo     U0                                        None                                      0
  18  LegoZendo     D3                                        None                                      0
  19  LegoZendo     P5                                        None                                      0
  20  LegoZendo     V2                                        None                                      0
  21  LegoZendo     M12                                       None                                      0
  22  LegoZendo     N9                                        None                                      0
  23  LegoZendo     F4                                        None                                      0
  24  LegoZendo     C9                                        None                                      0
  25  LegoZendo     D0                                        None                                      0
  26  LegoZendo     G11                                       None                                      0
  27  LegoZendo     B12                                       None                                      0
  28  LegoZendo     B0                                        None                                      0
  29  LegoZendo     I2                                        None                                      0
  30  LegoZendo     P0                                        None                                      0
  31  LegoZendo     H11                                       None                                      0
  32  LegoZendo     R7                                        None                                      0
  33  LegoZendo     B10                                       None                                      0
  34  LegoZendo     A9                                        None                                      0
  35  LegoZendo     L6                                        None                                      0
  36  LegoZendo     E0                                        None                                      0
  37  LegoZendo     D0                                        None                                      0
  38  LegoZendo     W12                                       None                                      0
  39  LegoZendo     X5                                        None                                      0
  40  LegoZendo     L0                                        None                                      0
  41  LegoZendo     R0                                        None                                      0
  42  LegoZendo     L6                                        None                                      0
  43  LegoZendo     Y12                                       None                                      0
  44  LegoZendo     J3                                        None                                      0
  45  LegoZendo     J12                                       None                                      0
  46  LegoZendo     T3                                        None                                      0
  47  LegoZendo     B0                                        None                                      0
  48  LegoZendo     D9                                        None                                      0
  49  LegoZendo     C4                                        None                                      0
  50  LegoZendo     O4                                        None                                      0
  51  LegoZendo     T2                                        None                                      0
  52  LegoZendo     A2                                        None                                      0
  53  LegoZendo     W0                                        None                                      0
  54  LegoZendo     H2                                        None                                      0
  55  LegoZendo     C8                                        None                                      0
  56  LegoZendo     F2                                        None                                      0
  57  LegoZendo     L12                                       None                                      0
  58  LegoZendo     Q7                                        None                                      0
  59  LegoZendo     S11                                       None                                      0
  60  LegoZendo     Y6                                        None                                      0
  61  LegoZendo     I9                                        None                                      0
  62  LegoZendo     K0                                        None                                      0
  63  LegoZendo     V3                                        None                                      0
  64  LegoZendo     L9                                        None                                      0
  65  LegoZendo     U11                                       None                                      0
  66  LegoZendo     Z0                                        None                                      0
  67  LegoZendo     H11                                       None                                      0
  68  LegoZendo     V3                                        None                                      0
  69  LegoZendo     N7                                        None                                      0
  70  LegoZendo     L10                                       None                                      0
  71  LegoZendo     K3                                        None                                      0
  72  LegoZendo     K6                                        None                                      0
  73  LegoZendo     Z6                                        None                                      0
  74  LegoZendo     M8                                        None                                      0
  75  LegoZendo     A2                                        None                                      0
  76  LegoZendo     G7                                        None                                      0
  77  LegoZendo     A11                                       None                                      0
  78  LegoZendo     O10                                       None                                      0
  79  LegoZendo     S8                                        None                                      0
  80  LegoZendo     R11                                       None                                      0
  81  LegoZendo     P7                                        None                                      0
  82  LegoZendo     A7                                        None                                      0
  83  LegoZendo     E0                                        None                                      0
  84  LegoZendo     C9                                        None                                      0
  85  LegoZendo     U7                                        None                                      0
  86  LegoZendo     L0                                        None                                      0
  87  LegoZendo     F9                                        None                                      0
  88  LegoZendo     F2                                        None                                      0
  89  LegoZendo     T10                                       None                                      0
  90  LegoZendo     S5                                        None                                      0
  91  LegoZendo     Q7                                        None                                      0
  92  LegoZendo     E3                                        None                                      0
  93  LegoZendo     R2                                        None                                      0
  94  LegoZendo     B0                                        None                                      0
  95  LegoZendo     O8                                        None                                      0
  96  LegoZendo     X3                                        None                                      0
  97  LegoZendo     G3                                        None                                      0
  98  LegoZendo     D8                                        None                                      0
  99  LegoZendo     L6                                        None                                      0
 100  LegoZendo     F4                                        None                                      0
 101  LegoZendo     P7                                        None                                      0
 102  LegoZendo     T5                                        None                                      0
 103  LegoZendo     G0                                        None                                      0
 104  LegoZendo     J7                                        None                                      0
 105  LegoZendo     U5                                        None                                      0
 106  LegoZendo     K9                                        None                                      0
 107  LegoZendo     D11                                       None                                      0
 108  LegoZendo     U5                                        None                                      0
 109  LegoZendo     N8                                        None                                      0
 110  LegoZendo     A2                                        None                                      0
 111  LegoZendo     B4                                        None                                      0
 112  LegoZendo     Y9                                        None                                      0
 113  LegoZendo     F12                                       None                                      0
 114  LegoZendo     T2                                        None                                      0
 115  LegoZendo     E6                                        None                                      0
 116  LegoZendo     J10                                       None                                      0
 117  LegoZendo     I0                                        None                                      0
 118  LegoZendo     Q12                                       None                                      0
 119  LegoZendo     T5                                        None                                      0
 120  LegoZendo     L12                                       None                                      0
 121  LegoZendo     L8                                        None                                      0
 122  LegoZendo     S11                                       None                                      0
 123  LegoZendo     H12                                       None                                      0
 124  LegoZendo     S8                                        None                                      0
 125  LegoZendo     A6                                        None                                      0
 126  LegoZendo     D0                                        None                                      0
 127  LegoZendo     H5                                        None                                      0
 128  LegoZendo     B0                                        None                                      0
 129  LegoZendo     N5                                        None                                      0
 130  LegoZendo     Y5                                        None                                      0
 131  LegoZendo     D4                                        None                                      0
 132  LegoZendo     K6                                        None                                      0
 133  LegoZendo     P12                                       None                                      0
 134  LegoZendo     W10                                       None                                      0
 135  LegoZendo     R6                                        None                                      0
 136  LegoZendo     D7                                        None                                      0
 137  LegoZendo     H6                                        None                                      0
 138  LegoZendo     E6                                        None                                      0
 139  LegoZendo     Z3                                        None                                      0
 140  LegoZendo     G8                                        None                                      0
 141  LegoZendo     D4                                        None                                      0
 142  LegoZendo     P11                                       None                                      0
 143  LegoZendo     Z0                                        None                                      0
 144  LegoZendo     F4                                        None                                      0
 145  LegoZendo     P0                                        None                                      0
 146  LegoZendo     V8                                        None                                      0
 147  LegoZendo     V5                                        None                                      0
 148  LegoZendo     P6                                        None                                      0
 149  LegoZendo     G3                                        None                                      0
 150  LegoZendo     R11                                       None                                      0
 151  LegoZendo     Z2                                        None                                      0
 152  LegoZendo     I3                                        None                                      0
 153  LegoZendo     T0                                        None                                      0
 154  LegoZendo     I0                                        None                                      0
 155  LegoZendo     C12                                       None                                      0
