Centaur Zendo round 2 (training)
round_id : 80e47e4918e94bac88b0ff99abb4733e
written  : 2026-09-02 09:39:15Z
presented=956  answered=956  correct=86  skipped=0
client answer latency: mean 0.093 ms  median 0.088 ms  max 1.084 ms  (n=956)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     I11                                       ..JJJ..............\n..JJJ.............…  0
   1  LegoZendo     C9                                        ~~AAA~~~~~~~~~\n~~AAA~~~~~~~~~\n~~XXXXX…  0
   2  LegoZendo     A5                                        ..JJJ..............\n..JJJ.............…  0
   3  LegoZendo     M7                                        ~~AAA~~~~~~~~~\n~~AAA~~~~~~~~~\n~~XXXXX…  0
   4  LegoZendo     F5                                        ..JJJ..............\n..JJJ.............…  0
   5  LegoZendo     Y5                                        ~~AAA~~~~~~~~~\n~~AAA~~~~~~~~~\n~~XXXXX…  0
   6  LegoZendo     P5                                        ..JJJ..............\n..JJJ.............…  0
   7  LegoZendo     L3                                        ~~AAA~~~~~~~~~\n~~AAA~~~~~~~~~\n~~XXXXX…  0
   8  LegoZendo     Q11                                       ..JJJ..............\n..JJJ.............…  0
   9  LegoZendo     D9                                        ~~AAA~~~~~~~~~\n~~AAA~~~~~~~~~\n~~XXXXX…  0
  10  LegoZendo     L10                                       ..JJJ..............\n..JJJ.............…  0
  11  LegoZendo     P6                                        ~~AAA~~~~~~~~~\n~~AAA~~~~~~~~~\n~~XXXXX…  0
  12  LegoZendo     C0                                        ..JJJ..............\n..JJJ.............…  1
  13  LegoZendo     C11                                       ~~AAA~~~~~~~~~\n~~AAA~~~~~~~~~\n~~XXXXX…  0
  14  LegoZendo     A7                                        ..JJJ..............\n..JJJ.............…  0
  15  LegoZendo     V6                                        ~~AAA~~~~~~~~~\n~~AAA~~~~~~~~~\n~~XXXXX…  0
  16  LegoZendo     R8                                        ..JJJ..............\n..JJJ.............…  0
  17  LegoZendo     G5                                        ~~AAA~~~~~~~~~\n~~AAA~~~~~~~~~\n~~XXXXX…  0
  18  LegoZendo     J5                                        ..JJJ..............\n..JJJ.............…  0
  19  LegoZendo     G5                                        ~~AAA~~~~~~~~~\n~~AAA~~~~~~~~~\n~~XXXXX…  0
  20  LegoZendo     D8                                        ..JJJ..............\n..JJJ.............…  0
  21  LegoZendo     C5                                        ~~AAA~~~~~~~~~\n~~AAA~~~~~~~~~\n~~XXXXX…  0
  22  LegoZendo     Z3                                        ..JJJ..............\n..JJJ.............…  0
  23  LegoZendo     S9                                        ~~AAA~~~~~~~~~\n~~AAA~~~~~~~~~\n~~XXXXX…  0
  24  LegoZendo     W8                                        ..JJJ..............\n..JJJ.............…  0
  25  LegoZendo     V8                                        ~~AAA~~~~~~~~~\n~~AAA~~~~~~~~~\n~~XXXXX…  0
  26  LegoZendo     T11                                       ..JJJ..............\n..JJJ.............…  0
  27  LegoZendo     D5                                        ~~AAA~~~~~~~~~\n~~AAA~~~~~~~~~\n~~XXXXX…  0
  28  LegoZendo     K6                                        ..JJJ..............\n..JJJ.............…  0
  29  LegoZendo     K6                                        ~~AAA~~~~~~~~~\n~~AAA~~~~~~~~~\n~~XXXXX…  0
  30  LegoZendo     S7                                        ..JJJ..............\n..JJJ.............…  0
  31  LegoZendo     G11                                       ~~AAA~~~~~~~~~\n~~AAA~~~~~~~~~\n~~XXXXX…  0
  32  LegoZendo     P3                                        ..JJJ..............\n..JJJ.............…  0
  33  LegoZendo     L8                                        ~~AAA~~~~~~~~~\n~~AAA~~~~~~~~~\n~~XXXXX…  0
  34  LegoZendo     J11                                       ..JJJ..............\n..JJJ.............…  0
  35  LegoZendo     M2                                        ~~AAA~~~~~~~~~\n~~AAA~~~~~~~~~\n~~XXXXX…  0
  36  LegoZendo     U3                                        ..JJJ..............\n..JJJ.............…  0
  37  LegoZendo     W7                                        ~~AAA~~~~~~~~~\n~~AAA~~~~~~~~~\n~~XXXXX…  0
  38  LegoZendo     Y0                                        ..JJJ..............\n..JJJ.............…  1
  39  LegoZendo     W0                                        ~~AAA~~~~~~~~~\n~~AAA~~~~~~~~~\n~~XXXXX…  1
  40  LegoZendo     S10                                       ..JJJ..............\n..JJJ.............…  0
