Centaur Zendo round 1 (training)
round_id : b8b454387c24490ca67b998d2599c154
written  : 2026-09-02 09:37:35Z
presented=803  answered=0  correct=0  skipped=804
client answer latency: mean 0.078 ms  median 0.069 ms  max 1.055 ms  (n=804)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     G9                                        None                                      0
   1  LegoZendo     L9                                        None                                      0
   2  LegoZendo     V8                                        None                                      0
   3  LegoZendo     V2                                        None                                      0
   4  LegoZendo     G11                                       None                                      0
   5  LegoZendo     N2                                        None                                      0
   6  LegoZendo     D2                                        None                                      0
   7  LegoZendo     F6                                        None                                      0
   8  LegoZendo     G5                                        None                                      0
   9  LegoZendo     D8                                        None                                      0
  10  LegoZendo     O8                                        None                                      0
  11  LegoZendo     W6                                        None                                      0
  12  LegoZendo     W12                                       None                                      0
  13  LegoZendo     B2                                        None                                      0
  14  LegoZendo     V10                                       None                                      0
  15  LegoZendo     W4                                        None                                      0
  16  LegoZendo     D9                                        None                                      0
  17  LegoZendo     G7                                        None                                      0
  18  LegoZendo     H12                                       None                                      0
  19  LegoZendo     W4                                        None                                      0
  20  LegoZendo     M8                                        None                                      0
  21  LegoZendo     S5                                        None                                      0
  22  LegoZendo     A5                                        None                                      0
  23  LegoZendo     V0                                        None                                      0
  24  LegoZendo     E8                                        None                                      0
  25  LegoZendo     V6                                        None                                      0
  26  LegoZendo     S10                                       None                                      0
  27  LegoZendo     U8                                        None                                      0
  28  LegoZendo     F12                                       None                                      0
  29  LegoZendo     N4                                        None                                      0
  30  LegoZendo     Y9                                        None                                      0
  31  LegoZendo     F0                                        None                                      0
  32  LegoZendo     H0                                        None                                      0
  33  LegoZendo     V2                                        None                                      0
  34  LegoZendo     L7                                        None                                      0
  35  LegoZendo     L5                                        None                                      0
  36  LegoZendo     L9                                        None                                      0
  37  LegoZendo     V6                                        None                                      0
  38  LegoZendo     N5                                        None                                      0
  39  LegoZendo     G9                                        None                                      0
  40  LegoZendo     E12                                       None                                      0
  41  LegoZendo     B2                                        None                                      0
  42  LegoZendo     W2                                        None                                      0
  43  LegoZendo     P7                                        None                                      0
  44  LegoZendo     J9                                        None                                      0
  45  LegoZendo     C10                                       None                                      0
  46  LegoZendo     U7                                        None                                      0
  47  LegoZendo     G10                                       None                                      0
  48  LegoZendo     K0                                        None                                      0
  49  LegoZendo     Z8                                        None                                      0
  50  LegoZendo     E3                                        None                                      0
  51  LegoZendo     V6                                        None                                      0
  52  LegoZendo     P2                                        None                                      0
  53  LegoZendo     B6                                        None                                      0
  54  LegoZendo     I3                                        None                                      0
  55  LegoZendo     M11                                       None                                      0
  56  LegoZendo     J3                                        None                                      0
  57  LegoZendo     J8                                        None                                      0
  58  LegoZendo     M3                                        None                                      0
  59  LegoZendo     V0                                        None                                      0
  60  LegoZendo     M5                                        None                                      0
  61  LegoZendo     H11                                       None                                      0
  62  LegoZendo     K6                                        None                                      0
  63  LegoZendo     B8                                        None                                      0
  64  LegoZendo     Q5                                        None                                      0
  65  LegoZendo     V5                                        None                                      0
  66  LegoZendo     O10                                       None                                      0
  67  LegoZendo     B11                                       None                                      0
  68  LegoZendo     D11                                       None                                      0
  69  LegoZendo     Q5                                        None                                      0
  70  LegoZendo     K4                                        None                                      0
  71  LegoZendo     V5                                        None                                      0
  72  LegoZendo     O12                                       None                                      0
  73  LegoZendo     T2                                        None                                      0
  74  LegoZendo     F9                                        None                                      0
  75  LegoZendo     J3                                        None                                      0
  76  LegoZendo     X5                                        None                                      0
  77  LegoZendo     T3                                        None                                      0
  78  LegoZendo     E6                                        None                                      0
  79  LegoZendo     V11                                       None                                      0
  80  LegoZendo     D0                                        None                                      0
  81  LegoZendo     S11                                       None                                      0
  82  LegoZendo     N3                                        None                                      0
  83  LegoZendo     O4                                        None                                      0
  84  LegoZendo     I4                                        None                                      0
  85  LegoZendo     M0                                        None                                      0
  86  LegoZendo     Y9                                        None                                      0
  87  LegoZendo     K10                                       None                                      0
  88  LegoZendo     V10                                       None                                      0
  89  LegoZendo     Z5                                        None                                      0
  90  LegoZendo     B10                                       None                                      0
  91  LegoZendo     Q0                                        None                                      0
  92  LegoZendo     O9                                        None                                      0
  93  LegoZendo     I4                                        None                                      0
  94  LegoZendo     Q11                                       None                                      0
  95  LegoZendo     M7                                        None                                      0
  96  LegoZendo     H7                                        None                                      0
  97  LegoZendo     U6                                        None                                      0
  98  LegoZendo     N7                                        None                                      0
  99  LegoZendo     Q11                                       None                                      0
 100  LegoZendo     C4                                        None                                      0
 101  LegoZendo     V6                                        None                                      0
 102  LegoZendo     B4                                        None                                      0
 103  LegoZendo     A6                                        None                                      0
 104  LegoZendo     A3                                        None                                      0
 105  LegoZendo     L12                                       None                                      0
 106  LegoZendo     Y6                                        None                                      0
 107  LegoZendo     G7                                        None                                      0
 108  LegoZendo     C3                                        None                                      0
 109  LegoZendo     Y6                                        None                                      0
 110  LegoZendo     B5                                        None                                      0
 111  LegoZendo     W5                                        None                                      0
 112  LegoZendo     S12                                       None                                      0
 113  LegoZendo     B11                                       None                                      0
 114  LegoZendo     P11                                       None                                      0
 115  LegoZendo     H12                                       None                                      0
 116  LegoZendo     H10                                       None                                      0
 117  LegoZendo     J8                                        None                                      0
 118  LegoZendo     Q2                                        None                                      0
 119  LegoZendo     Q2                                        None                                      0
 120  LegoZendo     I6                                        None                                      0
 121  LegoZendo     S8                                        None                                      0
 122  LegoZendo     M10                                       None                                      0
 123  LegoZendo     Y12                                       None                                      0
 124  LegoZendo     M0                                        None                                      0
