Centaur Zendo round 2 (training)
round_id : 2a8d85cded8946c3b61c66ce9f46b794
written  : 2026-09-02 09:40:19Z
presented=924  answered=924  correct=80  skipped=0
client answer latency: mean 0.101 ms  median 0.094 ms  max 1.414 ms  (n=925)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     J4                                        **TTT*********\n**TTT*********\n**AAAAA…  0
   1  LegoZendo     X3                                        **TTT*********\n**TTT*********\n**XXXXX…  0
   2  LegoZendo     Z8                                        _GGG__________\n_GGG__________\n_ZZZZZZ…  0
   3  LegoZendo     E6                                        ..EEE.........\n..EEE.........\n..EEEEE…  0
   4  LegoZendo     Q8                                        _GGG__________\n_GGG__________\n_IIIIII…  0
   5  LegoZendo     W4                                        **TTT*********\n**TTT*********\n**AAAAA…  0
   6  LegoZendo     P8                                        **TTT*********\n**TTT*********\n**PPPPP…  0
   7  LegoZendo     T10                                       _GGG__________\n_GGG__________\n_TTTTTT…  0
   8  LegoZendo     G9                                        ..GGG.........\n..GGG.........\n..GGGGG…  0
   9  LegoZendo     A6                                        _GGG__________\n_GGG__________\n_IIIIII…  0
  10  LegoZendo     V12                                       **TTT*********\n**TTT*********\n**AAAAA…  0
  11  LegoZendo     E5                                        **TTT*********\n**TTT*********\n**EEEEE…  0
  12  LegoZendo     N8                                        _GGG__________\n_GGG__________\n_NNNNNN…  0
  13  LegoZendo     H7                                        ..HHH.........\n..HHH.........\n..HHHHH…  0
  14  LegoZendo     C3                                        _GGG__________\n_GGG__________\n_IIIIII…  0
  15  LegoZendo     H7                                        **TTT*********\n**TTT*********\n**AAAAA…  0
  16  LegoZendo     G7                                        **TTT*********\n**TTT*********\n**GGGGG…  0
  17  LegoZendo     W3                                        _GGG__________\n_GGG__________\n_WWWWWW…  0
  18  LegoZendo     U7                                        ..UUU.........\n..UUU.........\n..UUUUU…  0
  19  LegoZendo     F9                                        _GGG__________\n_GGG__________\n_IIIIII…  0
  20  LegoZendo     O8                                        **TTT*********\n**TTT*********\n**AAAAA…  0
  21  LegoZendo     W3                                        **TTT*********\n**TTT*********\n**WWWWW…  0
  22  LegoZendo     S7                                        _GGG__________\n_GGG__________\n_SSSSSS…  0
  23  LegoZendo     D9                                        ..DDD.........\n..DDD.........\n..DDDDD…  0
  24  LegoZendo     F8                                        _GGG__________\n_GGG__________\n_IIIIII…  0
  25  LegoZendo     J12                                       **TTT*********\n**TTT*********\n**AAAAA…  0
  26  LegoZendo     J11                                       **TTT*********\n**TTT*********\n**JJJJJ…  0
  27  LegoZendo     E10                                       _GGG__________\n_GGG__________\n_EEEEEE…  0
  28  LegoZendo     T11                                       ..TTT.........\n..TTT.........\n..TTTTT…  0
  29  LegoZendo     Z8                                        _GGG__________\n_GGG__________\n_IIIIII…  0
  30  LegoZendo     K3                                        **TTT*********\n**TTT*********\n**AAAAA…  0
  31  LegoZendo     Q7                                        **TTT*********\n**TTT*********\n**QQQQQ…  0
  32  LegoZendo     J7                                        _GGG__________\n_GGG__________\n_JJJJJJ…  0
  33  LegoZendo     H9                                        ..HHH.........\n..HHH.........\n..HHHHH…  0
  34  LegoZendo     K9                                        _GGG__________\n_GGG__________\n_IIIIII…  0
  35  LegoZendo     T8                                        **TTT*********\n**TTT*********\n**AAAAA…  0
  36  LegoZendo     D6                                        **TTT*********\n**TTT*********\n**DDDDD…  1
  37  LegoZendo     D4                                        _GGG__________\n_GGG__________\n_DDDDDD…  0
  38  LegoZendo     D11                                       ..DDD.........\n..DDD.........\n..DDDDD…  0
  39  LegoZendo     S0                                        _GGG__________\n_GGG__________\n_IIIIII…  1
  40  LegoZendo     F6                                        **TTT*********\n**TTT*********\n**AAAAA…  0
  41  LegoZendo     O12                                       **TTT*********\n**TTT*********\n**OOOOO…  0
  42  LegoZendo     L11                                       _GGG__________\n_GGG__________\n_LLLLLL…  0
  43  LegoZendo     A11                                       ..AAA.........\n..AAA.........\n..AAAAA…  0
  44  LegoZendo     D12                                       _GGG__________\n_GGG__________\n_IIIIII…  0
  45  LegoZendo     L9                                        **TTT*********\n**TTT*********\n**AAAAA…  0
  46  LegoZendo     E3                                        **TTT*********\n**TTT*********\n**EEEEE…  0
  47  LegoZendo     C3                                        _GGG__________\n_GGG__________\n_CCCCCC…  0
  48  LegoZendo     G5                                        ..GGG.........\n..GGG.........\n..GGGGG…  0
  49  LegoZendo     X6                                        _GGG__________\n_GGG__________\n_IIIIII…  0
  50  LegoZendo     I5                                        **TTT*********\n**TTT*********\n**AAAAA…  0
  51  LegoZendo     N7                                        **TTT*********\n**TTT*********\n**NNNNN…  0
  52  LegoZendo     C11                                       _GGG__________\n_GGG__________\n_CCCCCC…  0
  53  LegoZendo     T8                                        ..TTT.........\n..TTT.........\n..TTTTT…  0
  54  LegoZendo     I10                                       _GGG__________\n_GGG__________\n_IIIIII…  0
  55  LegoZendo     U7                                        **TTT*********\n**TTT*********\n**AAAAA…  0
  56  LegoZendo     Y2                                        **TTT*********\n**TTT*********\n**YYYYY…  0
  57  LegoZendo     O5                                        _GGG__________\n_GGG__________\n_OOOOOO…  1
  58  LegoZendo     O6                                        ..OOO.........\n..OOO.........\n..OOOOO…  0
  59  LegoZendo     Z2                                        _GGG__________\n_GGG__________\n_IIIIII…  0
  60  LegoZendo     X0                                        **TTT*********\n**TTT*********\n**AAAAA…  1
  61  LegoZendo     O7                                        **TTT*********\n**TTT*********\n**OOOOO…  0
  62  LegoZendo     C6                                        _GGG__________\n_GGG__________\n_CCCCCC…  0
  63  LegoZendo     V3                                        ..VVV.........\n..VVV.........\n..VVVVV…  0
