Centaur Zendo round 10 (training)
round_id : c05d1190b38a494699b263e5d89fa6c1
written  : 2026-09-02 10:12:36Z
presented=695  answered=684  correct=684  skipped=11
client answer latency: mean 0.360 ms  median 0.123 ms  max 24.438 ms  (n=695)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  TARE          30 55 54 4 51 54 33 47 48|193             111001000                                 1
   1  zebu          A<E D<A E<C B#4 B|E                       DAEBC                                     1
   2  hanjie        2,1,1/6/2,2/2,1/2,1,2/1,3/1,1,1\n3,2/3,…  ##.#..#.\n######..\n##..##..\n..##..#.\…  1
   3  HAIL          32                                        57                                        1
   4  TWINE         eeebecbcedbcadc|dabdcdbaaae|5             bcdba                                     1
   5  RUNIC         bbbbbbgbbbbbbbbbbbbfeeeeeeeeee            6b1g12b1f10e                              1
   6  zebu          E#4 E<C B<A A<D A|B C|E                   BADEC                                     1
   7  regina        ..X....\nX..X.X.\n...XX.X\nX...X..\n.XX…  2514036                                   1
   8  CRIBROT       ypnpkahunvyhujo|rigid                     rigidtangoranch                           1
   9  MARIENBAD     12 1 8                                    9 1 8                                     1
  10  TARE          10 38 3 32 6 53 38 52|134                 01001011                                  1
  11  carre         2..1/3..4/1.3./.21.                       2341/3124/1432/4213                       1
  12  BASILISK      1503:7>2                                  1001001111                                1
  13  TOPPLE        9496=36                                   99+64-*                                   1
  14  HANSOM        3,6 9,5 5,3 0,7 3,7 6,5 4,5|26            0 1 5 2 6 3 4                             1
  15  RUNIC         gggggggggddddeeeeeeeeedddddccccccccccff…  9g4d9e5d10c12f3e2b1g                      1
  16  SUNZI         57%61 39%71 1%31 28%59                    7389719                                   1
  17  CHAKRA        44                                        199 30                                    1
  18  erewhon       .####.\n.#...#\n..#.#.\n.#...#\n####.#\…  ..###.\n.##..#\n..#.#.\n.#..##\n.###.#\…  1
  19  hanjie        3/1,1/1/1,1,1/3/4,1\n1,1/1/1,1/1,1/1,2/…  ...###.\n#....#.\n......#\n#.#...#\n...…  1
  20  HAIL          151                                       2279                                      1
  21  regina        .X..X..\n.X.X.XX\n....X..\nXXX...X\n.XX…  2613504                                   1
  22  SUNZI         4%31 13%17 0%2 34%47                      8870                                      1
  23  trico         13 5-6 7-11 4-6 3-12 8-11 4-10 1-8 2-4 …  1100221001022                             1
  24  warren        #######################\n#S......#.....…  RRRRRRDDRRRRDDDDDDLLUULLDDDDLLLLUURRUUL…  1
  25  SUNZI         83%89 2%7 36%71                           33903                                     1
  26  LegoZendo     Q10                                       None                                      0
  27  warren        ###################\n#S#...........#...…  DDRRRRDDDDLLLLDDRRRRDDDDRRRRUULLUURRRRD…  1
  28  skerry        .##..#........\n....###.......\n.....#.…  10                                        1
  29  LegoZendo     S6                                        None                                      0
  30  GRAYLING      0000 1101 7                               0000 1000 1100 0100 0110 1110 1111 1101   1
  31  regina        ......\n.X.XX.\n..X.XX\nXX.XX.\n.....X\…  251403                                    1
  32  MARIENBAD     7 4 5 15 10                               4 4 5 15 10                               1
  33  HANSOM        7,8 5,7 5,2 2,8 1,4 3,3 1,1|28            0 1 2 5 6 4 3                             1
  34  MARIENBAD     12 7 7 15                                 12 4 7 15                                 1
  35  DUOMASK       aabb?b+b* a.bb(a|b)                       aabbb                                     1
  36  MARIENBAD     13 9 2                                    11 9 2                                    1
  37  TOPPLE        3861=53                                   861+*3-                                   1
  38  wolf          1001001110110>0100100111011 11011101100…  11110001                                  1
  39  warren        #####################\n#S#...#...#.....…  DDRRUURRDDRRUURRDDRRRRRRUURRDDRRDDLLDDD…  1
  40  AHMES         19/33                                     2 14 231                                  1
  41  TWINE         bdbbadbcaaab|dbbdbadbdaaa|9               dbbadbaaa                                 1
  42  IDX           40063 242088 832003                       734417                                    1
  43  HAIL          102                                       71                                        1
  44  IDX           415511 157531 633799                      79568                                     1
  45  trico         11 2-4 0-6 2-3 1-2 0-4 3-9 7-9 4-9 0-1 …  02122222212                               1
  46  TWINE         cdbdcdbacaaaa|daacccaabbcdaca|7           dacaaaa                                   1
  47  ANAPAL        acbbcbbbabcbb|ab                          abcbbbcbbbcba                             1
  48  ANAPAL        cdacacecedd|cded                          cacdededcac                               1
  49  zebu          C#4 C|E E<D A<D B#2                       ABECD                                     1
  50  HANSOM        7,2 2,7 2,6 8,8 9,1 8,7|30                0 1 2 3 5 4                               1
  51  trico         10 0-5 2-7 4-8 5-8 1-3 6-7 0-1 7-9 2-5 …  0122012120                                1
  52  TARE          41 59 6 37 42 24 13 29|198                11111010                                  1
  53  erewhon       .###..\n.#...#\n..###.\n..##.#\n..##..\…  ..###.\n##....\n...###\n...#..\n.#..#.\…  1
  54  BASILISK      101100101110:2>5                          42422                                     1
  55  CRIBROT       hunslxblyfluqvfzwlhr|angle                anglequeryenjoyspeak                      1
  56  PP            589                                       1589851                                   1
