Centaur Zendo round 6 (training)
round_id : 3717fffcf1344eb68579f3eea20e8771
written  : 2026-09-02 10:06:04Z
presented=631  answered=610  correct=570  skipped=21
client answer latency: mean 0.508 ms  median 0.138 ms  max 24.957 ms  (n=631)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  HAIL          58                                        379                                       1
   1  CHAKRA        2                                         3 2                                       1
   2  CHAKRA        71                                        3480 413                                  1
   3  zebu          A|E B|C C<E A<D B#1 A|C                   BCAED                                     1
   4  CHAKRA        139                                       77563250 6578829                          1
   5  CHAKRA        131                                       10610 927                                 1
   6  zebu          C#4 A#5 B<D B|D D<E C|E                   BDECA                                     1
   7  ANAPAL        bacbaabcddb|bac                           cbaabc                                    0
   8  RUNIC         fffbbbbbbbbbbbbbbdaadddddddddddddd        3f14b1d2a14d                              1
   9  CRIBROT       wrzhovdgobphgdogudiw|towel                towelsadlymedaldraft                      1
  10  ALLWIN        ab 6                                      aaaaaabaaaabbaaababaaabbbaabaababbaabba…  1
  11  krom          4,-7,-10 -7,8,-2 -5,3,-1 1,-10,-7 -4,-3…  1110000111                                1
  12  volute        gxgnrat\ndauizsz\ngkvxxzm                 gxgnratzmzxxvkgdauizs                     1
  13  wolf          110000111001>010111101011 0110000101101…  01101011                                  1
  14  volute        wkuwg\npsxry\njygty                       wkuwgyytgyjpsxr                           1
  15  trico         9 0-5 5-7 4-7 5-6 2-3 2-8 1-7 1-8 6-7 2…  222121200                                 1
  16  BASILISK      217:8>7                                   263                                       1
  17  zebu          B|E C<B B#3 A#1 B|C                       ACBED                                     1
  18  carre         2143/..../...4/..21                       2143/1432/3214/4321                       1
  19  skerry        ...###......\n...#..#.#...\n........#..…  8                                         1
  20  BASILISK      11021021:3>2                              110000101000                              1
  21  ikos          12 0-2 1-4 7-11 9-11 7-10 3-7 4-7 6-10 …  0 2 9 11 8 4 1 10 6 3 7 5                 1
  22  hanjie        1,1/3,1/2,1,1,1/2,2/1,2,2/3,2\n4/3,1/2,…  ..#..#..\n###..#..\n##.#.#.#\n##.##...\…  1
  23  HAIL          48                                        481                                       1
  24  MARIENBAD     8 12 12 1 7                               6 12 12 1 7                               1
  25  DUOMASK       b+.(a|b)a+a*a.. b+.a+aa[ab]bb*            baaaaab                                   1
  26  regina        .......\n..X....\n.......\n..X....\n...…  0246135                                   1
  27  IDX           286089 630664 744409                      114808                                    1
  28  regina        .X....\n.X..X.\n......\n....X.\nX..X..\…  135024                                    1
