Centaur Zendo round final (final)
round_id : d363eb17582c4361929809030ee7f0d2
written  : 2026-09-02 10:16:13Z
presented=1931  answered=1931  correct=1931  skipped=0
client answer latency: mean 0.465 ms  median 0.127 ms  max 36.652 ms  (n=1931)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  ikos          11 4-9 1-2 5-6 0-6 9-10 5-9 7-10 3-4 3-…  0 1 2 8 3 4 10 7 5 9 6                    1
   1  warren        #######################\n#S#...........…  DDDDDDDDRRUURRDDRRUUUURRUULLUURRRRRRDDD…  1
   2  SUNZI         6%7 35%59 0%2 4%13                        6348                                      1
   3  HANSOM        2,4 3,4 3,1 2,2 0,1 2,6|16                0 1 2 4 3 5                               1
   4  TWINE         dacbcacddbcb|abddadccacbcb|9              daccacbcb                                 1
   5  HANSOM        7,6 1,5 9,5 4,1 5,6 7,3|26                0 2 5 3 1 4                               1
   6  GRAYLING      1001 1010 10                              1001 0001 0101 1101 1111 0111 0011 0010…  1
   7  volute        hpdlnp\ndtwsxk\nerrldm\nqaihql\nvqqqdx    hpdlnpkmlxdqqqvqedtwsxdqhiarrl            1
   8  trico         12 3-9 5-11 5-6 1-9 5-10 1-4 2-10 7-9 3…  220110211021                              1
   9  ALLWIN        abcd 4                                    aaaabaaacaaadaabbaabcaabdaacbaaccaacdaa…  1
  10  ALLWIN        ab 6                                      aaaaaabaaaabbaaababaaabbbaabaababbaabba…  1
  11  BASILISK      3624:9>5                                  41240                                     1
  12  CRIBROT       sdeydawnpdianeppdenz|which                whichearthmeritthird                      1
  13  ikos          11 6-8 1-8 8-9 1-4 0-9 4-5 7-10 1-10 0-…  0 9 8 4 1 7 10 6 2 5 3                    1
  14  LegoZendo     H12                                       HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH\nH…  1
  15  hanjie        1,1,2/1,1/1,2,1/1/5/1,1,1,1/3\n1,1,2/1,…  #.#..##\n....#.#\n#.##.#.\n..#....\n###…  1
  16  HAIL          164                                       2375                                      1
  17  CHAKRA        91                                        1574 165                                  1
  18  warren        #####################\n#S#.#...........…  DDDDDDDDDDDDRRRRUURRDDRRUUUUUURRRRDDDDL…  1
  19  AHMES         5/27                                      6 54                                      1
  20  trico         9 6-7 1-8 4-8 2-4 2-6 2-7 0-6 3-5 0-2 3…  210011122                                 1
  21  SUNZI         76%79 0%3 18%19 43%89                     30570                                     1
  22  IDX           332298 60505 700717                       54528                                     1
  23  TWINE         dbbdbbcbedbbba|bdebcdebdddbe|7            bdbcdbb                                   1
  24  volute        djtl\nkcce\ngdvc                          djtlecvdgkcc                              1
  25  hanjie        1,2/1/1,1,2/2/2,1/5/2,1,1\n1,1,3/4/1,1/…  #..##..\n....#..\n#..#.##\n.##....\n##.…  1
  26  wolf          01111100011>00000000100 1100000110100>0…  00000110                                  1
  27  RUNIC         ffffffffffffffgggfffggggeeeeggggggggggg…  14f3g3f4g4e12g6e                          1
  28  MARIENBAD     11 2 7                                    5 2 7                                     1
  29  MARIENBAD     13 3 2                                    1 3 2                                     1
  30  TOPPLE        6659=51                                   566+*9-                                   1
  31  hanjie        1,4/1,3/1,1,2/1,2/2,3/4/2,2/1,1,1\n3,1,…  #.####\n#..###\n#.#.##\n..#.##\n##.###\…  1
  32  BASILISK      423:16>5                                  13214                                     1
  33  LegoZendo     Y9                                        YYYYYYYYYYYYYYYYYYYYYYYYYYY\nYYYYYYYYYY…  1
  34  AHMES         7/12                                      2 12                                      1
  35  TOPPLE        7468=62                                   746+*8-                                   1
  36  PP            730                                       73037                                     1
  37  HANSOM        1,7 4,2 0,3 4,9 0,5|22                    0 3 1 2 4                                 1
  38  CRIBROT       nyvivljrxvwcffi|where                     whereusagefloor                           1
  39  wolf          00011111000>11010000011 010010100101>10…  00101001                                  1
  40  MARIENBAD     13 3 9                                    10 3 9                                    1
  41  regina        XX.XX.\nXXXXX.\n....X.\nXX.X.X\n......\…  420531                                    1
  42  ikos          11 7-10 6-7 1-10 7-8 5-9 8-9 1-6 0-8 2-…  0 3 6 4 10 1 2 9 5 7 8                    1
  43  GRAYLING      0110 1011 9                               0110 1110 1010 0010 0000 1000 1100 1101…  1
  44  TWINE         bdbebaabadceaab|cadeddaaebd|6             adeaab                                    1
  45  TWINE         cebadbcaacae|edcdcbcebaa|6                edbcaa                                    1
  46  IDX           206656 511139 901931                      740160                                    1
  47  zebu          C|E C#3 A|B B|C A<C                       ABCED                                     1
  48  CRIBROT       zdjrqzlgrzvpdoo|wagon                     wagonwidowsmall                           1
  49  volute        zaek\njesp\nfzmm\nqxsr\nswqa\nmiah        zaekpmrahaimsqfjesmsqwxz                  1
  50  AHMES         5/7                                       2 5 70                                    1
  51  hanjie        1,2/2,1/1,1/2,2/1,1,3/1,1,1/2\n2/1,2/1,…  .#.##...\n..##.#..\n.#...#..\n.##..##.\…  1
  52  ALLWIN        ab 5                                      aaaaabaaabbaababaabbbababbabbbbb          1
  53  regina        ..XX...X\nX..XXXX.\n.X.X..X.\nX.X...X.\…  53174602                                  1
  54  GRAYLING      00000 10000 9                             00000 01000 11000 11100 01100 00100 101…  1
  55  volute        cgqk\nvgtx\nuzka\nirua                    cgqkxaauriuvgtkz                          1
  56  TOPPLE        5687=28                                   68+75-*                                   1
  57  hanjie        2,3/1,2,1/1,1,1/3,1/3,1/4,2/1,3,1/1\n7/…  ##..###\n#..##.#\n#...#.#\n###..#.\n###…  1
  58  CHAKRA        52                                        649 90                                    1
  59  zebu          E<B C<D E<D C#1 A<E B|E                   CAEBD                                     1
  60  wolf          1010000100011>0110110101000 00110011111…  00100101                                  1
  61  wolf          101001011010>010010101101 1001001110>00…  11100010                                  1
  62  warren        #####################\n#S......#...#...…  RRRRRRDDRRDDDDDDRRRRUULLUURRRRRRRRDDDDD…  1
  63  SPQ           27572281973                               50363                                     1
  64  hanjie        2,1,3/3/2,1,2/1,1/3,1/3/1,2,2/1,2\n1,1,…  ##.#.###\n.....###\n##.#..##\n...#.#..\…  1
  65  wolf          110111001100>010001100110 1010100010>10…  01010100                                  1
  66  HAIL          148                                       1707                                      1
  67  TARE          31 23 9 7 55 30|30                        010100                                    1
  68  CRIBROT       igxtsgtctlhbdzt|tried                     triedrenewsmoke                           1
  69  BASILISK      11312:7>2                                 101101010100                              1
  70  regina        ........\n..XX...X\n.....X..\nXX.X..X.\…  14602753                                  1
  71  carre         3.4./.31./..3./1...                       3142/2314/4231/1423                       1
  72  SPQ           323237549                                 251                                       1
  73  regina        ......X.\n.......X\nX....X..\n......X.\…  06471352                                  1
  74  carre         ..14/..4./...2/4..3                       2314/3241/1432/4123                       1
  75  DUOMASK       (a|b)(a|b)aa[ab]a* baaa?b                 baaab                                     1
  76  HAIL          40                                        406                                       1
  77  trico         13 4-7 7-8 5-9 0-4 4-11 3-9 0-2 11-12 6…  1121010210120                             1
  78  SUNZI         20%23 10%13 38%53 76%89                   1032743                                   1
  79  wolf          10010110011110>00000000000000 110100010…  00000001                                  1
  80  TOPPLE        1589=39                                   815+*9-                                   1
  81  hanjie        1,1,1/2,1/1,1,1/1,3/1/1,1/1,1/2,1\n1,2,…  #.#..#.\n..##.#.\n#...#.#\n#.###..\n...…  1
  82  CHAKRA        99                                        10 1                                      1
  83  wolf          001101001110>100110100011 100110110101>…  01110001                                  1
  84  PP            7273                                      37273                                     1
  85  hanjie        1,1/1,1/1,2,1/6/1,2/2/1\n4/1,2/4/2/2,2/3  #...#.\n#...#.\n#.##.#\n######\n..#.##\…  1
  86  HANSOM        9,6 1,0 9,0 6,6 3,3 0,9 5,6|41            0 2 1 4 5 6 3                             1
  87  CRIBROT       bovkhqvkccbkxmrsbyxi|relax                relaxglassranchirony                      1
  88  ANAPAL        aabbbbdaaddaa|abb                         abbaadddaabba                             1
  89  ANAPAL        abbaadaeceaac|abc                         abcaaedeaacba                             1
  90  GRAYLING      11011 00101 8                             11011 01011 00011 10011 10111 00111 011…  1
  91  TOPPLE        1655=44                                   65+51-*                                   1
  92  krom          3,10,-9 8,4,-6 -5,-2,6 -10,-5,-3 6,-8,3…  1111011111                                1
  93  hanjie        3,1/1,3/3,1/1,2/1,1/1,1\n1/1,1,1/1,2,1/…  .###.#\n#..###\n.###.#\n..#.##\n.#.#..\…  1
  94  HAIL          19                                        9                                         1
  95  ALLWIN        abc 3                                     aaabaacabbabcacbaccbbbcbccc               1
  96  erewhon       ##..##\n#.##.#\n.#.#.#\n.##..#\n#.#.#.\…  ##...#\n#...##\n..##.#\n#....#\n..#.#.\…  1
  97  IDX           198249 117601 275827                      77363                                     1
  98  AHMES         4/7                                       2 14                                      1
  99  ANAPAL        bbcacaccb|cba                             cbacbcabc                                 1
 100  hanjie        1/1,1,2/1,1/2,1/1,1,3/1,1,1/2/1,1\n1,4/…  ...#...\n#..#.##\n...#..#\n##....#\n#.#…  1
 101  volute        ktavuqm\nffbvznr\nnirxnhl\ncjluwiw\nvqq…  ktavuqmrlwczjpqqvcnffbvznhiwuljirxn       1
 102  HAIL          52                                        219                                       1
 103  hanjie        6/1,1/2,3/3,1/1,1,1/\n3/3/1,2/1,1/3/1,3…  ..######\n.#..#...\n##.###..\n###..#..\…  1
 104  CRIBROT       imadlxsalzstgmlydgjq|quilt                quiltfaithaboutglory                      1
 105  SUNZI         5%13 14%41 12%89                          44868                                     1
 106  warren        ###################\n#S#...#.........#.…  DDRRDDDDRRDDLLDDRRDDRRRRDDRRUURRDDRRUUR…  1
 107  ALLWIN        ab 4                                      aaaabaabbababbbb                          1
 108  ALLWIN        ab 7                                      aaaaaaabaaaaabbaaaababaaaabbbaaabaabaaa…  1
 109  DUOMASK       a+ba+(a|b)bb*a?a*b?a .(a|b)a*(a|b)b*.ba…  aababba                                   1
 110  zebu          A#2 C#1 A|E B|E                           CAEBD                                     1
 111  zebu          A<E A#1 C<E B|C B<C D<C                   ADBCE                                     1
 112  ALLWIN        abc 2                                     aabacbbcc                                 1
 113  HANSOM        6,3 3,4 4,6 4,4 8,1 4,9 2,3|30            0 1 2 5 3 6 4                             1
 114  hanjie        1,2//3/4/2/1,1/1/\n1/2/1,2/2,1/1,2/1,1,1  ..#.##\n......\n.###..\n.####.\n....##\…  1
 115  HANSOM        7,3 9,2 8,2 1,5 3,7|26                    0 1 2 3 4                                 1
 116  ANAPAL        bccbbbaaaa|cb                             cbbaaaabbc                                1
 117  SPQ           170028669661                              56909                                     1
 118  GRAYLING      0101 0000 10                              0101 1101 1001 0001 0011 1011 1111 0111…  1
 119  MARIENBAD     7 6 15 10 14                              7 6 5 10 14                               1
 120  ANAPAL        cccdccbccdcb|cbd                          cbdccccccdbc                              1
 121  carre         .13./...4/1.2./2.4.                       4132/3214/1423/2341                       1
 122  wolf          011010100101>111111111111 0111101011010…  11111111                                  1
 123  IDX           49380 653382 942449                       561719                                    1
 124  SPQ           37748521049                               16187                                     1
 125  SPQ           711597091                                 373                                       1
 126  SPQ           243173784817                              85531                                     1
 127  wolf          1100101011>0111101000 011010110000>1010…  01010111                                  1
 128  MARIENBAD     6 2 3                                     1 2 3                                     1
 129  AHMES         3/28                                      10 140                                    1
 130  TWINE         ebdedaedddccedeb|ddcaadccadac|7           ddadccd                                   1
 131  RUNIC         ccbbbbbbbbbbbbfeeccccccgfffffffff         2c12b1f2e6c1g9f                           1
 132  ALLWIN        ab 7                                      aaaaaaabaaaaabbaaaababaaaabbbaaabaabaaa…  1
 133  TARE          29 19 8 7 11 14 49 59|138                 01001011                                  1
 134  carre         .1../..43/2.../.312                       3124/1243/2431/4312                       1
 135  zebu          C<D D<A C<A B|E A#3 E<B D<B               CDAEB                                     1
 136  volute        fpij\nrmwt\nrvop\nrkvj\nuotl              fpijtpjltourrrmwovkv                      1
 137  warren        #####################\n#S..#...#.......…  RRDDRRUURRDDDDLLDDDDLLUULLDDDDDDRRRRUUR…  1
 138  SPQ           58046237                                  191                                       1
 139  PP            1636                                      16361                                     1
 140  MARIENBAD     10 4 8 14                                 2 4 8 14                                  1
 141  AHMES         5/23                                      5 58 6670                                 1
 142  DUOMASK       a[ab]a[ab]a? a?(a|b)a+b[ab]               aaaba                                     1
 143  regina        X..X..\nX.X...\n...XXX\nX..X..\n.X...X\…  420531                                    1
 144  krom          -8,3,-1 7,-3,-2 -1,8,-4 -3,6,5 1,3,2 -2…  10110101                                  1
 145  GRAYLING      1111 0011 6                               1111 0111 0101 1101 1001 0001 0011        1
 146  ikos          9 2-4 2-6 2-3 0-6 5-6 7-8 2-7 1-3 4-7 2…  0 8 7 1 3 6 5 2 4                         1
 147  ANAPAL        bbbabcbab|bbb                             bbbacabbb                                 1
 148  CRIBROT       ytbmaahuurxtzexcnbvx|faith                faithhobbyeaglejuice                      1
 149  trico         12 4-6 3-4 3-7 8-9 4-10 6-11 1-9 3-11 2…  211100101220                              1
 150  HAIL          71                                        444                                       1
 151  warren        #####################\n#S....#.....#...…  RRRRDDLLLLDDDDDDDDRRDDRRRRRRRRRRRRRRUUU…  1
 152  trico         12 0-5 1-8 2-5 2-6 8-10 0-10 6-11 7-10 …  121200211201                              1
 153  volute        wwzkhi\nyewawk\nfhvauq                    wwzkhikquavhfyewaw                        1
 154  HAIL          124                                       171                                       1
 155  skerry        ..#......#...\n#.#.......##.\n.........…  17                                        1
 156  carre         .24./3..4/..../2..1                       1243/3124/4312/2431                       1
 157  LegoZendo     I6                                        IIIIIIIIIIIIIIIIII\nIIIIIIIIIIIIIIIIII    1
 158  SUNZI         2%37 12%41 46%47 21%53                    2867798                                   1
 159  CHAKRA        55                                        89 12                                     1
 160  TARE          10 45 10 27 30 15 27|45                   0100000                                   1
 161  trico         9 3-7 7-8 0-8 2-6 2-5 0-2 3-5 1-8 3-4 1…  221022021                                 1
 162  IDX           114687 100412 213209                      7775                                      1
 163  AHMES         4/31                                      8 248                                     1
 164  SPQ           45687519037                               54983                                     1
 165  TOPPLE        3879=23                                   873-*9-                                   1
 166  PP            9814                                      341898143                                 1
 167  SPQ           627205063                                 2579                                      1
 168  hanjie        6/1,1,3/1,3,1/3,1/1,2,3/1,3,1/4,1/2,2\n…  ..######\n#.#.###.\n#.###.#.\n.###.#..\…  1
 169  carre         .241/..32/...3/...4                       3241/1432/4123/2314                       1
 170  SUNZI         10%11 9%13 0%2 13%19                      3376                                      1
 171  volute        vdr\njrc\nebw\nrhv\nthu\nxsz              vdrcwvuzsxtrejrbhh                        1
 172  ALLWIN        ab 6                                      aaaaaabaaaabbaaababaaabbbaabaababbaabba…  1
 173  krom          2,-8,-4 7,-5,-6 5,4,7 -5,-3,-8 -6,-2,-4…  11010011                                  1
 174  AHMES         2/39                                      20 780                                    1
 175  carre         1.../...4/..41/413.                       1423/2314/3241/4132                       1
 176  skerry        ...###.#.##..#\n.#..#...#.....\n.#....#…  18                                        1
 177  IDX           249792 273704 688423                      188780                                    1
 178  PP            7877                                      7778777                                   1
 179  carre         3..1/413./.4../2.1.                       3241/4132/1423/2314                       1
 180  trico         9 2-4 3-5 4-5 3-6 1-3 1-4 2-8 0-2 0-4 0…  122102021                                 1
 181  MARIENBAD     10 9 14 2                                 5 9 14 2                                  1
 182  ALLWIN        abc 3                                     aaabaacabbabcacbaccbbbcbccc               1
 183  MARIENBAD     3 13 12 6                                 3 9 12 6                                  1
 184  carre         13.2/..31/.4../3..4                       1342/4231/2413/3124                       1
 185  hanjie        1,4/1,5/2/4,2/5/1,1,3/2,1,2/1,1\n2,1,2/…  #...####\n#.#####.\n......##\n####.##.\…  1
 186  skerry        ...#.......\n.#..###.#..\n###....##..\n…  19                                        1
 187  krom          -8,-3,-5 -6,7,8 6,-3,-5 -1,7,-2 -5,-6,-…  10010111                                  1
 188  trico         11 3-5 5-10 6-9 0-3 1-8 0-5 3-9 0-1 0-1…  21011002221                               1
 189  GRAYLING      00100 11100 10                            00100 10100 10000 00000 01000 11000 110…  1
 190  SUNZI         17%23 70%79 30%53 10%11                   190618                                    1
 191  AHMES         4/5                                       2 4 20                                    1
 192  SPQ           98967148691                               49537                                     1
 193  ANAPAL        bdedeaabdd|add                            addbeebdda                                1
 194  warren        ###################\n#S#...............…  DDDDDDRRRRUURRUULLUURRRRRRRRRRRRDDDDLLU…  1
 195  CHAKRA        139                                       77563250 6578829                          1
 196  GRAYLING      11110 00000 8                             11110 01110 00110 10110 10010 00010 010…  1
 197  trico         9 0-5 1-4 1-5 0-7 2-7 3-4 6-7 0-4 5-8 6…  212100201                                 1
 198  krom          -10,-4,3 -9,8,6 -5,4,-3 -5,8,7 4,-1,2 -…  1101111100                                1
 199  hanjie        1,1/2/1,1,1/2,1/2,1,1/3,1/3/1,2,3\n1/1,…  ....#..#\n...##...\n.#...#.#\n...##.#.\…  1
 200  zebu          C<D E#1 B<C C|D A|E                       EABCD                                     1
 201  warren        #######################\n#S#.......#...…  DDRRRRUURRRRDDRRDDLLLLDDRRDDLLLLDDRRRRD…  1
 202  TARE          47 57 6 11 50 31 24|53                    1010000                                   1
 203  CHAKRA        76                                        57799 6630                                1
 204  IDX           430618 741928 886541                      79902                                     1
 205  hanjie        1,1/1,2,1/3,1/1,2/2,2/2/1\n5,1/1,2/2,1/…  #..#..\n#.##.#\n###.#.\n#...##\n##..##\…  1
 206  ALLWIN        ab 3                                      aaababbb                                  1
 207  volute        vwlh\nniaq\ntiuw\nnklt\noxma              vwlhqwtamxontniaulki                      1
 208  ikos          10 5-7 5-8 3-5 0-6 2-6 4-6 0-4 2-9 5-9 …  0 8 2 9 5 7 1 4 3 6                       1
 209  GRAYLING      1000 1011 10                              1000 0000 0100 1100 1110 0110 0010 0011…  1
 210  SPQ           47296497407                               28309                                     1
 211  zebu          B|D D<A D#2 E#4 A<C                       BDAEC                                     1
 212  SUNZI         17%23 7%19 27%37 18%97                    538562                                    1
 213  TARE          13 43 60 47 14 34|108                     001011                                    1
 214  ANAPAL        accacaabcbbcc|caa                         caaccbbbccaac                             1
 215  hanjie        1,1,1/3,1/4,1/2/1,1/1,1\n1,1/4/4/1/3/2/…  .#..#.#\n###.#..\n.####.#\n.##....\n..#…  1
 216  volute        ltylxk\nqxwttx\nufnwyw\njvptww\niohild    ltylxkxwwdlihoijuqxwttywtpvfnw            1
 217  HAIL          143                                       327                                       1
 218  DUOMASK       b[ab]ab+[ab].(a|b) b.(a|b)b(a|b)bb?b*     baababb                                   1
 219  erewhon       .#....\n......\n##...#\n......\n.....#\…  #.#...\n.#..#.\n####..\n...###\n..##..\…  1
 220  SPQ           131378312089                              66959                                     1
 221  TOPPLE        3731=56                                   733*1-*                                   1
 222  wolf          01111100001110>01000101101010 000010011…  01001001                                  1
 223  CHAKRA        76                                        57799 6630                                1
 224  volute        gjw\nenf\nkqa                             gjwfaqken                                 1
 225  ALLWIN        abc 4                                     aaaabaaacaabbaabcaacbaaccababacabbbabbc…  1
 226  ikos          12 6-11 1-7 1-6 4-11 7-8 3-5 2-6 8-11 1…  0 11 4 9 2 10 8 3 5 6 1 7                 1
 227  HAIL          205                                       10855                                     1
 228  TOPPLE        1927=31                                   297+*1-                                   1
 229  volute        rvmevgc\nlqptrsv\norlzmqo\ncacopoz\nkqo…  rvmevgcvozuwiutgtgkcolqptrsqoityoqarlzm…  1
 230  ALLWIN        ab 6                                      aaaaaabaaaabbaaababaaabbbaabaababbaabba…  1
 231  carre         21.3/...1/4.../..3.                       2143/3421/4312/1234                       1
 232  trico         12 0-1 8-10 1-4 5-8 0-11 2-4 4-8 0-8 2-…  120211120210                              1
 233  IDX           331829 399434 537023                      119604                                    1
 234  LegoZendo     H0                                        HHH\nHHH                                  1
 235  HAIL          68                                        334                                       1
 236  regina        X.X.XX\n......\n..XXX.\n..X.XX\nXX...X\…  304152                                    1
 237  hanjie        2,3/2,1,1,1/3,3/4,1/1,1,1/2,1,1/2,1,1\n…  .##.###.\n##.#.#.#\n###.###.\n.####..#\…  1
 238  zebu          E#1 C#4 B<A D|E                           EDBCA                                     1
 239  krom          4,-7,-8 -1,2,-8 -1,-6,5 -4,-2,-8 5,-7,3…  11110010                                  1
 240  hanjie        1,3/1,2,1/2,1/3,1/1,1,1/3,1/3,2\n1,1/1,…  .#...###\n..#.##.#\n##.....#\n..###.#.\…  1
 241  AHMES         14/17                                     2 4 14 476                                1
 242  wolf          01100101001>10001010010 100010011000>00…  00100011                                  1
 243  CRIBROT       lfhdxitbgmlnkzxvkhpw|smoke                smokepaintsurgecrowd                      1
 244  HAIL          53                                        427                                       1
 245  DUOMASK       b+aa?a*ba*b+ [ab]a?.b[ab]                 babb                                      1
 246  RUNIC         aaaaaaecffffffffffddddddddddddccccccccc…  6a1e1c10f12d14c3a9e10a                    1
 247  regina        ........\n.X......\n........\n.X......\…  04752613                                  1
 248  RUNIC         ffffffaaafffagggggbbbbbbbbbbbbbbff        6f3a3f1a5g14b2f                           1
 249  volute        xecmlaf\naofbtua\nabeymxa                 xecmlafaaxmyebaaofbtu                     1
 250  skerry        ........#.....\n........#...##\n....#..…  15                                        1
 251  trico         10 1-3 0-7 6-8 3-6 2-8 7-9 2-4 3-7 5-8 …  2012001122                                1
 252  DUOMASK       b+(a|b)b+(a|b)[ab]a* [ab](a|b)(a|b)a(a|…  babaa                                     1
 253  HANSOM        8,0 9,5 5,9 5,5 2,6 3,0|34                0 1 2 3 4 5                               1
 254  SPQ           660657253                                 449                                       1
 255  LegoZendo     O0                                        OOO\nOOO                                  1
 256  krom          -10,4,-5 5,2,8 3,2,-7 -4,-1,10 -7,-1,5 …  1011110111                                1
 257  CRIBROT       kfwscyjshwzwfuwxmffq|sneak                sneakgrapehencefunny                      1
 258  TARE          35 9 33 35 48 10|125                      111010                                    1
 259  ALLWIN        abcd 3                                    aaabaacaadabbabcabdacbaccacdadbadcaddbb…  1
 260  TWINE         ecdeedcbdde|cebacaaeccddccba|6            ceecdd                                    1
 261  TWINE         acbbadcdadbb|adbabcbdadabcbab|9           abacdadbb                                 1
 262  TOPPLE        6853=75                                   685+*3-                                   1
 263  TWINE         bcabbbdddacaa|cbbbacddabdacc|9            cbbbdddac                                 1
 264  zebu          A|E E#2 D#1 B<C D<E B|C E<B               DEABC                                     1
 265  DUOMASK       [ab]a?a*aa+ba? [ab]b*[ab].a(a|b)(a|b)     aaaaab                                    1
 266  PP            714                                       1714171                                   1
