Centaur Zendo — team hopper — updated 2026-09-02 10:16:13Z

 round kind      presented answered correct  hit-rate skipped  mean_ms
----------------------------------------------------------------------------
     1 training        906      906       0      0.0%       0    0.120
     2 training        712      589     211     29.6%     123    0.446
     3 training        665      641     468     70.4%      24    0.450
     4 training        599      577     488     81.5%      22    0.558
     5 training        600      573     517     86.2%      27    0.456
     6 training        631      610     570     90.3%      21    0.508
     7 training        717      696     675     94.1%      21    0.430
     8 training        788      760     760     96.4%      28    0.319
     9 training        686      669     669     97.5%      17    0.409
    10 training        695      684     684     98.4%      11    0.360
    11 training        677      677     658     97.2%       0    0.347
    12 training        733      733     733    100.0%       0    0.339
 final final          1931     1931    1931    100.0%       0    0.465

running per-name hit-rate (all rounds)
name             presented correct  hit-rate
---------------------------------------------
volute                 361     326     90.3%
krom                   343     290     84.5%
HAIL                   342     266     77.8%
trico                  341     301     88.3%
warren                 341     280     82.1%
AHMES                  340     291     85.6%
wolf                   339     268     79.1%
CRIBROT                338     292     86.4%
hanjie                 338     280     82.8%
TWINE                  334     290     86.8%
regina                 334     242     72.5%
IDX                    331     302     91.2%
HANSOM                 327     160     48.9%
DUOMASK                326     281     86.2%
SUNZI                  326     292     89.6%
TARE                   326     295     90.5%
RUNIC                  325     293     90.2%
MARIENBAD              324     272     84.0%
erewhon                323     263     81.4%
ALLWIN                 318     280     88.1%
GRAYLING               315     284     90.2%
LegoZendo              313     100     31.9%
TOPPLE                 312     202     64.7%
carre                  311     273     87.8%
zebu                   309     231     74.8%
ANAPAL                 307     175     57.0%
BASILISK               306     276     90.2%
SPQ                    304     264     86.8%
ikos                   304     249     81.9%
skerry                 304     274     90.1%
CHAKRA                 295     252     85.4%
PP                     283     220     77.7%
