Centaur Zendo round 10 (training)
round_id : fe96031eb8ca469faa30026f01b3df87
written  : 2026-09-02 10:12:27Z
presented=877  answered=847  correct=843  skipped=30
client answer latency: mean 0.178 ms  median 0.121 ms  max 1.602 ms  (n=877)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  BASILISK      6461:9>8                                  11221                                     1
   1  LegoZendo     N11                                       None                                      0
   2  PP            9963                                      799636997                                 1
   3  MARIENBAD     14 4 8 14                                 2 4 8 14                                  1
   4  PP            450                                       130545031                                 1
   5  zebu          A|D E#1 A<D C<D B|D E<D                   ECADB                                     1
   6  MARIENBAD     13 14 2 8 3                               7 14 2 8 3                                1
   7  regina        .X.X..\n..XXX.\n..X..X\nX.....\n.XX...\…  420531                                    1
   8  LegoZendo     A3                                        None                                      0
   9  TARE          11 46 48 30 34 60 50 39 50|242            101011110                                 1
  10  CHAKRA        73                                        2281249 267000                            1
  11  zebu          D|E A#4 E<D D<A E<A C<A D<B C|E           CEDAB                                     1
  12  IDX           712462 749502 839879                      259250                                    1
  13  HAIL          55                                        295                                       1
  14  TOPPLE        5771=83                                   757+*1-                                   1
  15  CHAKRA        35                                        6 1                                       1
  16  HANSOM        1,0 7,2 9,6 3,4 3,7 3,8 5,5|34            0 3 5 4 6 2 1                             1
  17  SUNZI         3%11 6%23 3%79                            3479                                      1
  18  CRIBROT       egzzkeoabqmynqdsumzf|sunny                sunnyscopeambergiant                      1
  19  carre         13../2..1/.2../3.2.                       1342/2431/4213/3124                       1
  20  CRIBROT       twtcnqvvgthcwnv|rural                     ruralotterfault                           1
  21  ANAPAL        cbcaecaaeecab|ea                          eaccbaeabccae                             1
  22  PP            426                                       9624269                                   1
  23  warren        #####################\n#S#.......#.....…  DDDDDDRRRRDDLLLLDDRRRRDDLLLLDDRRDDRRUUR…  1
  24  TARE          3 25 56 15 18 7 16 49|145                 01110001                                  1
  25  TOPPLE        8425=52                                   825+*4-                                   1
  26  trico         11 4-7 5-10 1-2 2-9 9-10 7-10 0-6 5-9 0…  01201212101                               1
  27  ikos          10 1-3 8-9 5-7 2-3 3-8 5-8 0-6 6-7 0-7 …  1 9 4 2 5 8 3 0 6 7                       1
  28  HAIL          115                                       73                                        1
  29  HAIL          112                                       54                                        1
  30  HAIL          179                                       1665                                      1
  31  GRAYLING      00111 01001 9                             00111 00110 00100 00101 00001 00000 000…  1
  32  GRAYLING      0010 0001 4                               0010 0011 0111 0101 0001                  1
  33  GRAYLING      0000 1111 4                               0000 0001 0011 0111 1111                  1
  34  wolf          0101000000110>1111000001100 11011110000…  10101110                                  1
  35  TOPPLE        8394=27                                   384+*9-                                   1
  36  regina        ....XX\nX...XX\nX..XX.\n.XX.X.\nXX....\…  304152                                    1
  37  carre         1.../..4./.32./32..                       1432/2143/4321/3214                       1
  38  wolf          0010010110>1100100000 001010110011>0100…  00000011                                  1
  39  TOPPLE        2671=78                                   627*1-*                                   1
  40  ALLWIN        abc 2                                     aabacbbcc                                 1
  41  erewhon       ......\n#.....\n..#.##\n##....\n...#..\…  ......\n#.#...\n##...#\n##..##\n....##\…  1
  42  DUOMASK       ba*[ab]a?b*a[ab]a? b?(a|b)(a|b)a?a+a*a    baaa                                      1
  43  CRIBROT       dehjxsxeeiuixubv|choose                   northchooseshelf                          1
  44  PP            850                                       7850587                                   1
  45  SUNZI         4%7 25%71 19%47                           2510                                      1
  46  zebu          D#4 B|E A#1 A|B                           ABEDC                                     1
  47  TWINE         dcdaaddcabacd|ccbcdaaccdbdc|7             cdaaccd                                   1
  48  LegoZendo     A0                                        None                                      0
  49  warren        #######################\n#S..#.....#...…  RRDDDDLLDDRRRRRRUULLUURRUURRDDDDRRDDRRD…  1
  50  CHAKRA        106                                       32080051 3115890                          1
  51  TOPPLE        9393=36                                   93+93/*                                   0
  52  MARIENBAD     14 4 11 15                                0 4 11 15                                 1
  53  hanjie        1,1/2,1/4,1/4/4,1/3,2/2,2\n5/7/5/3,1/2,…  .#..#.\n.##.#.\n####.#\n####..\n####.#\…  1
  54  CHAKRA        94                                        2143295 221064                            1
  55  hanjie        1,1,1/1,1,2/4/1,1,1/5/1,2/4/1,1\n2,2/1,…  #.#..#\n#.#.##\n.####.\n#.#.#.\n#####.\…  1
  56  TARE          20 11 37 60 49 47 13|129                  1001100                                   1
  57  skerry        #...#.#.#..#..\n#..##.#.......\n.....#.…  19                                        1
  58  CHAKRA        97                                        62809633 6377352                          1
  59  wolf          00110001011000>00011001101100 000110010…  01110100                                  1
  60  LegoZendo     D4                                        None                                      0
  61  erewhon       #..#..\n....#.\n#...##\n#....#\n...##.\…  .##...\n####..\n###.##\n..#..#\n.#.#..\…  1
  62  ANAPAL        bbcbddbdbcb|ddc                           bbbcdddcbbb                               1
  63  DUOMASK       ba+ab+a(a|b)(a|b)ab* b.(a|b)b?aab+a+      baabaaba                                  1
  64  PP            755                                       75557                                     1
  65  DUOMASK       [ab](a|b)b?[ab]b [ab]bb[ab]ba*            abbab                                     1
  66  trico         11 6-9 5-6 1-4 0-7 6-7 4-6 3-10 4-10 3-…  10111202120                               1
  67  CHAKRA        73                                        2281249 267000                            1
  68  TOPPLE        9976=20                                   996-*7-                                   1
  69  CRIBROT       ygctartkfgtghgt|weary                     wearypriderefer                           1
  70  regina        .X.X.X\n....XX\n....X.\nX.X...\nXXX..X\…  251403                                    1
  71  zebu          B|D B|E A|C A<C D#1 D<B                   DBEAC                                     1
  72  warren        #######################\n#S......#.....…  RRRRRRDDRRUURRRRDDLLDDDDRRRRUURRRRDDDDL…  1
  73  GRAYLING      1010 0111 5                               1010 1011 1001 1101 1111 0111             1
  74  TWINE         aabacacadcc|dccddabbacbbbadd|6            abacad                                    1
  75  TARE          8 50 52 6 38 20|116                       111100                                    1
  76  TOPPLE        2685=34                                   82/65*+                                   0
  77  SPQ           24011596783                               89501                                     1
  78  volute        pdv\nxoh\nzfw\nlnq                        pdvhwqnlzxof                              1
  79  trico         13 6-12 2-4 8-11 1-2 3-10 6-7 6-10 1-6 …  1122122022100                             1
  80  GRAYLING      1101 1000 6                               1101 1100 1110 1111 1011 1010 1000        1
  81  HAIL          95                                        121                                       1
  82  TARE          52 37 39 14 13 34|73                      001001                                    1
  83  volute        nca\npzd\njgo\nnsg                        ncadogsnjpzg                              1
  84  TOPPLE        9925=98                                   92-95+*                                   1
  85  skerry        .........#....#\n..#......#.....\n....#…  20                                        1
  86  ALLWIN        ab 7                                      aaaaaaabaaaaabbaaaababaaaabbbaaabaabaaa…  1
  87  TWINE         bcaacbccbbbacca|cbbdcacacba|7             cbbacca                                   1
  88  zebu          A|C C#3 C|E B<C D|E B<D A<C               BACED                                     1
  89  regina        ..X....\nX...X..\n....X..\n.......\nX..…  2461350                                   1
  90  warren        #####################\n#S#.#.....#.....…  DDDDDDDDDDDDRRUURRDDRRRRRRRRUUUURRDDRRU…  1
  91  RUNIC         aaabggggggggggggggeeeeefffffffffbbbbbbg…  3a1b14g5e9f6b4g                           1
  92  krom          9,8,-2 -7,-4,5 1,-4,-3 9,-1,7 -8,7,4 -3…  111011110                                 1
