Centaur Zendo round 2 (training)
round_id : 9221860f2e484ab98444c1b30ab4a660
written  : 2026-09-02 09:52:40Z
presented=838  answered=811  correct=313  skipped=27
client answer latency: mean 0.183 ms  median 0.126 ms  max 2.541 ms  (n=839)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  RUNIC         ccccccccccgddddddggggggfffaa              10c1g6d6g3f2a                             1
   1  TOPPLE        5358=35                                   (5*((5*3)-8))                             0
   2  BASILISK      de8:16>2                                  110111101000                              1
   3  ANAPAL        ddddeadaaea|aad                           ada                                       0
   4  trico         10 1-5 4-6 5-9 2-4 0-7 0-1 0-3 0-2 0-5 …  0 2 1 1 2 1 1 2 0 0                       0
   5  HAIL          15                                        17                                        0
   6  HANSOM        2,6 4,0 4,9 7,4 6,4 4,5|28                6,4 4,5 7,4 4,0 4,9 2,6                   0
   7  erewhon       ##..##\n#.##..\n#.....\n.##.#.\n#...#.\…  .#####\n.#...#\n.#.##.\n.....#\n..##.#\…  0
   8  SPQ           613949041                                 263 2334407                               0
   9  IDX           295878 247626 375527                      590                                       1
  10  CRIBROT       abspwdvysktvbzl|tulip                     tulipworldmouse                           1
  11  carre         .1../23../.4.2/1..4                       4123/2341/3412/1234                       1
  12  TOPPLE        6617=28                                   (6*6)-(1+7)                               0
  13  warren        ###################\n#S......#.........…  RRRRRRDDRRUURRRRRRRRDDLLLLDDRRDDRRDDLLL…  1
  14  wolf          10101111011>10000111001 101110011110>00…  195                                       0
  15  AHMES         5/11                                      1/3+1/9+1/99                              0
  16  TWINE         aebaacbaeaaaa|cbccaebccddbdc|5            aebcb                                     1
  17  RUNIC         bbbbccaaaaaadddddffbbbbbbbbbaaaaaaddddd…  b4c2a6d5f2b9a6d14                         0
  18  PP            8823                                      8823288                                   0
  19  LegoZendo     W2                                        None                                      0
  20  erewhon       ....##\n.....#\n....##\n..##.#\n..#.##\…  ..####\n..#.##\n..##.#\n....##\n.....#\…  0
  21  GRAYLING      0001 1010 5                               0001 0000 0010 0011 1011 1010             1
  22  skerry        .......#.#..\n..#......#..\n...##.###..…  14                                        1
  23  LegoZendo     Y11                                       None                                      0
  24  ALLWIN        ab 5                                      aaaaabaaabbaababaabbbababbabbbbb          1
  25  TWINE         bdaddcdabadcbacc|ccaddccbbddabda|9        addcdabda                                 1
  26  krom          -9,-1,4 2,-4,-6 -4,1,9 8,7,-3 -3,2,1 -6…  1 2 -3 -4 -5 6 7 -8 -9                    0
  27  LegoZendo     B12                                       None                                      0
  28  IDX           101496 66858 107021                       15362                                     1
  29  IDX           20800 19286 126961                        10559                                     1
  30  SPQ           12016154237                               4231*2840027                              0
  31  hanjie        4,1/3,2/1,1,2/1,3/1,3/1,2\n3,1/2,1/2,1/…  ####.#.\n###.##.\n#..#.##\n.#..###\n#..…  1
  32  regina        ........\n.....X..\n.....X..\n..XX.X..\…  Q.......\n......Q.\n....Q...\n.......Q\…  0
  33  trico         9 2-8 0-7 6-7 4-8 1-8 0-1 0-8 2-5 5-6 3…  3 1 3 2 3 1 3 1 2                         0
  34  CRIBROT       mnljhujcnajkxdc|decay                     17                                        0
  35  CRIBROT       yifkapqllapelob|blind                     23                                        0
