Centaur Zendo round 4 (training)
round_id : 04a2012fc53e45e693d1334a646c1ebe
written  : 2026-09-02 10:03:04Z
presented=916  answered=771  correct=771  skipped=145
client answer latency: mean 0.143 ms  median 0.110 ms  max 3.051 ms  (n=916)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  wolf          0111110100110>1111110011111 10001010101…  11011011                                  1
   1  skerry        .....#...#..\n.###........\n.........##…  17                                        1
   2  MARIENBAD     7 15 15                                   0 15 15                                   1
   3  trico         10 0-8 0-3 0-5 1-9 4-9 0-9 3-7 4-6 1-7 …  0001112212                                1
   4  BASILISK      100414:5>9                                4383                                      1
   5  hanjie        3,1/1,2/3,3/1,1,1/3/2,1/1,1,1/1,1\n1,2,…  ###.#..\n.#.##..\n###.###\n#.#.#..\n..#…  1
   6  AHMES         7/18                                      3 18                                      1
   7  erewhon       ..##..\n.#...#\n......\n......\n.#....\…  None                                      0
   8  PP            597                                       1597951                                   1
   9  regina        ....X.\n.X.X.X\n...X..\nX.X...\n....X.\…  None                                      0
  10  CRIBROT       qevirpunyxsybpxgnfgr|drive                drivechalkflocktaste                      1
  11  ANAPAL        caabcaccbacc|ccac                         ccacabbacacc                              1
  12  TARE          40 3 41 40 49 12 32 55 24|134             001011100                                 1
  13  carre         ..2./..13/.142/2...                       1324/4213/3142/2431                       1
  14  IDX           117069 116861 724331                      184414                                    1
  15  ikos          12 1-7 1-2 6-8 3-6 2-7 8-10 4-9 0-10 0-…  0 11 8 10 2 1 6 4 5 9 3 7                 1
  16  AHMES         15/31                                     3 7 131 21321 606092067                   1
  17  AHMES         3/8                                       3 24                                      1
  18  TWINE         adaabcdcddca|bdddbcdadacd|6               bdddca                                    1
  19  BASILISK      6431:9>3                                  20111001                                  1
  20  AHMES         31/38                                     2 4 16 304                                1
  21  ALLWIN        abc 2                                     aabacbbcc                                 1
  22  warren        #######################\n#S#...........…  DDRRDDLLDDDDDDDDDDRRDDRRUURRUURRDDDDRRU…  1
  23  carre         ..../1.../3421/41..                       2314/1243/3421/4132                       1
  24  trico         12 5-9 3-4 3-9 1-11 0-8 7-8 1-8 9-11 7-…  102101012022                              1
  25  SUNZI         41%97 21%73 12%79 7%11 8%19               57701849                                  1
  26  DUOMASK       b(a|b).b+a?a*abb .a+.[ab]a+a(a|b)b        baabaabb                                  1
  27  SUNZI         16%97 34%37 18%41                         57828                                     1
  28  carre         1.2./.13./.41./....                       1324/4132/2413/3241                       1
  29  volute        kas\nfkr\nxkm\nzzp                        kasrmpzzxfkk                              1
  30  krom          -6,9,2 3,-9,7 2,9,-1 5,-7,-8 9,2,8 8,-7…  010100010                                 1
  31  zebu          C#1 A<E A<D E<D B|E B|D A|C               CAEBD                                     1
  32  zebu          A<C B#2 D#5 A<E C|D                       ABECD                                     1
  33  RUNIC         eccceddddddccccccccccccccaaaa             1e3c1e6d14c4a                             1
  34  CHAKRA        106                                       32080051 3115890                          1
  35  HAIL          143                                       327                                       1
  36  HAIL          66                                        502                                       1
  37  LegoZendo     M5                                        None                                      0
  38  zebu          A#1 E#3 D|E A|D B<C                       ADEBC                                     1
  39  IDX           42315 146616 322649                       152111                                    1
  40  warren        #######################\n#S..#.........…  RRDDRRUURRRRRRRRRRDDDDRRUURRDDDDRRDDLLL…  1
  41  ikos          10 3-5 3-6 5-9 2-7 0-9 2-8 1-8 0-2 6-7 …  0 4 8 9 5 3 1 6 7 2                       1
  42  warren        ###################\n#S......#.#.......…  RRRRRRDDDDRRRRDDLLLLDDRRDDDDDDRRRRUURRU…  1
  43  CHAKRA        124                                       4620799 414960                            1
  44  zebu          C<B C<A C#3 D<A D#1 A|C A<B               DECAB                                     1
  45  DUOMASK       ab?a+b[ab].b*a?a ..a(a|b)abaa             aaababaa                                  1
  46  TARE          31 42 46 24 18 36 57 59 4|95              101010000                                 1
  47  HAIL          110                                       82                                        1
  48  PP            672                                       1276721                                   1
  49  TARE          35 11 48 32 8 20|43                       010100                                    1
  50  carre         4.21/..1./.1../.2..                       4321/2413/3142/1234                       1
  51  krom          7,-10,9 2,-9,6 -10,9,-2 9,2,-7 4,7,-6 -…  0100000000                                1
  52  SUNZI         47%53 22%47 0%2                           1902                                      1
  53  HANSOM        7,7 4,3 8,3 9,5 5,1|22                    None                                      0
  54  ikos          12 3-4 5-9 0-2 4-6 6-7 1-2 2-9 2-8 1-10…  0 2 1 3 5 9 8 4 10 11 7 6                 1
  55  volute        lgh\ndub\napa\nhiy\nnyi                   lghbayiynhadupi                           1
  56  PP            221                                       1221221                                   1
  57  BASILISK      2024:8>3                                  1102200                                   1
  58  HANSOM        9,9 0,0 5,1 5,6 0,6|37                    None                                      0
  59  volute        gfzib\npulcy\nxtdyz\nzbfpw\nacgcc         gfzibyzwccgcazxpulcypfbtd                 1
  60  SUNZI         47%59 19%29 2%23                          24060                                     1
  61  erewhon       ##.#..\n..#.#.\n......\n#.###.\n#.....\…  None                                      0
  62  TOPPLE        3665=28                                   None                                      0
  63  zebu          A|C B<E B<A C#5 E<D                       BEDAC                                     1
  64  BASILISK      1244:8>3                                  221001                                    1
  65  GRAYLING      0110 0101 4                               0110 0111 0011 0001 0101                  1
  66  HANSOM        0,9 0,7 5,1 4,6 8,2 6,9|32                None                                      0
  67  warren        ###################\n#S#...........#...…  DDDDRRUURRDDRRDDLLDDLLLLDDDDDDRRRRRRRRR…  1
  68  carre         32../..../..../2314                       3241/1423/4132/2314                       1
  69  carre         ..31/..../.124/.3.2                       2431/1243/3124/4312                       1
  70  DUOMASK       a?.a(a|b).[ab] [ab]b?a*a(a|b)[ab].        aaaaa                                     1
  71  zebu          B|D B#1 C|E A|C C<A B<D                   BDECA                                     1
  72  trico         9 1-2 4-6 0-1 0-2 2-4 2-8 3-8 3-4 1-7 5…  102200221                                 1
  73  trico         9 0-2 5-7 6-7 0-5 0-6 4-5 4-8 4-6 2-5 1…  112010210                                 1
  74  TARE          6 28 29 6 26 20|49                        001001                                    1
  75  BASILISK      bf4:16>2                                  101111110100                              1
  76  hanjie        3,1,1/5/1,1/1,1/3,1/1,3,1/1,2/2,1,1\n1,…  .###.#.#\n#####...\n..#...#.\n#.....#.\…  1
  77  ikos          10 5-9 1-8 0-3 1-6 1-2 3-9 3-7 7-8 6-8 …  0 2 1 6 8 5 9 3 7 4                       1
  78  ALLWIN        abc 5                                     aaaaabaaaacaaabbaaabcaaacbaaaccaababaab…  1
  79  PP            063                                       1360631                                   1
  80  TWINE         bcaabbbcbcbcdab|aacbaddbaddcacc|7         aacbbda                                   1
  81  TOPPLE        3828=58                                   None                                      0
  82  AHMES         7/30                                      5 30                                      1
  83  carre         4.../..41/..14/.42.                       4132/2341/3214/1423                       1
  84  erewhon       ...#.#\n##.#..\n#.#..#\n#.###.\n#..##.\…  None                                      0
  85  ANAPAL        caaaccacbb|caa                            caacbbcaac                                1
  86  skerry        .##..........\n.#.....#..#..\n#.....#.#…  13                                        1
  87  CRIBROT       kizdmixzqtbziapnwzom|carve                carveapriltrashforge                      1
  88  PP            683                                       3863683                                   1
  89  RUNIC         baaeeeeeeeeeeeeffccccc                    1b2a12e2f5c                               1
  90  ikos          9 0-6 2-3 1-2 2-5 3-4 2-8 3-8 5-6 0-1 0…  None                                      0
  91  krom          3,8,10 4,10,8 1,8,9 5,8,-6 3,-1,9 -10,-…  1010010100                                1
  92  krom          -1,-5,10 7,-10,-4 -3,1,10 -9,6,1 10,-9,…  0100110010                                1
  93  hanjie        1,1/2,1/2,1/2,2,1/3/1,2,2/1,2/2,1\n1,2/…  ..#.#..\n..##..#\n..##..#\n##.##.#\n.##…  1
  94  zebu          E#5 C#1 A<B A|C B|E                       CADBE                                     1
  95  HAIL          27                                        65                                        1
  96  PP            903                                       1903091                                   1
  97  SPQ           516425093                                 823                                       1
  98  ANAPAL        bbaaabba|ba                               babaabab                                  1
  99  SUNZI         1%2 2%17 2%3 57%97 44%79                  570029                                    1
 100  GRAYLING      10101 01110 6                             10101 10100 10110 10111 11111 11110 011…  1
 101  ALLWIN        ab 7                                      aaaaaaabaaaaabbaaaababaaaabbbaaabaabaaa…  1
 102  carre         ..../1.4./.13./4..3                       3421/1342/2134/4213                       1
 103  SPQ           2422929307                                911                                       1
 104  HANSOM        7,1 5,2 0,3 5,9 2,4|30                    None                                      0
 105  krom          -7,-8,3 -8,-1,5 3,1,5 6,2,3 3,4,-7 3,-1…  10100000                                  1
 106  krom          -1,-9,-5 2,5,-1 -6,3,8 -3,-4,8 -6,-8,4 …  001110111                                 1
 107  CRIBROT       pybmowyexdpvkwo|force                     forcemountflame                           1
 108  AHMES         15/19                                     2 4 26 988                                1
 109  PP            5760                                      30067576003                               1
 110  skerry        ....###.....#\n.....#.#.##..\n......##.…  20                                        1
 111  carre         .4.2/..../...3/432.                       1432/3214/2143/4321                       1
 112  GRAYLING      0110 0011 6                               0110 0111 0101 0100 0000 0001 0011        1
 113  ANAPAL        cbccaccbac|cbc                            cbccaaccbc                                1
 114  krom          6,9,7 6,-5,8 -3,-4,-1 -7,-3,-4 -3,-9,-6…  001011100                                 1
