Centaur Zendo round 6 (training)
round_id : 6a10e678d8454c02aaf601ae025fd5a2
written  : 2026-09-02 10:06:16Z
presented=879  answered=807  correct=807  skipped=72
client answer latency: mean 0.151 ms  median 0.115 ms  max 1.287 ms  (n=880)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  HAIL          135                                       1622                                      1
   1  HAIL          186                                       5921                                      1
   2  DUOMASK       (a|b)abbb (a|b)ab?bb                      aabbb                                     1
   3  MARIENBAD     11 8 12                                   4 8 12                                    1
   4  krom          7,4,8 7,5,-8 1,3,-6 -3,-7,2 -3,1,7 7,1,…  01100011                                  1
   5  PP            838                                       98389                                     1
   6  ALLWIN        ab 7                                      aaaaaaabaaaaabbaaaababaaaabbbaaabaabaaa…  1
   7  MARIENBAD     9 5 9 13                                  1 5 9 13                                  1
   8  carre         32.4/2.../..42/4..3                       3214/2431/1342/4123                       1
   9  trico         11 2-4 1-5 5-7 2-9 1-6 1-7 0-4 0-10 4-8…  11220022112                               1
  10  skerry        #.........#...\n......#.##..##\n..#....…  14                                        1
  11  erewhon       .##...\n......\n.##.#.\n..#..#\n....##\…  .##...\n..#...\n..##..\n#..##.\n....##\…  1
  12  trico         13 0-8 2-11 0-12 1-7 9-11 3-8 1-8 7-8 2…  1211000102102                             1
  13  krom          6,8,5 8,5,1 3,1,6 -5,-7,4 -1,2,-3 -2,6,…  11011000                                  1
  14  AHMES         24/25                                     2 3 8 600                                 1
  15  HAIL          194                                       7017                                      1
  16  DUOMASK       b+a+ba+[ab] ba*a[ab]a?b                   babab                                     1
  17  PP            9785                                      11587978511                               1
  18  CRIBROT       jmiabwzoivbwxqkcvqbm|beast                beastorgantopicunite                      1
  19  zebu          B<C C|D A#1 C|E E<C                       ABECD                                     1
  20  RUNIC         ccaaaaeggggggddaaaggggggggggaaaaaaaaaaee  2c4a1e6g2d3a10g10a2e                      1
  21  PP            2208                                      322080223                                 1
  22  AHMES         3/28                                      10 140                                    1
  23  carre         .4../..13/1..2/2...                       3421/4213/1342/2134                       1
  24  warren        ###################\n#S#...#...........…  DDDDDDDDDDDDRRRRUULLUURRUURRUURRRRUURRR…  1
  25  hanjie        1,4/2/1,1/2,1/2,2/1,1/2,1,1\n1,1,1/2,1/…  #.####\n....##\n..#.#.\n.##.#.\n##.##.\…  1
  26  TWINE         ccbbbcdcabcbaaa|cbcaaddbbdccca|8          cbbbdcca                                  1
  27  ALLWIN        abcd 3                                    aaabaacaadabbabcabdacbaccacdadbadcaddbb…  1
  28  erewhon       ......\n......\n......\n......\n#.####\…  ......\n......\n......\n....#.\n##....\…  1
  29  MARIENBAD     7 2 3 12 3                                7 2 3 5 3                                 1
  30  skerry        ...#.....#.#..\n.#...#....#...\n##.....…  17                                        1
  31  ANAPAL        ddccbcbdd|dcb                             dcbdcdbcd                                 1
  32  HAIL          72                                        799                                       1
  33  DUOMASK       (a|b)bb+a+(a|b).b? b[ab]ba[ab]ab          bbbaaab                                   1
