Centaur Zendo round 8 (training)
round_id : e14e2e0848254da7a3429920529227e0
written  : 2026-09-02 10:08:45Z
presented=737  answered=720  correct=720  skipped=17
client answer latency: mean 0.192 ms  median 0.131 ms  max 1.894 ms  (n=737)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  PP            038                                       103818301                                 1
   1  trico         11 2-9 1-6 0-5 1-8 5-8 0-2 9-10 0-10 0-…  01212200012                               1
   2  skerry        ...........#.#..\n......#....#....\n##.…  15                                        1
   3  erewhon       #.##..\n#...#.\n#.#.#.\n.#...#\n.##..#\…  #.#...\n####..\n..#.##\n#.....\n#..##.\…  1
   4  skerry        ..#.#.........\n.###..####....\n#......…  8                                         1
   5  CHAKRA        29                                        9801 1820                                 1
   6  SUNZI         9%41 22%23 22%31                          8578                                      1
   7  LegoZendo     W8                                        None                                      0
   8  krom          10,7,-9 1,6,-4 -6,-4,10 -1,4,-5 8,-2,4 …  0010000000                                1
   9  zebu          D<A B<C D#1 E<B B|E E<A B<A A|B           DEBAC                                     1
  10  SPQ           56543017019                               28439                                     1
  11  PP            7075                                      135707531                                 1
  12  SPQ           839591113                                 983                                       1
  13  PP            732                                       73237                                     1
  14  TWINE         bacaaadaaaeecb|bcdeabbacaa|6              bcdaac                                    1
  15  HAIL          81                                        350                                       1
  16  ikos          11 6-10 8-9 0-3 1-7 6-8 2-5 4-10 1-2 3-…  1 7 5 4 0 3 2 9 8 6 10                    1
  17  SUNZI         12%13 1%2 11%41                           831                                       1
  18  DUOMASK       a+bb+b*.[ab][ab]b(a|b) ..bba.b+(a|b)      abbbaaba                                  1
  19  hanjie        1,1/2,1/1,2,1/1,1,1,1/1,2,1/1,2\n2,1/1,…  ..#..#.\n.##..#.\n#..##.#\n#.#.#.#\n.#.…  1
  20  MARIENBAD     11 13 13 10 3                             9 13 13 10 3                              1
  21  TWINE         cadeaacadaeedbc|eadaceebcdabdc|9          eadaeedbc                                 1
  22  hanjie        3,2/2/1,2,2/1,3/1,1,2/1,3\n5/2,1/1,1,1/…  ###.##.\n##.....\n#.##.##\n#...###\n#.#…  1
  23  skerry        ###....#........\n.#..........##..\n...…  22                                        1
  24  zebu          A|C E#5 C#2 B<A A<D                       BCADE                                     1
  25  TWINE         deebdceceebcd|abacdaaccebbcddd|8          bdccebcd                                  1
  26  hanjie        1,1/3/1,2/1,2/1,1/1,1,1/2\n1,1/1,2/2,1/…  ..#..#\n.###..\n#..##.\n.#.##.\n.#.#..\…  1
  27  volute        ttia\nopvi\nrahy                          ttiaiyharopv                              1
  28  TARE          7 37 33 43 31 19 32 20|102                10110100                                  1
  29  hanjie        6/1,3,1/2,2/1/1,2,1/1,2,2/1/1,3\n1,1,2/…  .######.\n#.###.#.\n...##.##\n..#.....\…  1
  30  CHAKRA        137                                       6083073 519712                            1
  31  HANSOM        7,0 2,9 7,5 2,3 5,8 8,2|30                0 5 3 1 4 2                               1
  32  erewhon       ...##.\n...#.#\n....#.\n##....\n#.....\…  ....#.\n..##.#\n....#.\n###...\n#.....\…  1
  33  krom          8,-9,-7 1,9,5 -9,-3,-1 9,-1,7 -8,-2,-6 …  100100100                                 1
