Centaur Zendo round 9 (training)
round_id : c826f06b231b4735ab5b25647a358717
written  : 2026-09-02 10:10:44Z
presented=846  answered=817  correct=817  skipped=29
client answer latency: mean 0.182 ms  median 0.127 ms  max 2.803 ms  (n=847)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  erewhon       .####.\n#....#\n......\n.##.#.\n.###..\…  ......\n######\n.####.\n#...#.\n......\…  1
   1  regina        .XX.XX\n.XX...\n..XX..\nX.X.X.\nXXX.X.\…  135024                                    1
   2  IDX           126884 165645 226511                      16402                                     1
   3  AHMES         9/14                                      2 7                                       1
   4  DUOMASK       .aa+b+aba(a|b) (a|b)a*aabb*a+[ab][ab]b    aaababab                                  1
   5  GRAYLING      0100 0010 8                               0100 0101 0111 0110 1110 1111 1011 1010…  1
   6  ANAPAL        abddeaeebeee|deee                         deeeabbaeeed                              1
   7  trico         9 3-8 1-2 4-7 5-6 3-5 0-3 2-5 1-5 1-8 3…  201022112                                 1
   8  BASILISK      10102002:3>16                             9b6                                       1
   9  BASILISK      1202:5>3                                  20120                                     1
  10  trico         11 1-9 0-8 3-9 2-8 7-9 1-3 0-3 4-8 3-5 …  22002122112                               1
  11  SUNZI         20%61 3%7 16%43 8%29 0%2                  374804                                    1
  12  AHMES         6/17                                      3 51                                      1
  13  regina        .X.....\n.......\n....X..\n.X.....\nX..…  0531642                                   1
  14  BASILISK      1085:16>5                                 113404                                    1
  15  IDX           422529 476616 973373                      239928                                    1
  16  RUNIC         ffffffccccccaeeefaaaffffaaaa              6f6c1a3e1f3a4f4a                          1
  17  RUNIC         aaaaffffffffffffdcbbbbbbbbbbbbbbeeee      4a12f1d1c14b4e                            1
  18  HAIL          59                                        758                                       1
  19  GRAYLING      0101 1111 4                               0101 0100 0110 0111 1111                  1
  20  AHMES         4/29                                      8 78 9048                                 1
  21  ikos          9 2-6 5-6 7-8 5-8 1-6 0-2 1-2 1-8 3-7 2…  0 2 8 5 1 4 6 3 7                         1
  22  warren        #######################\n#S..#.......#.…  RRDDRRDDRRRRDDDDDDRRDDRRRRRRRRRR          1
  23  krom          8,9,-6 6,2,-7 8,-9,6 -1,4,-5 -3,4,2 9,4…  101100000                                 1
  24  zebu          B<C D<A A|D E<B D#2                       EDABC                                     1
  25  skerry        .#...##.##..\n..##.#.##...\n.##..#..#..…  13                                        1
  26  SUNZI         12%17 10%37 47%59 6%23                    471575                                    1
  27  ANAPAL        bcadbbdbbac|cb                            cbbadbdabbc                               1
  28  RUNIC         gggggccccccccccccdddceeeeffffffd          5g12c3d1c4e6f1d                           1
  29  krom          9,1,4 3,-6,4 7,1,5 8,9,-7 -5,-1,4 -6,-3…  000111000                                 1
  30  TOPPLE        7114=26                                   74*11+-                                   1
  31  MARIENBAD     12 10 15 15 1                             11 10 15 15 1                             1
  32  RUNIC         fffbbbbbbbbbbdbbbddddddddddddddbbbddddd…  3f10b1d3b14d3b5d10c                       1
  33  LegoZendo     S9                                        None                                      0
  34  IDX           71789 335076 450259                       29356                                     1
  35  skerry        ............\n........#...\n........#..…  8                                         1
  36  TOPPLE        5929=58                                   992-*5-                                   1
  37  HAIL          101                                       214                                       1
  38  HAIL          45                                        361                                       1
  39  RUNIC         ggaaaaaaaaabbffffffffffffdddddccccccccc…  2g9a2b12f5d12c1g                          1
  40  BASILISK      2642:8>2                                  10110100010                               1
  41  ALLWIN        abcd 2                                    aabacadbbcbdccdd                          1
  42  LegoZendo     O11                                       None                                      0
  43  regina        X...X.\n.X...X\nXXX...\nX.X...\n..X...\…  135024                                    1
  44  skerry        #..#........#\n..#........##\n#.....##.…  19                                        1
  45  wolf          10000101010100>01110000000010 010010011…  01011001                                  1
  46  ALLWIN        abc 3                                     aaabaacabbabcacbaccbbbcbccc               1
  47  CHAKRA        149                                       25801741449 2113761020                    1
  48  hanjie        3,3/3,1/1,1,1/2,1/1/1,1,3/1,1,1/2,1,2\n…  ###.###.\n.###...#\n#.#....#\n.##..#..\…  1
  49  DUOMASK       b?(a|b)a*bba*(a|b)a* bbbb+a+              bbbba                                     1
  50  TARE          4 30 14 59 17 42 20 43|174                01010101                                  1
  51  HAIL          200                                       12473                                     1
  52  BASILISK      6124:8>16                                 c54                                       1
