Centaur Zendo — team lovelace — updated 2026-09-02 10:16:21Z

 round kind      presented answered correct  hit-rate skipped  mean_ms
----------------------------------------------------------------------------
     1 training        889      889       1      0.1%       0    0.123
     2 training        838      811     313     37.4%      27    0.183
     3 training        763      736     573     75.1%      27    0.199
     4 training        916      771     771     84.2%     145    0.143
     5 training        864      749     749     86.7%     115    0.166
     6 training        879      807     807     91.8%      72    0.151
     7 training        815      772     772     94.7%      43    0.164
     8 training        737      720     720     97.7%      17    0.192
     9 training        846      817     817     96.6%      29    0.182
    10 training        877      847     843     96.1%      30    0.178
    11 training        890      890     887     99.7%       0    0.159
    12 training        731      731     731    100.0%       0    0.194
 final final          2571     2571    2571    100.0%       0    0.171

running per-name hit-rate (all rounds)
name             presented correct  hit-rate
---------------------------------------------
krom                   425     364     85.6%
IDX                    423     391     92.4%
trico                  423     375     88.7%
GRAYLING               422     386     91.5%
AHMES                  420     368     87.6%
PP                     415     343     82.7%
BASILISK               408     380     93.1%
TARE                   407     316     77.6%
ALLWIN                 406     356     87.7%
CHAKRA                 405     370     91.4%
RUNIC                  405     349     86.2%
SUNZI                  405     379     93.6%
volute                 405     362     89.4%
DUOMASK                401     373     93.0%
HAIL                   397     316     79.6%
skerry                 394     369     93.7%
warren                 393     331     84.2%
ANAPAL                 392     346     88.3%
zebu                   389     339     87.1%
LegoZendo              388     146     37.6%
erewhon                385     284     73.8%
HANSOM                 382     239     62.6%
hanjie                 381     349     91.6%
CRIBROT                379     330     87.1%
regina                 379     247     65.2%
ikos                   378     320     84.7%
TOPPLE                 377     182     48.3%
TWINE                  376     351     93.4%
wolf                   376     344     91.5%
carre                  364     328     90.1%
MARIENBAD              362     322     89.0%
SPQ                    354     300     84.7%
